Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.58,0,-0.0054595,0,0,1.1229,19.967,0
1.08,0.000261,-0.0019118,0,0,0,0,0
1.58,0.002391,0.0021452,0,0,0,0,0
2.08,0.004368,0.010286,0,0,0,0,0
2.58,0.006473,0.020286,0,0,0,0,0
3.08,0.00837,0.030427,0,0,0,0,0
3.58,0.010009,0.039427,0,0,0,0,0
4.08,0.011325,0.047286,0,0,0,0,0
4.58,0.012848,0.054427,0,0,0,0,0
5.08,0.014386,0.061859,0,0,0,0,0
5.58,0.015974,0.070286,0,0,0,0,0
6.08,0.017776,0.079141,0,0,0,0,0
6.58,0.019338,0.087286,0,0,0,0,0
7.08,0.020975,0.095286,0,0,0,0,0
7.58,0.022821,0.10343,0,0,0,0,0
8.08,0.024546,0.11129,0,0,0,0,0
8.58,0.026108,0.11929,0,0,0,0,0
9.08,0.028082,0.128,0,0,0,0,0
9.58,0.029603,0.13643,0,0,0,0,0
10.08,0.031444,0.14429,0,0,0,0,0
10.58,0.033328,0.15171,0,0,0,0,0
11.08,0.035145,0.159,0,0,0,0,0
11.58,0.036751,0.16629,0,0,0,0,0
12.08,0.038608,0.17343,0,0,0,0,0
12.58,0.040463,0.18029,0,0,0,0,0
13.08,0.042088,0.187,0,0,0,0,0
13.58,0.044103,0.194,0,0,0,0,0
14.08,0.046066,0.20071,0,0,0,0,0
14.58,0.047959,0.20757,0,0,0,0,0
15.08,0.049992,0.21414,0,0,0,0,0
15.58,0.052163,0.22,0,0,0,0,0
16.08,0.054038,0.22557,0,0,0,0,0
16.58,0.056163,0.23143,0,0,0,0,0
17.08,0.058347,0.237,0,0,0,0,0
17.58,0.060435,0.242,0,0,0,0,0
18.08,0.062723,0.24729,0,0,0,0,0
18.58,0.064799,0.25243,0,0,0,0,0
19.08,0.067018,0.25729,0,0,0,0,0
19.58,0.069417,0.26171,0,0,0,0,0
20.08,0.071749,0.266,0,0,0,0,0
20.58,0.074007,0.27029,0,0,0,0,0
21.08,0.076613,0.27443,0,0,0,0,0
21.58,0.078935,0.27829,0,0,0,0,0
22.08,0.081507,0.282,0,0,0,0,0
22.58,0.084213,0.286,0,0,0,0,0
23.08,0.08663,0.28971,0,0,0,0,0
23.58,0.089317,0.293,0,0,0,0,0
24.08,0.092014,0.296,0,0,0,0,0
24.58,0.094599,0.29871,0,0,0,0,0
25.08,0.097494,0.30129,0,0,0,0,0
25.58,0.10016,0.304,0,0,0,0,0
26.08,0.10282,0.30671,0,0,0,0,0
26.58,0.10562,0.30929,0,0,0,0,0
27.08,0.10823,0.312,0,0,0,0,0
27.58,0.11119,0.31471,0,0,0,0,0
28.08,0.1139,0.31729,0,0,0,0,0
28.58,0.11663,0.31971,0,0,0,0,0
29.08,0.11948,0.322,0,0,0,0,0
29.58,0.12223,0.32429,0,0,0,0,0
30.08,0.12508,0.32643,0,0,0,0,0
30.58,0.12788,0.32829,0,0,0,0,0
31.08,0.1306,0.33029,0,0,0,0,0
31.58,0.1336,0.33271,0,0,0,0,0
32.08,0.13628,0.335,0,0,0,0,0
32.58,0.13915,0.337,0,0,0,0,0
33.08,0.14208,0.339,0,0,0,0,0
33.58,0.14482,0.341,0,0,0,0,0
34.08,0.14798,0.343,0,0,0,0,0
34.58,0.1508,0.345,0,0,0,0,0
35.08,0.15386,0.34671,0,0,0,0,0
35.58,0.15677,0.34829,0,0,0,0,0
36.08,0.15959,0.35,0,0,0,0,0
36.58,0.16261,0.352,0,0,0,0,0
