Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.58,0,-0.0053786,0,0,1.1255,19.962,5.2269
1.08,0.000235,0.0032267,2.5e-05,0.00013799,0,0,0
1.58,0.000505,0.013871,-7.7003e-05,0.00021298,0,0,0
2.08,0.001064,0.03771,6.3998e-05,-1.3e-05,0,0,0
2.59,0.001272,0.066718,-3.3001e-05,0.00017099,0,0,0
3.08,0.001681,0.091992,0.00010099,-2e-06,0,0,0
3.58,0.00157,0.11157,3.4999e-05,-0.00016201,0,0,0
4.08,0.001883,0.12615,8.0997e-05,8.5996e-05,0,0,0
4.58,0.002176,0.14272,4.7999e-05,-6.1002e-05,0,0,0
5.08,0.002553,0.16157,0.00011799,0.00021198,0,0,0
5.58,0.002718,0.18,0.00010599,0.00010999,0,0,0
6.08,0.002859,0.19557,0.00014799,0.00016699,0,0,0
6.58,0.002815,0.20642,0.00015699,0.00017998,0,0,0
7.08,0.002938,0.21486,9.6995e-05,8.2997e-05,0,0,0
7.58,0.003116,0.225,0.00020598,0.00013799,0,0,0
8.09,0.003326,0.23915,5.4998e-05,0.00018798,0,0,0
8.59,0.00352,0.25385,0.00014199,0.00027496,0,0,0
9.09,0.003925,0.26915,0.00028496,0.00015099,0,0,0
9.59,0.004092,0.28385,0.00029596,0.00028796,0,0,0
10.09,0.004248,0.29829,0.00021498,0.0004419,0,0,0
10.59,0.004609,0.31257,9.7995e-05,0.00032195,0,0,0
11.08,0.004924,0.32743,0.00019498,0.00035594,0,0,0
11.58,0.005161,0.34257,0.00022597,0.00040392,0,0,0
12.09,0.005453,0.35743,0.00031195,0.00041791,0,0,0
12.59,0.005696,0.37257,0.00040092,0.00027796,0,0,0
13.09,0.005892,0.38743,0.00026896,0.00035894,0,0,0
13.58,0.006352,0.40286,0.00032595,0.00019798,0,0,0
14.09,0.006437,0.41814,0.0004529,0.00029496,0,0,0
14.59,0.006607,0.43271,0.00039292,0.0004529,0,0,0
15.09,0.006714,0.44715,0.00019098,0.00025497,0,0,0
15.59,0.006923,0.46214,0.00033894,0.00029896,0,0,0
16.09,0.007097,0.47786,0.00023497,0.00042591,0,0,0
16.59,0.007379,0.49314,0.00049988,0.00048688,0,0,0
17.09,0.007436,0.50915,0.00018098,0.00038593,0,0,0
17.59,0.007537,0.52514,0.00037593,0.00032895,0,0,0
18.09,0.007775,0.54071,0.0004429,0.00047289,0,0,0
