
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L          U2_EXT_X05_Y1  
                1.75106           27.2973           491.929E-03          1.65112E-03      514.932E-03         -3.87283E-03      477.458E-03        476.932E-03        506.425E-03         27.3063            26.8146            26.8146             0.               351.669E-03        998.181E-03          0.                 1.E-03            25.               141.162E-06         -2.48177            2.13241           17.5528E-06 
                1.83082           26.7727           484.808E-03        874.838E-06        489.822E-03         -3.64798E-03      394.427E-03        394.272E-03        481.038E-03         26.7816            26.3441            26.3441             0.               349.945E-03        994.552E-03          0.                 1.E-03            25.               147.593E-06         -2.48623            2.68571           17.4338E-06 
                1.91059           29.0487           522.226E-03          1.37257E-03      550.095E-03         -3.89254E-03      292.314E-03        292.252E-03        540.59E-03          29.0583            28.6427            28.6427             0.               347.862E-03        985.659E-03          0.                 1.E-03            25.               154.023E-06         -2.56117            2.89357           18.4826E-06 
                1.99035           28.8841           523.565E-03        980.953E-06        529.21E-03          -4.23128E-03      425.291E-03        425.1E-03          519.737E-03         28.8938            28.4215            28.4215             0.               349.954E-03        994.493E-03          0.                 1.E-03            25.               160.453E-06         -2.51715            2.76365           18.5085E-06 
                2.07011           33.5853           605.704E-03          1.37262E-03      634.872E-03         -5.31835E-03      584.695E-03        583.977E-03        624.459E-03         33.5964            32.9922            32.9922             0.               351.647E-03        997.971E-03          0.                 1.E-03            25.               166.883E-06         -2.9689             2.75215           21.3803E-06 
                2.14988           35.0845           634.613E-03          1.27065E-03      644.885E-03         -4.51721E-03      442.77E-03         442.662E-03        633.303E-03         35.0962            34.5586            34.5586             0.               348.897E-03        990.876E-03          0.                 1.E-03            25.               173.313E-06         -3.2041             2.82586           22.6471E-06 
                2.22964           34.6159           625.627E-03          2.65853E-03      652.391E-03         -4.18752E-03      338.609E-03        338.55E-03         640.93E-03          34.6275            34.1387            34.1387             0.               347.669E-03        985.35E-03           0.                 1.E-03            25.               179.743E-06         -3.11579            2.82131           22.1631E-06 
                2.3094            34.6506           625.323E-03          3.26221E-03      654.887E-03         -4.56432E-03      398.513E-03        398.426E-03        643.476E-03         34.6621            34.1418            34.1418             0.               348.585E-03        988.129E-03          0.                 1.E-03            25.               186.174E-06         -3.13561            3.33318           22.1428E-06 
                2.38917           34.5351           622.57E-03           2.05735E-03      629.828E-03         -4.74352E-03      559.206E-03        558.823E-03        618.784E-03         34.5465            33.9578            33.9578             0.               350.672E-03        997.079E-03          0.                 1.E-03            25.               192.604E-06         -3.12949            3.58443           22.2753E-06 
                2.46893           36.1101           651.815E-03          2.16378E-03      673.326E-03         -4.37454E-03      465.558E-03        465.458E-03        661.44E-03          36.1221            35.559             35.559              0.               349.175E-03        990.884E-03          0.                 1.E-03            25.               199.034E-06         -3.2975             3.44802           23.2496E-06 
                2.54869           39.3081           713.137E-03          2.31914E-03      726.752E-03         -5.18771E-03      454.686E-03        454.581E-03        713.68E-03          39.3213            38.7378            38.7378             0.               348.407E-03        988.937E-03          0.                 1.E-03            25.               205.464E-06         -3.62237            3.52016           25.4558E-06 
                2.62846           41.4101           750.294E-03          2.14844E-03      767.517E-03         -5.56975E-03      534.435E-03        534.292E-03        753.814E-03         41.4239            40.7803            40.7803             0.               349.123E-03        991.096E-03          0.                 1.E-03            25.               211.894E-06         -3.81654            3.36611           26.7428E-06 
                2.70822           41.1274           744.921E-03          1.53813E-03      747.161E-03         -5.46732E-03      629.063E-03        628.774E-03        733.713E-03         41.1411            40.46              40.46               0.               350.17E-03         995.71E-03           0.                 1.E-03            25.               218.324E-06         -3.73187            3.66563           26.6598E-06 
