
                  X               SDV_EQPS           SDV_Seq            SDV_Qeq             MISES      

                0.                 0.                 0.                 0.                 0.         
               70.3929E-03        64.7882E-03       647.525            647.525            647.525      
               71.0495E-03        65.3961E-03       648.578            648.578            648.578      
               71.7059E-03        66.0036E-03       649.621            649.621            649.621      
               72.3623E-03        66.6107E-03       650.655            650.655            650.655      
               73.0185E-03        67.2173E-03       651.681            651.681            651.681      
               73.6747E-03        67.8236E-03       652.697            652.697            652.697      
               74.3308E-03        68.4294E-03       653.705            653.705            653.705      
               74.9868E-03        69.0348E-03       654.704            654.704            654.704      
               75.6427E-03        69.6398E-03       655.695            655.695            655.695      
               76.2985E-03        70.2444E-03       656.678            656.678            656.678      
               76.9542E-03        70.8486E-03       657.652            657.652            657.652      
               77.6098E-03        71.4524E-03       658.618            658.618            658.618      
               78.2654E-03        72.0557E-03       659.577            659.577            659.577      
               78.9208E-03        72.6586E-03       660.528            660.528            660.528      
               79.5761E-03        73.2612E-03       661.471            661.471            661.471      
               80.2314E-03        73.8633E-03       662.406            662.406            662.406      
               80.8866E-03        74.4649E-03       663.334            663.334            663.334      
               81.5417E-03        75.0662E-03       664.255            664.255            664.255      
               82.1966E-03        75.6671E-03       665.168            665.168            665.168      
               82.8515E-03        76.2675E-03       666.075            666.075            666.075      
               83.5063E-03        76.8675E-03       666.974            666.974            666.974      
               84.161E-03         77.4671E-03       667.867            667.867            667.867      
               84.8157E-03        78.0663E-03       668.752            668.752            668.752      
               85.4702E-03        78.6651E-03       669.631            669.631            669.631      
               86.1246E-03        79.2635E-03       670.504            670.504            670.504      
               86.779E-03         79.8614E-03       671.369            671.369            671.369      
               87.4332E-03        80.4589E-03       672.229            672.229            672.229      
               88.0874E-03        81.056E-03        673.082            673.082            673.082      
               88.7414E-03        81.6527E-03       673.929            673.929            673.929      
               89.3954E-03        82.249E-03        674.769            674.769            674.769      
               90.0493E-03        82.8449E-03       675.604            675.604            675.604      
               90.7031E-03        83.4404E-03       676.432            676.432            676.432      
               91.3568E-03        84.0354E-03       677.255            677.255            677.255      
               92.0104E-03        84.63E-03         678.072            678.072            678.072      
               92.6639E-03        85.2243E-03       678.883            678.883            678.883      
