
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L            U2_EXT_Y1    
                1.88197           16.7966          -358.394E-06        310.579E-06        940.677E-03       -237.708E-06        -49.5548E-03       -49.5548E-03       940.677E-03         16.7966            16.3735            16.3735             0.               360.088E-03        899.925E-03          0.                 1.E-03            25.               208.95E-06          -2.62139            2.37762           16.392E-06  
                1.96757           15.9519          -301.289E-06        253.427E-06          2.14068           15.2212E-06       214.324E-03        214.324E-03          2.14068           15.9519            14.8683            14.8683             0.               410.424E-03        785.255E-03          0.                 1.E-03            25.               218.454E-06         -2.52643            2.71241           15.2945E-06 
                2.05317           16.8414            -1.15386E-03      175.161E-06          2.49256          292.542E-06        -32.6023E-03       -32.6023E-03         2.49256           16.8414            15.7638            15.7638             0.               408.135E-03        734.196E-03          0.                 1.E-03            25.               227.958E-06         -2.6771             3.00911           16.0459E-06 
                2.13877           17.9521          -819.522E-06        114.251E-06          2.44455          233.719E-06        -55.0275E-03       -55.0275E-03         2.44455           17.9521            16.8966            16.8966             0.               401.297E-03        754.645E-03          0.                 1.E-03            25.               237.462E-06         -2.87541            2.67165           17.1694E-06 
                2.22437           19.1579            -1.23961E-03     -125.346E-06          1.35269         -356.574E-06         34.0238E-03        34.0237E-03         1.35269           19.1579            18.4998            18.4998             0.               370.177E-03        882.029E-03          0.                 1.E-03            25.               246.966E-06         -3.05278            2.90728           18.6498E-06 
                2.30997           19.0972          -927.783E-06        178.786E-06          3.30549         -564.596E-06         -5.98458E-03       -5.98468E-03        3.30549           19.0972            17.6816            17.6816             0.               422.223E-03        688.86E-03           0.                 1.E-03            25.               256.47E-06          -3.06047            3.01954           18.1473E-06 
                2.39557           19.9912            -1.1292E-03       118.738E-06          2.54568          688.925E-06         21.1483E-03        21.1481E-03         2.54568           19.9912            18.8351            18.8351             0.               399.22E-03         777.809E-03          0.                 1.E-03            25.               265.974E-06         -3.11608            3.28924           19.0675E-06 
                2.48116           21.4319           152.274E-06        142.334E-06          2.22109          296.461E-06          9.83804E-03        9.838E-03          2.22109           21.4319            20.4065            20.4065             0.               386.525E-03        820.509E-03          0.                 1.E-03            25.               275.477E-06         -3.36737            3.47357           20.7238E-06 
                2.56676           22.0115          -688.981E-06          4.71226E-06        2.9509           775.675E-06        -87.1419E-03       -87.1421E-03         2.9509            22.0115            20.7471            20.7471             0.               399.658E-03        757.149E-03          0.                 1.E-03            25.               284.98E-06          -3.51481            3.15311           21.0104E-06 
                2.65235           22.9247          -314.988E-06       -671.857E-06          2.8603          -394.062E-06         72.6813E-03        72.6813E-03         2.8603            22.9247            21.5936            21.5936             0.               399.157E-03        786.032E-03          0.                 1.E-03            25.               294.484E-06         -3.6452             3.48386           22.0298E-06 
                2.73795           22.3876          -398.374E-06       -188.479E-06          2.95974          275.713E-06         -8.35647E-03       -8.3565E-03         2.95974           22.3876            21.0693            21.0693             0.               400.883E-03        766.416E-03          0.                 1.E-03            25.               303.987E-06         -3.51328            3.75293           21.4623E-06 
                2.82354           23.2915           360.67E-06        -501.274E-06          2.80122         -912.216E-06        -75.7165E-03       -75.7168E-03         2.80122           23.2915            22.0698            22.0698             0.               392.95E-03         783.932E-03          0.                 1.E-03            25.               313.49E-06          -3.67899            4.03283           22.4358E-06 
