
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L            U2_EXT_Y1    

                0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 1.E-03            25.                 0.                 0.                31.5589E-12         0.         
               63.4471E-03       -68.0181E-06        69.8419E-09       257.857E-06        -40.9148E-06      -199.652E-09        -68.9563E-06      -326.344E-06        -40.9147E-06       189.37E-06         447.472E-06        447.472E-06          0.              -132.514E-03       -117.757E-03          0.                 1.E-03            25.                 6.68195E-06        1.74204E-06      363.829E-03       -128.609E-12  
              128.299E-03         11.1106E-03        -5.55363E-06     -105.007E-06          4.339E-03          9.19752E-06        3.13917E-03        3.13771E-03        4.33907E-03       11.112E-03          7.44663E-03        7.44663E-03        0.               832.088E-03        732.289E-03          0.                 1.E-03            25.                13.5118E-06        -1.71695E-03      318.672E-03         21.505E-09  
              193.135E-03          2.56277          104.538E-06          1.22776E-03      691.806E-03        -53.5151E-06       -83.8411E-03       -83.8417E-03       691.806E-03          2.56277            2.35656            2.35656            0.               448.499E-03        447.944E-03          0.                 1.E-03            25.                20.3401E-06      -418.578E-03        262.564E-03          2.25262E-06
              257.971E-03          2.4807           -97.9348E-06       471.591E-06        607.876E-03       -279.466E-06         72.9987E-03        72.9984E-03       607.876E-03          2.4807             2.18982            2.18982            0.               481.254E-03        592.927E-03          0.                 1.E-03            25.                27.1683E-06      -425.357E-03         69.1639E-03         2.34205E-06
              322.807E-03          3.28011          229.338E-06        703.383E-06          1.04453         -557.828E-06        -35.1328E-03       -35.1332E-03         1.04453            3.28011            2.92868            2.92868            0.               488.219E-03        379.39E-03           0.                 1.E-03            25.                33.9965E-06      -540.393E-03        318.479E-03          2.93599E-06
              387.642E-03          2.51152         -722.348E-06        640.29E-06         456.219E-03        220.342E-06        -70.8698E-03       -70.87E-03         456.219E-03          2.51152            2.36335            2.36335            0.               408.583E-03        628.785E-03          0.                 1.E-03            25.                40.8246E-06      -446.562E-03        611.224E-03          2.34474E-06
              452.478E-03          2.78465          227.71E-06         668.357E-06          1.0244          -296.503E-06         32.8476E-03        32.8473E-03         1.0244             2.78465            2.41392            2.41392            0.               530.52E-03         305.385E-03          0.                 1.E-03            25.                47.6528E-06      -472.879E-03        895.752E-03          2.52747E-06
              517.313E-03          3.98412         -568.316E-06         -1.25593E-03        1.35389          -77.4536E-06        26.2413E-03        26.2409E-03         1.35389            3.98412            3.48895            3.48895            0.               512.499E-03        358.62E-03           0.                 1.E-03            25.                54.4809E-06      -725.992E-03        807.835E-03          3.57713E-06
              582.148E-03          5.29726          701.501E-06       -739.403E-06          1.63252         -149.938E-06        -22.3365E-03       -22.3366E-03         1.63252            5.29726            4.71524            4.71524            0.               488.306E-03        410.186E-03          0.                 1.E-03            25.                61.309E-06       -895.638E-03        551.086E-03          4.85548E-06
              646.983E-03          5.53154          387.394E-06        -34.2852E-06         1.86827          228.084E-06        -69.5684E-03       -69.5685E-03         1.86827            5.53154            4.92682            4.92682            0.               495.941E-03        336.159E-03          0.                 1.E-03            25.                68.1372E-06      -991.764E-03        731.039E-03          5.05178E-06
              711.818E-03          5.28917           38.3079E-06       -60.4654E-06         1.48502          486.322E-06         86.7522E-03        86.752E-03          1.48502            5.28917            4.66326            4.66326            0.               490.426E-03        498.307E-03          0.                 1.E-03            25.                74.9653E-06      -949.358E-03        958.167E-03          4.90014E-06
              776.653E-03          5.96052          987.36E-06         238.974E-06          1.72893          239.532E-06         76.5612E-03        76.5612E-03         1.72893            5.96052            5.25631            5.25631            0.               492.488E-03        473.406E-03          0.                 1.E-03            25.                81.7934E-06      -973.102E-03          1.3508             5.42896E-06
              841.488E-03          5.8748          -629.867E-06        239.659E-06          1.74418         -383.367E-06        -24.4635E-03       -24.4636E-03         1.74418            5.8748             5.24363            5.24363            0.               482.777E-03        433.865E-03          0.                 1.E-03            25.                88.6215E-06        -1.08019            1.28488            5.40745E-06
              906.323E-03          7.76903         -602.683E-06        465.391E-06          2.52204          185.199E-06        -34.4787E-03       -34.4787E-03         2.52204            7.76903            6.89063            6.89063            0.               496.162E-03        375.266E-03          0.                 1.E-03            25.                95.4496E-06        -1.32924            1.182              6.95586E-06
              971.158E-03          8.72041         -281.67E-06        -190.682E-06          2.05537          603.559E-06         43.8494E-03        43.8492E-03         2.05537            8.72041            7.86612            7.86612            0.               458.491E-03        573.507E-03          0.                 1.E-03            25.               102.278E-06         -1.47115            1.00362            7.97891E-06
                1.03599            8.14855          256.181E-06       -117.427E-06          2.23845          313.485E-06         99.8565E-03        99.8565E-03         2.23845            8.14855            7.22095            7.22095            0.               484.094E-03        504.611E-03          0.                 1.E-03            25.               109.106E-06         -1.43899            1.4325             7.49165E-06
                1.10083            8.48881         -268.021E-06       -416.217E-06          2.67696          163.104E-06        124.413E-03        124.413E-03          2.67696            8.48881            7.42483            7.42483            0.               506.866E-03        422.63E-03           0.                 1.E-03            25.               115.934E-06         -1.42717            1.70812            7.68304E-06
                1.16566            8.48509           46.8087E-06       320.633E-06          2.53979          183.104E-06         96.0541E-03        96.054E-03          2.53979            8.48509            7.47309            7.47309            0.               496.043E-03        451.635E-03          0.                 1.E-03            25.               122.762E-06         -1.50653            1.80193            7.79004E-06
                1.2305            10.054             55.1315E-06       154.772E-06          3.01561          255.595E-06        -24.1233E-03       -24.1233E-03         3.01561           10.054              8.95399            8.95399            0.               485.649E-03        430.077E-03          0.                 1.E-03            25.               129.59E-06          -1.71739            1.76078            9.10756E-06
                1.29533           10.7563          -131.901E-06       -766.27E-06           3.21089          -39.6958E-06        56.2003E-03        56.2003E-03         3.21089           10.7563             9.52303            9.52303            0.               490.858E-03        444.276E-03          0.                 1.E-03            25.               136.418E-06         -1.88454            1.48673            9.76871E-06
                1.36017           11.5928          -171.285E-06        139.349E-06          3.56538          310.552E-06         34.8692E-03        34.8692E-03         3.56538           11.5928            10.2589            10.2589             0.               493.655E-03        422.012E-03          0.                 1.E-03            25.               143.246E-06         -2.01343            1.78833           10.4544E-06 
                1.425             10.5969          -435.439E-06        270.411E-06          2.59388          247.352E-06         47.7807E-03        47.7806E-03         2.59388           10.5969             9.53453            9.53453            0.               462.828E-03        554.284E-03          0.                 1.E-03            25.               150.074E-06         -1.83951            2.05348            9.79046E-06
