
   1.0500,   0.6500,   0.0111,   0.4265,   0.6697,   0.7413, 
   1.1206,   0.6500,   0.0111,   0.4088,   0.6360,   0.6967, 
   1.0500,   1.4349,   0.0111,   0.2195,   0.4106,   0.4773, 
   1.0500,   0.6500,   0.0258,   0.4243,   0.6706,   0.7422, 
   1.0940,   1.1433,   0.0023,   0.0017,   0.4612,   0.5228, 
   1.1301,   1.5382,   0.0045,   0.3625,   0.2908,   0.3284, 
   1.1819,   2.0967,   0.0023,   0.8986,   0.0150,   0.0024, 
   1.0609,   2.2971,   0.0018,   3.9407,   0.1449,   0.1782, 
   1.1040,   0.9794,   0.0080,   0.1339,   0.5136,   0.5761, 
   1.0741,   1.8090,   0.0033,   0.5545,   0.2690,   0.3160, 
   1.0811,   1.5821,   0.0043,   0.3660,   0.3305,   0.3832, 
   1.0749,   1.9349,   0.0122,   0.6661,   0.2369,   0.2789, 
   1.0890,   1.3250,   0.0041,   0.1513,   0.4046,   0.4630, 
   1.1626,   1.5256,   0.0007,   0.3694,   0.2566,   0.2830, 
   1.1605,   1.7861,   0.0018,   0.6022,   0.1624,   0.1764, 
   1.1052,   1.4350,   0.0034,   0.2560,   0.3519,   0.4018, 
   1.1410,   1.6657,   0.0023,   0.4816,   0.2314,   0.2591, 
   1.1137,   1.4913,   0.0031,   0.3104,   0.3238,   0.3688, 
   1.1996,   1.4556,   0.0011,   0.3253,   0.2447,   0.2616, 
   1.2734,   1.3940,   0.0003,   0.2976,   0.1958,   0.1901, 
   1.1715,   1.4231,   0.0046,   0.2837,   0.2894,   0.3181, 
   1.2763,   1.4116,   0.0021,   0.3154,   0.1867,   0.1792, 
   1.3678,   1.2856,   0.0004,   0.2213,   0.1641,   0.1341, 
   1.5075,   1.1666,   0.0000,   0.1290,   0.1273,   0.0639, 
   1.5518,   1.2241,   0.0008,   0.1894,   0.0581,   0.0240, 
   1.6137,   1.1159,   0.0032,   0.0899,   0.1012,   0.0157, 
   1.7723,   0.9794,   0.0114,   0.0342,   0.1478,   0.0485, 
