s11,s22,s33,s12,s13,s23,Rval,Type
-0.3060510406730823,-0.2949792854857611,0.19573351703404074,-0.38352057169797527,-0.3075969377500408,0.1026078112175598,0.0,v
-0.35689693473175776,0.15113463030964486,-0.01575505839842267,0.35224088629722655,0.08136958538114061,0.36726852614133787,0.0,v
0.21115335582418676,0.15023957645791353,0.031485141227070704,0.15435175412942986,0.5051201979045191,-0.20890509385189415,0.0,v
0.5463590451885614,-0.3094747521199806,0.5168207856480703,-0.2684878787719124,0.14366074537765128,0.07776283998251371,0.0,v
-0.21918835117228153,0.08050236208314014,0.39278266117243993,0.44071835078519106,-0.19986594578051164,0.06103164335250997,0.0,v
-0.49179668223472484,0.26303934309926336,0.05101424128029529,-0.4072303067454639,-0.04606879539042305,-0.12555762299031492,0.0,v
0.23986381474652463,0.04520120376709465,0.19150843472268148,-0.3504456817177556,0.026064398854108453,0.44609524557672764,0.0,v
0.012901013380015192,0.16145089772649474,0.6809277677895587,0.3113286809601885,0.335795486903694,-0.0606129164810885,0.0,v
-0.3192478274925756,-0.4183921181746618,0.4422182801478334,0.19748630890252772,-0.26916017554773497,-0.05728757414476009,0.0,v
0.1876713248874934,-0.15183939014064957,0.37829685772608573,-0.27601665128015346,0.10170232786431119,-0.42555838956024905,0.0,v
-0.48425013829887265,0.21919898306286506,0.2391907866577248,-0.2675705060041135,0.2837651422898664,0.08552527535896448,0.0,v
0.1369654070542834,-0.2324704183043549,-0.13380775780674065,0.1707254603614862,-0.015309861354246784,0.5128881172981781,0.0,v
0.016532284530291548,-0.3326362343720387,0.41383645401552627,-0.1160294277230007,0.18219542305808517,0.39045805227432184,0.0,v
-0.05202146306453429,0.17246500580241161,0.08559521139800244,0.22322500042095073,-0.31370318625234084,-0.40796415454932133,0.0,v
0.08875005161285801,0.2589181023649554,0.9584772793021344,0.2542801354585379,0.24371061272602695,0.04188097743819058,0.0,v
-0.5733685961128974,0.11755599943269658,-0.4859370780833125,-0.06768250689884234,-0.24944911559181038,0.3551525623890064,0.0,v
0.12305549527892617,0.2831689451823698,-0.3768041077958474,-0.3853182813702585,0.008045414993885877,-0.2601745610872223,0.0,v
0.4453904464867452,0.07288721111068255,-0.08261874357864532,-0.4199083933836956,-0.13550314768763305,-0.2542444113587612,0.0,v
0.13021724561888898,-0.2839967634204248,0.716200936553116,0.19861800915745959,0.023161989055681766,-0.19256624273224843,0.0,v
-0.519146617879867,0.2556227506354588,-0.1617511783283322,-0.2901652409324472,-0.01841954780623947,0.3112118659049749,0.0,v
-0.12400628329810927,0.17440118129947027,0.22332445558133474,0.4009141137822667,-0.282579044489499,-0.23950426243041648,0.0,v
-0.15884527305006846,0.11233333413212421,0.5828686365667459,0.1916260458916421,0.13759110617941825,0.36923627277878834,0.0,v
-0.6460047790126192,-0.02656972624752031,-0.266988544983502,-0.27673701612263313,-0.1375271265711161,-0.3781340531264996,0.0,v
-0.0750086268997146,0.04480095291593562,-0.33412177272638666,0.49074752031578944,-0.18610406131623528,-0.13930952392002213,0.0,v
0.12652331593730237,-0.39129711487105834,-0.1334095496533151,-0.2682801788362612,0.4343421723584573,0.05367349684798083,0.0,v
-0.3822231880786776,0.11958743106019804,0.6536510765894767,0.020469117124351434,0.09085045312301454,0.23991550758620378,0.0,v
0.4990959828400669,-0.004614798863446505,-0.378126678564419,-0.14118416511703621,-0.25178998882424275,0.23445560910477697,0.0,v
0.26045041586460727,0.06043882371135826,-0.009635232018124242,0.5169479533628137,-0.2257145441681123,0.01963135414128814,0.0,v
-0.17164763478645123,0.09894008590122783,0.2428358559484169,-0.21218135082831213,-0.4392417732801588,0.2317973113139663,0.0,v
