Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.64,0,-0.0062871,0,0,1.1149,20.034,5.3023
1.14,-0.000116,0.004199,3.6999e-05,-0.00023103,0,0,0
1.64,0.000575,0.016149,-0.00013601,-2e-05,0,0,0
2.14,0.001343,0.039,-7.8003e-05,0.00018798,0,0,0
2.64,0.001739,0.066145,-4.6001e-05,1e-05,0,0,0
3.14,0.001814,0.090419,5.8998e-05,6.6998e-05,0,0,0
3.64,0.001888,0.10843,6e-06,-2.1e-05,0,0,0
4.14,0.002071,0.12358,0.00016499,0.00011099,0,0,0
4.64,0.002523,0.142,0.00026397,4.8999e-05,0,0,0
5.14,0.002662,0.16157,6.2998e-05,0.00010099,0,0,0
5.64,0.002812,0.17957,0.00013299,5.3999e-05,0,0,0
6.14,0.002934,0.19271,5.9998e-05,-5.9002e-05,0,0,0
6.64,0.002638,0.20086,0.00014399,0.00014699,0,0,0
7.14,0.002704,0.20858,2.9e-05,-3.2001e-05,0,0,0
7.64,0.00285,0.22043,0.00027696,0.00017698,0,0,0
8.14,0.003309,0.234,0.00026097,0.00015399,0,0,0
8.64,0.003546,0.24815,0.00034194,7.8997e-05,0,0,0
9.14,0.003856,0.26314,0.00025097,2.9e-05,0,0,0
9.64,0.004307,0.27886,0.00024297,0.00025197,0,0,0
10.14,0.004176,0.29471,0.00028496,0.00019398,0,0,0
10.64,0.004709,0.31043,0.00019098,0.00012899,0,0,0
11.14,0.004829,0.32471,0.00018298,0.00010999,0,0,0
11.64,0.005217,0.33943,0.00033294,0.00015299,0,0,0
12.14,0.005527,0.35457,0.00031695,0.00016099,0,0,0
12.64,0.005592,0.36929,0.00035194,0.00027996,0,0,0
13.14,0.005907,0.38386,0.00040292,0.00033594,0,0,0
13.64,0.00635,0.4,0.0004499,0.00027896,0,0,0
14.14,0.006694,0.41614,0.00050387,0.00022198,0,0,0
14.64,0.00654,0.43186,0.00030595,0.00031895,0,0,0
15.14,0.006771,0.44714,0.00033594,0.00030595,0,0,0
15.64,0.006761,0.462,0.00047289,0.00028896,0,0,0
16.14,0.006996,0.47686,0.00046689,0.00036593,0,0,0
16.64,0.007268,0.49214,0.0004569,0.00033894,0,0,0
17.14,0.00746,0.507,0.00023497,0.00020798,0,0,0
17.64,0.007534,0.52215,0.00048688,0.00032595,0,0,0
18.14,0.007886,0.53785,0.00049388,0.00045989,0,0,0
18.64,0.008316,0.55415,0.00052986,0.0004529,0,0,0
19.14,0.008504,0.571,0.00042291,0.00042591,0,0,0
19.64,0.008474,0.58814,0.00056684,0.0004399,0,0,0
20.14,0.008796,0.60371,0.00069176,0.00049988,0,0,0
20.64,0.008846,0.61915,0.00060382,0.00041291,0,0,0
21.14,0.009397,0.63485,0.00052686,0.00048988,0,0,0
21.64,0.009884,0.65029,0.00080168,0.00051687,0,0,0
22.14,0.010159,0.66586,0.00069176,0.00061381,0,0,0
22.64,0.010709,0.68329,0.00079169,0.0004529,0,0,0
23.14,0.011411,0.70057,0.00075172,0.00058783,0,0,0
23.64,0.011703,0.71743,0.00098352,0.00071175,0,0,0
24.14,0.012079,0.73385,0.00072873,0.00049388,0,0,0
24.64,0.012261,0.75,0.00086962,0.00061381,0,0,0
25.14,0.012281,0.76586,0.0006348,0.00083265,0,0,0
25.64,0.012677,0.78185,0.00078169,0.0007787,0,0,0
26.14,0.012912,0.79729,0.00071474,0.00070775,0,0,0
26.64,0.013281,0.81315,0.00069176,0.00073473,0,0,0
27.14,0.013301,0.83071,0.00075472,0.00074472,0,0,0
27.64,0.013452,0.84814,0.00067077,0.00075472,0,0,0
28.14,0.013513,0.86486,0.00071175,0.00068776,0,0,0
28.64,0.013832,0.88114,0.00073473,0.00067077,0,0,0
29.14,0.013932,0.897,0.00081866,0.00085264,0,0,0
29.64,0.014238,0.91286,0.0007717,0.00079169,0,0,0
30.14,0.014543,0.92885,0.00086563,0.00090559,0,0,0
30.64,0.014715,0.94429,0.00092257,0.00088561,0,0,0
31.14,0.014997,0.95986,0.00081866,0.00081866,0,0,0
31.64,0.015551,0.977,0.00095954,0.00096354,0,0,0
32.14,0.015772,0.99414,0.00094655,0.0010874,0,0,0
32.64,0.016648,1.0111,0.00098651,0.00091658,0,0,0
33.14,0.017115,1.0276,0.00096953,0.0010205,0,0,0
33.64,0.017196,1.043,0.0010804,0.0010934,0,0,0
34.14,0.017817,1.0584,0.0010704,0.0011773,0,0,0
34.64,0.018223,1.0746,0.0010235,0.0010904,0,0,0
35.14,0.018643,1.0903,0.0013491,0.0010704,0,0,0
35.64,0.019056,1.1059,0.0012013,0.0011443,0,0,0
36.14,0.019334,1.123,0.0011773,0.0012183,0,0,0
36.64,0.019502,1.1399,0.0012113,0.0012143,0,0,0
37.14,0.01975,1.1561,0.0011443,0.0011174,0,0,0
37.64,0.019975,1.1719,0.0011104,0.001382,0,0,0
38.14,0.02016,1.187,0.0013521,0.0012512,0,0,0
38.64,0.020361,1.2021,0.0012652,0.0013321,0,0,0
39.14,0.0206,1.2179,0.0013351,0.0012952,0,0,0
39.64,0.020842,1.233,0.0013451,0.001396,0,0,0
40.14,0.021154,1.2481,0.0012882,0.0013691,0,0,0
40.64,0.021305,1.2647,0.0015368,0.0014999,0,0,0
41.14,0.021617,1.2811,0.0015059,0.001406,0,0,0
41.64,0.022027,1.2971,0.001419,0.001433,0,0,0
42.14,0.022342,1.3129,0.0014899,0.0016836,0,0,0
42.64,0.022634,1.328,0.0016207,0.0015738,0,0,0
43.14,0.023047,1.3429,0.0016097,0.0016207,0,0,0
43.64,0.023537,1.3581,0.0018483,0.0016167,0,0,0
44.14,0.024108,1.373,0.0018712,0.0018044,0,0,0
44.64,0.024723,1.3879,0.0018613,0.0017744,0,0,0
45.14,0.025149,1.4043,0.0019621,0.0018443,0,0,0
45.64,0.025528,1.4206,0.002012,0.0019721,0,0,0
46.14,0.025652,1.4361,0.0022565,0.0021257,0,0,0
46.64,0.026079,1.4511,0.0021467,0.0021766,0,0,0
47.14,0.026431,1.4657,0.0024181,0.0022565,0,0,0
47.64,0.026851,1.4801,0.0022305,0.0023871,0,0,0
48.14,0.027093,1.4951,0.0022804,0.002454,0,0,0
48.64,0.027321,1.51,0.0022235,0.0022565,0,0,0
49.14,0.02769,1.5249,0.0023443,0.002434,0,0,0
49.64,0.027996,1.5407,0.0024111,0.0023373,0,0,0
50.14,0.028217,1.5564,0.0023303,0.0023542,0,0,0
50.64,0.028593,1.5716,0.0025478,0.002451,0,0,0
51.14,0.028795,1.5864,0.002431,0.0024181,0,0,0
51.64,0.028966,1.6007,0.0025647,0.0026086,0,0,0
52.14,0.029423,1.6151,0.0026784,0.002458,0,0,0
52.64,0.030014,1.6299,0.0026485,0.0027821,0,0,0
53.14,0.030363,1.644,0.002843,0.0027492,0,0,0
53.64,0.030849,1.6579,0.0028091,0.0029068,0,0,0
54.14,0.031524,1.6733,0.0030803,0.0029367,0,0,0
54.64,0.031753,1.6889,0.0031341,0.0031102,0,0,0
55.14,0.032249,1.703,0.0032716,0.0032746,0,0,0
55.64,0.032595,1.7169,0.0034152,0.0032407,0,0,0
56.14,0.033045,1.7311,0.0036663,0.0036424,0,0,0
56.64,0.033451,1.7459,0.0037798,0.0035796,0,0,0
57.14,0.033999,1.7599,0.0038635,0.0038665,0,0,0
57.64,0.03423,1.7733,0.0040777,0.0040309,0,0,0
58.14,0.034845,1.7869,0.0043216,0.0041145,0,0,0
58.64,0.035174,1.8017,0.0041046,0.0042241,0,0,0
59.14,0.035644,1.8161,0.0041643,0.0043854,0,0,0
59.64,0.035986,1.8301,0.0042818,0.0043545,0,0,0
60.14,0.03658,1.8439,0.004228,0.0043177,0,0,0
60.64,0.037195,1.857,0.0043047,0.0044381,0,0,0
61.14,0.037926,1.8699,0.0045417,0.0045218,0,0,0
61.64,0.038826,1.8829,0.0045118,0.004458,0,0,0
62.14,0.039289,1.8953,0.0046591,0.0047059,0,0,0
62.64,0.040166,1.9076,0.0049597,0.0049229,0,0,0
63.14,0.040877,1.9207,0.0049995,0.0051239,0,0,0
63.64,0.041881,1.9334,0.005284,0.0053039,0,0,0
