q,LoadAngle,YieldStress,Rval,Type
0.0,0,339.01360446,0.674943975,e
0.0,15,324.015397545,0.710464895,e
0.0,30,301.915325225,0.75296499,e
0.0,45,289.531877415,0.756565815,e
0.0,60,289.35606425,0.717762495,e
0.0,75,296.139320215,0.6451941400000001,e
0.0,90,294.62061995500005,0.61291865,e
1.0,0.0,321.559,*,e
