Time[s],Displacement longi[mm],Force[kN],N/A,N/A,N/A,Thickness[mm],OuterWidth[mm],N/A
0,0,-0.0069706,0,0,0,1.5212,20.017,
0.5,0.001567,0.015857,0,0,0,0,0,
1,0.00276,0.038883,0,0,0,0,0,
1.5,0.003836,0.062942,0,0,0,0,0,
2,0.004937,0.085729,0,0,0,0,0,
2.5,0.005779,0.10725,0,0,0,0,0,
3,0.006463,0.12743,0,0,0,0,0,
3.5,0.007462,0.14578,0,0,0,0,0,
4,0.008036,0.16264,0,0,0,0,0,
4.5,0.009112,0.17849,0,0,0,0,0,
5,0.00988,0.19431,0,0,0,0,0,
5.5,0.010705,0.21105,0,0,0,0,0,
6,0.011397,0.22743,0,0,0,0,0,
6.5,0.012411,0.24463,0,0,0,0,0,
7,0.013052,0.26058,0,0,0,0,0,
7.5,0.013872,0.27676,0,0,0,0,0,
8,0.014996,0.2918,0,0,0,0,0,
8.5,0.016015,0.30709,0,0,0,0,0,
9,0.017116,0.32272,0,0,0,0,0,
9.5,0.018179,0.3389,0,0,0,0,0,
10,0.019221,0.35462,0,0,0,0,0,
10.5,0.020175,0.36863,0,0,0,0,0,
11,0.021665,0.38458,0,0,0,0,0,
11.5,0.0221,0.40075,0,0,0,0,0,
12,0.023421,0.41659,0,0,0,0,0,
12.5,0.024327,0.43083,0,0,0,0,0,
13,0.024871,0.44528,0,0,0,0,0,
13.5,0.025885,0.46033,0,0,0,0,0,
14,0.026446,0.47593,0,0,0,0,0,
14.5,0.027398,0.49189,0,0,0,0,0,
15,0.028597,0.50737,0,0,0,0,0,
15.5,0.028739,0.52287,0,0,0,0,0,
16,0.029776,0.53767,0,0,0,0,0,
16.5,0.030383,0.55134,0,0,0,0,0,
17,0.031253,0.56535,0,0,0,0,0,
17.5,0.032299,0.57867,0,0,0,0,0,
18,0.033113,0.59371,0,0,0,0,0,
18.5,0.033692,0.60885,0,0,0,0,0,
19,0.034545,0.62457,0,0,0,0,0,
19.5,0.035796,0.63858,0,0,0,0,0,
20,0.036756,0.65342,0,0,0,0,0,
20.5,0.038015,0.66664,0,0,0,0,0,
21,0.038769,0.68124,0,0,0,0,0,
21.5,0.03978,0.69671,0,0,0,0,0,
22,0.040622,0.71118,0,0,0,0,0,
22.5,0.041433,0.72393,0,0,0,0,0,
23,0.042282,0.7368,0,0,0,0,0,
23.5,0.043269,0.75103,0,0,0,0,0,
24,0.043968,0.76401,0,0,0,0,0,
24.5,0.044603,0.77736,0,0,0,0,0,
25,0.045648,0.7899,0,0,0,0,0,
25.5,0.046678,0.80312,0,0,0,0,0,
26,0.047291,0.81597,0,0,0,0,0,
26.5,0.048173,0.82861,0,0,0,0,0,
27,0.049316,0.84196,0,0,0,0,0,
27.5,0.050254,0.85472,0,0,0,0,0,
28,0.051363,0.86772,0,0,0,0,0,
28.5,0.052817,0.88229,0,0,0,0,0,
29,0.053723,0.89618,0,0,0,0,0,
29.5,0.054782,0.90679,0,0,0,0,0,
30,0.056166,0.91647,0,0,0,0,0,
30.5,0.05717,0.92957,0,0,0,0,0,
31,0.057971,0.94188,0,0,0,0,0,
31.5,0.05868,0.9518,0,0,0,0,0,
32,0.059206,0.96205,0,0,0,0,0,
32.5,0.060463,0.9749,0,0,0,0,0,
33,0.06113,0.98777,0,0,0,0,0,
33.5,0.06206,0.99929,0,0,0,0,0,
34,0.062699,1.0107,0,0,0,0,0,
34.5,0.063514,1.0224,0,0,0,0,0,
35,0.063985,1.0329,0,0,0,0,0,
35.5,0.064734,1.0421,0,0,0,0,0,
36,0.065716,1.052,0,0,0,0,0,
36.5,0.066834,1.063,0,0,0,0,0,
37,0.068919,1.0744,0,0,0,0,0,
37.5,0.068906,1.0856,0,0,0,0,0,
38,0.07055,1.097,0,0,0,0,0,
38.5,0.071421,1.1078,0,0,0,0,0,
39,0.072955,1.1179,0,0,0,0,0,
39.5,0.073718,1.1297,0,0,0,0,0,
40,0.074936,1.1416,0,0,0,0,0,
40.5,0.075649,1.1526,0,0,0,0,0,
41,0.076805,1.1607,0,0,0,0,0,
41.5,0.077798,1.169,0,0,0,0,0,
42,0.078614,1.1778,0,0,0,0,0,
42.5,0.079901,1.1887,0,0,0,0,0,
43,0.080719,1.2003,0,0,0,0,0,
43.5,0.081685,1.2108,0,0,0,0,0,
44,0.08312,1.2209,0,0,0,0,0,
44.5,0.084084,1.2298,0,0,0,0,0,
45,0.085081,1.2381,0,0,0,0,0,
45.5,0.086435,1.2471,0,0,0,0,0,
46,0.087681,1.2586,0,0,0,0,0,
46.5,0.089347,1.2689,0,0,0,0,0,
47,0.090144,1.2776,0,0,0,0,0,
47.5,0.091629,1.2859,0,0,0,0,0,
48,0.092369,1.2957,0,0,0,0,0,
48.5,0.093194,1.3053,0,0,0,0,0,
49,0.0941,1.3145,0,0,0,0,0,
49.5,0.094994,1.324,0,0,0,0,0,
50,0.095936,1.3343,0,0,0,0,0,
50.5,0.097097,1.3461,0,0,0,0,0,
51,0.097978,1.3553,0,0,0,0,0,
51.5,0.099305,1.3625,0,0,0,0,0,
52,0.1002,1.3695,0,0,0,0,0,
52.5,0.10149,1.3799,0,0,0,0,0,
53,0.10265,1.3894,0,0,0,0,0,
53.5,0.10429,1.396,0,0,0,0,0,
54,0.10561,1.4028,0,0,0,0,0,
54.5,0.10684,1.4107,0,0,0,0,0,
55,0.10836,1.4202,0,0,0,0,0,
55.5,0.10981,1.4288,0,0,0,0,0,
56,0.11089,1.4388,0,0,0,0,0,
56.5,0.11207,1.4474,0,0,0,0,0,
57,0.11363,1.4559,0,0,0,0,0,
57.5,0.11471,1.4636,0,0,0,0,0,
58,0.11579,1.4722,0,0,0,0,0,
58.5,0.11683,1.4813,0,0,0,0,0,
59,0.11795,1.4903,0,0,0,0,0,
59.5,0.1197,1.498,0,0,0,0,0,
60,0.12134,1.505,0,0,0,0,0,
60.5,0.12249,1.5124,0,0,0,0,0,
61,0.12445,1.5195,0,0,0,0,0,
61.5,0.12593,1.5264,0,0,0,0,0,
62,0.12698,1.5335,0,0,0,0,0,
62.5,0.12908,1.5411,0,0,0,0,0,
63,0.13007,1.5496,0,0,0,0,0,
63.5,0.13182,1.5581,0,0,0,0,0,
64,0.1327,1.5658,0,0,0,0,0,
64.5,0.13422,1.5721,0,0,0,0,0,
65,0.13522,1.5789,0,0,0,0,0,
65.5,0.13643,1.5853,0,0,0,0,0,
66,0.1377,1.593,0,0,0,0,0,
66.5,0.13903,1.6008,0,0,0,0,0,
67,0.14064,1.609,0,0,0,0,0,
67.5,0.14167,1.6151,0,0,0,0,0,
68,0.14317,1.6214,0,0,0,0,0,
68.5,0.14488,1.6286,0,0,0,0,0,
69,0.14631,1.6363,0,0,0,0,0,
69.5,0.14823,1.644,0,0,0,0,0,
70,0.14985,1.651,0,0,0,0,0,
70.5,0.15166,1.6583,0,0,0,0,0,
71,0.15309,1.6638,0,0,0,0,0,
71.5,0.15456,1.6695,0,0,0,0,0,
72,0.15589,1.6766,0,0,0,0,0,
72.5,0.15721,1.6866,0,0,0,0,0,
73,0.15878,1.6951,0,0,0,0,0,
73.5,0.16022,1.7006,0,0,0,0,0,
74,0.16171,1.7053,0,0,0,0,0,
74.5,0.16346,1.7109,0,0,0,0,0,
75,0.16522,1.7175,0,0,0,0,0,
75.5,0.16712,1.7242,0,0,0,0,0,
76,0.16866,1.73,0,0,0,0,0,
76.5,0.1707,1.7355,0,0,0,0,0,
77,0.17269,1.7429,0,0,0,0,0,
77.5,0.17441,1.7511,0,0,0,0,0,
78,0.17617,1.7567,0,0,0,0,0,
78.5,0.17766,1.7612,0,0,0,0,0,
79,0.17925,1.766,0,0,0,0,0,
79.5,0.18105,1.7715,0,0,0,0,0,
80,0.18237,1.7767,0,0,0,0,0,
80.5,0.18389,1.7827,0,0,0,0,0,
81,0.1856,1.7878,0,0,0,0,0,
81.5,0.1872,1.7927,0,0,0,0,0,
82,0.18903,1.7985,0,0,0,0,0,
82.5,0.19061,1.8054,0,0,0,0,0,
83,0.19235,1.8134,0,0,0,0,0,
83.5,0.19426,1.8198,0,0,0,0,0,
84,0.19647,1.8258,0,0,0,0,0,
84.5,0.1983,1.8304,0,0,0,0,0,
85,0.19985,1.8343,0,0,0,0,0,
85.5,0.20175,1.8383,0,0,0,0,0,
86,0.20354,1.8459,0,0,0,0,0,
86.5,0.20548,1.854,0,0,0,0,0,
87,0.20656,1.8594,0,0,0,0,0,
87.5,0.20829,1.8642,0,0,0,0,0,
88,0.21003,1.8682,0,0,0,0,0,
88.5,0.21168,1.8727,0,0,0,0,0,
89,0.21356,1.8781,0,0,0,0,0,
89.5,0.21541,1.8844,0,0,0,0,0,
90,0.21738,1.8894,0,0,0,0,0,
90.5,0.21933,1.8944,0,0,0,0,0,
91,0.22138,1.8993,0,0,0,0,0,
91.5,0.22379,1.904,0,0,0,0,0,
92,0.22568,1.9083,0,0,0,0,0,
92.5,0.22743,1.9136,0,0,0,0,0,
93,0.22924,1.9203,0,0,0,0,0,
93.5,0.23098,1.9261,0,0,0,0,0,
94,0.23297,1.93,0,0,0,0,0,
94.5,0.23484,1.9342,0,0,0,0,0,
95,0.23647,1.9393,0,0,0,0,0,
95.5,0.23848,1.9447,0,0,0,0,0,
96,0.24026,1.9499,0,0,0,0,0,
96.5,0.24223,1.9546,0,0,0,0,0,
97,0.2444,1.9571,0,0,0,0,0,
97.5,0.24648,1.9614,0,0,0,0,0,
98,0.24914,1.967,0,0,0,0,0,
98.5,0.25103,1.9717,0,0,0,0,0,
99,0.25316,1.9748,0,0,0,0,0,
99.5,0.25555,1.98,0,0,0,0,0,
100,0.25723,1.9865,0,0,0,0,0,
100.5,0.25936,1.9924,0,0,0,0,0,
101,0.26122,1.9966,0,0,0,0,0,
101.5,0.26311,2.0001,0,0,0,0,0,
102,0.265,2.004,0,0,0,0,0,
102.5,0.26707,2.0077,0,0,0,0,0,
103,0.26917,2.0124,0,0,0,0,0,
103.5,0.27132,2.0173,0,0,0,0,0,
104,0.2732,2.0219,0,0,0,0,0,
104.5,0.27547,2.0255,0,0,0,0,0,
105,0.27795,2.03,0,0,0,0,0,
105.5,0.28059,2.0343,0,0,0,0,0,
106,0.28278,2.0383,0,0,0,0,0,
106.5,0.28419,2.0428,0,0,0,0,0,
107,0.28646,2.0482,0,0,0,0,0,
107.5,0.28872,2.0532,0,0,0,0,0,
108,0.29095,2.0571,0,0,0,0,0,
108.5,0.29265,2.0595,0,0,0,0,0,
109,0.29484,2.0666,0,0,0,0,0,
109.5,0.29682,2.0735,0,0,0,0,0,
110,0.2996,2.0766,0,0,0,0,0,
110.5,0.3015,2.0763,0,0,0,0,0,
111,0.30376,2.0803,0,0,0,0,0,
111.5,0.3064,2.0846,0,0,0,0,0,
112,0.30861,2.0882,0,0,0,0,0,
112.5,0.31068,2.0915,0,0,0,0,0,
113,0.31264,2.0941,0,0,0,0,0,
113.5,0.31489,2.0973,0,0,0,0,0,
114,0.31682,2.1012,0,0,0,0,0,
114.5,0.31867,2.1056,0,0,0,0,0,
115,0.32064,2.1094,0,0,0,0,0,
115.5,0.32347,2.1138,0,0,0,0,0,
116,0.32537,2.1184,0,0,0,0,0,
116.5,0.3279,2.123,0,0,0,0,0,
117,0.3298,2.1268,0,0,0,0,0,
117.5,0.33201,2.1293,0,0,0,0,0,
118,0.33448,2.1323,0,0,0,0,0,
118.5,0.33737,2.1363,0,0,0,0,0,
119,0.33956,2.1401,0,0,0,0,0,
119.5,0.34195,2.1427,0,0,0,0,0,
120,0.34403,2.1454,0,0,0,0,0,
120.5,0.34627,2.1493,0,0,0,0,0,
121,0.34828,2.1539,0,0,0,0,0,
121.5,0.35041,2.1585,0,0,0,0,0,
122,0.35234,2.1612,0,0,0,0,0,
122.5,0.35511,2.1644,0,0,0,0,0,
123,0.35714,2.1683,0,0,0,0,0,
123.5,0.35964,2.1719,0,0,0,0,0,
124,0.36236,2.1739,0,0,0,0,0,
124.5,0.36453,2.1762,0,0,0,0,0,
125,0.36742,2.1791,0,0,0,0,0,
125.5,0.36988,2.1822,0,0,0,0,0,
126,0.3722,2.1845,0,0,0,0,0,
126.5,0.37458,2.1876,0,0,0,0,0,
127,0.37664,2.1921,0,0,0,0,0,
127.5,0.37887,2.1964,0,0,0,0,0,
128,0.38113,2.1994,0,0,0,0,0,
128.5,0.38329,2.202,0,0,0,0,0,
129,0.38557,2.2053,0,0,0,0,0,
129.5,0.38788,2.2077,0,0,0,0,0,
130,0.39026,2.2106,0,0,0,0,0,
130.5,0.39302,2.2142,0,0,0,0,0,
131,0.39561,2.2199,0,0,0,0,0,
131.5,0.39809,2.2232,0,0,0,0,0,
132,0.40069,2.2256,0,0,0,0,0,
132.5,0.40337,2.2278,0,0,0,0,0,
133,0.40565,2.231,0,0,0,0,0,
133.5,0.40813,2.2331,0,0,0,0,0,
134,0.41018,2.2358,0,0,0,0,0,
134.5,0.41256,2.238,0,0,0,0,0,
135,0.41488,2.2402,0,0,0,0,0,
135.5,0.41713,2.2435,0,0,0,0,0,
136,0.41973,2.247,0,0,0,0,0,
136.5,0.42211,2.2495,0,0,0,0,0,
137,0.42489,2.2523,0,0,0,0,0,
137.5,0.42755,2.2557,0,0,0,0,0,
