Time[s],Displacement longi[mm],Force[kN],N/A,N/A,N/A,Thickness[mm],OuterWidth[mm],N/A
0,0,-0.0037014,0,0,0,1.5218,20.024,
0.5,0.001399,0.012598,0,0,0,0,0,
1,0.002602,0.029446,0,0,0,0,0,
1.5,0.003424,0.052003,0,0,0,0,0,
2,0.004654,0.073519,0,0,0,0,0,
2.5,0.005351,0.094969,0,0,0,0,0,
3,0.006428,0.11522,0,0,0,0,0,
3.5,0.006948,0.13619,0,0,0,0,0,
4,0.007776,0.15315,0,0,0,0,0,
4.5,0.008572,0.17026,0,0,0,0,0,
5,0.00981,0.1862,0,0,0,0,0,
5.5,0.010619,0.20193,0,0,0,0,0,
6,0.011127,0.2181,0,0,0,0,0,
6.5,0.011559,0.2352,0,0,0,0,0,
7,0.012919,0.25297,0,0,0,0,0,
7.5,0.013491,0.26858,0,0,0,0,0,
8,0.014565,0.28373,0,0,0,0,0,
8.5,0.015169,0.29763,0,0,0,0,0,
9,0.016357,0.31277,0,0,0,0,0,
9.5,0.017545,0.32873,0,0,0,0,0,
10,0.018412,0.34467,0,0,0,0,0,
10.5,0.019533,0.35983,0,0,0,0,0,
11,0.020811,0.37554,0,0,0,0,0,
11.5,0.021552,0.39253,0,0,0,0,0,
12,0.022549,0.40813,0,0,0,0,0,
12.5,0.023238,0.4234,0,0,0,0,0,
13,0.024277,0.43728,0,0,0,0,0,
13.5,0.025183,0.45165,0,0,0,0,0,
14,0.025778,0.46839,0,0,0,0,0,
14.5,0.026399,0.48491,0,0,0,0,0,
15,0.027331,0.50007,0,0,0,0,0,
15.5,0.0287,0.51441,0,0,0,0,0,
16,0.028548,0.52867,0,0,0,0,0,
16.5,0.029532,0.54167,0,0,0,0,0,
17,0.030243,0.55706,0,0,0,0,0,
17.5,0.031261,0.57277,0,0,0,0,0,
18,0.032194,0.5861,0,0,0,0,0,
18.5,0.033519,0.59907,0,0,0,0,0,
19,0.034303,0.61331,0,0,0,0,0,
19.5,0.035214,0.62892,0,0,0,0,0,
20,0.035941,0.64373,0,0,0,0,0,
20.5,0.037158,0.6575,0,0,0,0,0,
21,0.037324,0.67094,0,0,0,0,0,
21.5,0.038473,0.68531,0,0,0,0,0,
22,0.039693,0.6998,0,0,0,0,0,
22.5,0.040665,0.71347,0,0,0,0,0,
23,0.04158,0.72713,0,0,0,0,0,
23.5,0.042269,0.73943,0,0,0,0,0,
24,0.042692,0.75252,0,0,0,0,0,
24.5,0.044092,0.76607,0,0,0,0,0,
25,0.044812,0.78067,0,0,0,0,0,
25.5,0.045366,0.7939,0,0,0,0,0,
26,0.04657,0.80689,0,0,0,0,0,
26.5,0.047226,0.81826,0,0,0,0,0,
27,0.048122,0.8301,0,0,0,0,0,
27.5,0.049515,0.84241,0,0,0,0,0,
28,0.050174,0.85507,0,0,0,0,0,
28.5,0.050958,0.86794,0,0,0,0,0,
29,0.052212,0.88037,0,0,0,0,0,
29.5,0.053353,0.89189,0,0,0,0,0,
30,0.054502,0.90293,0,0,0,0,0,
30.5,0.055041,0.91441,0,0,0,0,0,
31,0.05587,0.92614,0,0,0,0,0,
31.5,0.056864,0.93743,0,0,0,0,0,
32,0.057591,0.9478,0,0,0,0,0,
32.5,0.058721,0.95759,0,0,0,0,0,
33,0.059287,0.96876,0,0,0,0,0,
33.5,0.059849,0.98038,0,0,0,0,0,
34,0.060776,0.99234,0,0,0,0,0,
34.5,0.061431,1.0032,0,0,0,0,0,
35,0.061892,1.0142,0,0,0,0,0,
35.5,0.063015,1.0249,0,0,0,0,0,
36,0.063814,1.0364,0,0,0,0,0,
36.5,0.064828,1.0458,0,0,0,0,0,
37,0.06556,1.0544,0,0,0,0,0,
37.5,0.066916,1.0643,0,0,0,0,0,
38,0.0681,1.0753,0,0,0,0,0,
38.5,0.069173,1.0855,0,0,0,0,0,
39,0.069972,1.0941,0,0,0,0,0,
39.5,0.071159,1.1035,0,0,0,0,0,
40,0.07162,1.1142,0,0,0,0,0,
40.5,0.07284,1.1254,0,0,0,0,0,
41,0.073576,1.1358,0,0,0,0,0,
41.5,0.074484,1.1442,0,0,0,0,0,
42,0.075257,1.1531,0,0,0,0,0,
42.5,0.07629,1.1614,0,0,0,0,0,
43,0.077416,1.1713,0,0,0,0,0,
43.5,0.078222,1.1816,0,0,0,0,0,
44,0.079202,1.1921,0,0,0,0,0,
44.5,0.080735,1.2006,0,0,0,0,0,
45,0.081555,1.2092,0,0,0,0,0,
45.5,0.082857,1.2193,0,0,0,0,0,
46,0.083999,1.2285,0,0,0,0,0,
46.5,0.084811,1.2375,0,0,0,0,0,
47,0.085761,1.2469,0,0,0,0,0,
47.5,0.086681,1.2569,0,0,0,0,0,
48,0.08735,1.2661,0,0,0,0,0,
