Time[s];Displacement[mm];Force[kN];AxStrain_1;AxStrain_2;Thickness[mm];Width[mm];Inner width
0;0;0.001;0;0;1.018;20;0
0.5001;-0.00043723;-0.0009;0;0;0;0;0
1;-1.06E-03;-0.0038;0;0;0;0;0
1.5001;2.46256E-05;-0.0022;0;0;0;0;0
2;-0.000194681;-0.0025;0;0;0;0;0
2.5;-0.001344484;-0.0041;0;0;0;0;0
3;-0.001968856;0.0019;0;0;0;0;0
3.5;-0.001359121;-0.0035;0;0;0;0;0
4.0001;-9.40E-04;-0.0012;0;0;0;0;0
4.5002;-0.000652076;0.0067;0;0;0;0;0
5;0.00240125;0.0174;0;0;0;0;0
5.5;5.26E-03;0.0351;0;0;0;0;0
6;0.00793077;0.0474;0;0;0;0;0
6.5;0.011071731;0.0597;0;0;0;0;0
6.9999;0.013750899;0.0752;0;0;0;0;0
7.4999;0.016418507;0.0853;0;0;0;0;0
7.9999;0.018812281;0.1005;0;0;0;0;0
8.4999;0.021635999;0.1132;0;0;0;0;0
8.9999;0.024793104;0.123;0;0;0;0;0
9.4999;0.027267791;0.1381;0;0;0;0;0
9.9999;0.029948215;0.1495;0;0;0;0;0
10.5001;0.032208056;0.1618;0;0;0;0;0
10.9999;0.034951112;0.1741;0;0;0;0;0
11.4999;0.037338101;0.1922;0;0;0;0;0
12.0001;0.040258185;0.202;0;0;0;0;0
12.4998;0.043026746;0.2095;0;0;0;0;0
13.0001;0.046048159;0.225;0;0;0;0;0
13.4999;0.048953229;0.2358;0;0;0;0;0
14.0001;0.051791333;0.2478;0;0;0;0;0
14.5001;0.053236455;0.2585;0;0;0;0;0
14.9998;0.05703257;0.2702;0;0;0;0;0
15.4998;0.05963428;0.2876;0;0;0;0;0
15.9998;0.062023091;0.2968;0;0;0;0;0
16.4998;6.50E-02;0.3069;0;0;0;0;0
16.9998;0.068236538;0.3214;0;0;0;0;0
17.4998;0.070620764;0.3243;0;0;0;0;0
17.9998;0.073838491;0.3375;0;0;0;0;0
18.4998;0.07628472;0.3511;0;0;0;0;0
18.9998;0.07970473;0.3562;0;0;0;0;0
19.4997;8.21E-02;0.3672;0;0;0;0;0
20;0.085101762;0.3815;0;0;0;0;0
20.4997;0.087486678;0.3887;0;0;0;0;0
20.9997;0.090767352;0.3932;0;0;0;0;0
21.4997;0.093521653;0.4077;0;0;0;0;0
21.9997;0.096188068;0.4118;0;0;0;0;0
22.4997;0.099190635;0.4238;0;0;0;0;0
22.9997;1.03E-01;0.4282;0;0;0;0;0
23.4997;0.105673833;0.4383;0;0;0;0;0
23.9999;0.107713488;0.4478;0;0;0;0;0
24.4997;0.111198831;0.4535;0;0;0;0;0
24.9997;1.13E-01;0.4646;0;0;0;0;0
25.4997;0.116292566;0.463;0;0;0;0;0
25.9996;0.119872705;0.4756;0;0;0;0;0
26.4996;0.12225938;0.4791;0;0;0;0;0
26.9996;0.125908244;0.4864;0;0;0;0;0
27.4996;1.29E-01;0.493;0;0;0;0;0
27.9998;1.32E-01;0.4981;0;0;0;0;0
28.4996;0.134162477;0.5047;0;0;0;0;0
28.9996;0.137720503;0.5113;0;0;0;0;0
29.4996;0.140485797;0.512;0;0;0;0;0
29.9996;1.43E-01;0.5192;0;0;0;0;0
30.4996;0.146546717;0.5208;0;0;0;0;0
30.9996;0.14892133;0.5306;0;0;0;0;0
31.4995;1.53E-01;0.5325;0;0;0;0;0
31.9996;0.15568565;0.5376;0;0;0;0;0
32.4995;0.158973046;0.5426;0;0;0;0;0
32.9995;0.162052317;0.5471;0;0;0;0;0
33.4995;0.164819998;0.5499;0;0;0;0;0
33.9995;1.68E-01;0.5452;0;0;0;0;0
34.4995;1.71E-01;0.5559;0;0;0;0;0
34.9995;1.75E-01;0.561;0;0;0;0;0
35.4995;1.77E-01;0.572;0;0;0;0;0
35.9997;1.81E-01;0.5723;0;0;0;0;0
36.4995;0.183936205;0.5704;0;0;0;0;0
36.9995;1.88E-01;0.5783;0;0;0;0;0
37.4995;0.190296715;0.5752;0;0;0;0;0
37.9994;0.193691093;0.5831;0;0;0;0;0
38.4994;0.196218298;0.5831;0;0;0;0;0
38.9994;1.99E-01;0.5843;0;0;0;0;0
39.4994;0.202991224;0.5938;0;0;0;0;0
39.9994;0.20578171;0.5913;0;0;0;0;0
40.4994;0.209027204;0.596;0;0;0;0;0
40.9994;0.212431822;0.5954;0;0;0;0;0
41.4994;2.15E-01;0.5998;0;0;0;0;0
41.9994;0.21867046;0.6033;0;0;0;0;0
42.4994;0.221809725;0.6106;0;0;0;0;0
42.9993;0.225499422;0.6039;0;0;0;0;0
43.4993;2.28E-01;0.615;0;0;0;0;0
43.9994;2.31E-01;0.6169;0;0;0;0;0
44.4993;0.234330033;0.6137;0;0;0;0;0
44.9993;2.38E-01;0.6191;0;0;0;0;0
45.4993;2.41E-01;0.6235;0;0;0;0;0
45.9993;2.44E-01;0.6276;0;0;0;0;0
46.4995;0.247228772;0.6251;0;0;0;0;0
46.9993;2.50E-01;0.6283;0;0;0;0;0
47.4993;0.253229635;0.634;0;0;0;0;0
47.9993;0.25688742;0.6333;0;0;0;0;0
48.4995;0.260447707;0.6333;0;0;0;0;0
48.9992;2.63E-01;0.6365;0;0;0;0;0
49.4992;0.266459061;0.6403;0;0;0;0;0
49.9993;2.69E-01;0.6419;0;0;0;0;0
50.4992;2.73E-01;0.6482;0;0;0;0;0
50.9992;2.76E-01;0.6472;0;0;0;0;0
51.4992;0.278951665;0.6491;0;0;0;0;0
51.9992;2.82E-01;0.6536;0;0;0;0;0
52.4992;0.28543857;0.6561;0;0;0;0;0
52.9992;0.289026122;0.6573;0;0;0;0;0
53.4992;0.291817486;0.6567;0;0;0;0;0
53.9991;0.294924964;0.6618;0;0;0;0;0
54.4992;0.298075976;0.6605;0;0;0;0;0
54.9991;0.30138272;0.6624;0;0;0;0;0
55.4994;0.304773832;0.669;0;0;0;0;0
55.9991;0.308131649;0.6687;0;0;0;0;0
56.4991;0.31154324;0.6684;0;0;0;0;0
56.9991;3.14E-01;0.6662;0;0;0;0;0
57.4991;0.317695437;0.6735;0;0;0;0;0
57.9991;3.20E-01;0.6738;0;0;0;0;0
58.4991;0.323404499;0.6728;0;0;0;0;0
58.9991;0.326730906;0.6709;0;0;0;0;0
59.4991;0.329688745;0.6814;0;0;0;0;0
59.9991;0.333417517;0.6842;0;0;0;0;0
60.4991;0.33645853;0.6757;0;0;0;0;0
60.9993;0.339789209;0.6867;0;0;0;0;0
61.499;0.343142754;0.6852;0;0;0;0;0
61.999;3.46E-01;0.6886;0;0;0;0;0
62.499;3.49E-01;0.6905;0;0;0;0;0
62.999;0.352270945;0.6912;0;0;0;0;0
63.4991;0.355574109;0.6918;0;0;0;0;0
63.999;0.358863326;0.6921;0;0;0;0;0
64.499;0.361808538;0.6978;0;0;0;0;0
64.9992;3.66E-01;0.6984;0;0;0;0;0
65.499;0.368255803;0.6987;0;0;0;0;0
65.999;0.372093568;0.7025;0;0;0;0;0
66.4989;0.374831222;0.7022;0;0;0;0;0
66.9989;3.78E-01;0.7051;0;0;0;0;0
67.4989;3.81E-01;0.7051;0;0;0;0;0
67.9992;0.384505135;0.7089;0;0;0;0;0
68.4989;0.387179025;0.7073;0;0;0;0;0
68.999;0.391083066;0.7145;0;0;0;0;0
69.4989;3.94E-01;0.7139;0;0;0;0;0
69.9989;0.397213653;0.7133;0;0;0;0;0
70.4989;0.400055903;0.7142;0;0;0;0;0
70.9989;0.403649862;0.7152;0;0;0;0;0
71.4989;0.406854208;0.718;0;0;0;0;0
71.9989;0.410043855;0.718;0;0;0;0;0
72.4988;4.13E-01;0.7171;0;0;0;0;0
72.9988;4.17E-01;0.7206;0;0;0;0;0
73.4988;4.20E-01;0.7221;0;0;0;0;0
73.9988;0.423207633;0.731;0;0;0;0;0
74.4988;4.27E-01;0.719;0;0;0;0;0
74.9988;4.29E-01;0.7278;0;0;0;0;0
75.4988;0.432492059;0.7256;0;0;0;0;0
75.9988;0.435644768;0.7272;0;0;0;0;0
76.4988;0.439029597;0.7351;0;0;0;0;0
76.9988;0.441265692;0.7266;0;0;0;0;0
77.4988;0.445068529;0.7322;0;0;0;0;0
77.9988;0.448744092;0.7376;0;0;0;0;0
78.4988;4.51E-01;0.7316;0;0;0;0;0
78.9987;0.455440001;0.7316;0;0;0;0;0
79.499;0.45789848;0.7398;0;0;0;0;0
79.9987;0.461805725;0.737;0;0;0;0;0
80.4987;0.464940655;0.736;0;0;0;0;0
80.9987;0.467526031;0.743;0;0;0;0;0
81.4987;0.47111553;0.7405;0;0;0;0;0
81.9987;0.475232658;0.7398;0;0;0;0;0
82.4987;4.78E-01;0.7414;0;0;0;0;0
82.9987;4.80E-01;0.7452;0;0;0;0;0
83.4989;4.84E-01;0.742;0;0;0;0;0
83.9987;4.87E-01;0.7509;0;0;0;0;0
84.4986;0.490436029;0.7433;0;0;0;0;0
84.9986;4.94E-01;0.7525;0;0;0;0;0
85.4986;0.496753444;0.7465;0;0;0;0;0
85.9986;5.00E-01;0.7509;0;0;0;0;0
86.4986;5.03E-01;0.7522;0;0;0;0;0
86.9986;0.506876209;0.7553;0;0;0;0;0
87.4986;0.509973573;0.7487;0;0;0;0;0
87.9986;5.13E-01;0.7607;0;0;0;0;0
88.4986;0.516713644;0.7566;0;0;0;0;0
88.9986;0.519490748;0.761;0;0;0;0;0
89.4988;0.522851644;0.7629;0;0;0;0;0
89.9986;0.526092866;0.7607;0;0;0;0;0
90.4986;0.529531093;0.7613;0;0;0;0;0
90.9985;0.532678587;0.767;0;0;0;0;0
91.4985;0.536285362;0.762;0;0;0;0;0
91.9985;5.39E-01;0.7629;0;0;0;0;0
92.4985;0.542484926;0.7635;0;0;0;0;0
92.9985;5.46E-01;0.7626;0;0;0;0;0
93.4985;5.49E-01;0.7717;0;0;0;0;0
93.9985;5.52E-01;0.767;0;0;0;0;0
94.4985;0.555979517;0.7661;0;0;0;0;0
94.9985;0.558792178;0.7686;0;0;0;0;0
95.4985;0.562779016;0.773;0;0;0;0;0
95.9984;0.565584201;0.7705;0;0;0;0;0
96.4985;0.567888645;0.7724;0;0;0;0;0
96.9987;5.72E-01;0.7765;0;0;0;0;0
97.4984;0.574862848;0.7771;0;0;0;0;0
97.9984;0.578124236;0.7762;0;0;0;0;0
98.4984;0.581520876;0.7774;0;0;0;0;0
98.9986;0.585073185;0.7787;0;0;0;0;0
99.4986;5.88E-01;0.7822;0;0;0;0;0
99.9984;5.91E-01;0.7755;0;0;0;0;0
100.4984;0.594838062;0.7778;0;0;0;0;0
100.9984;5.98E-01;0.7812;0;0;0;0;0
101.4984;6.02E-01;0.7822;0;0;0;0;0
101.9984;0.604427355;0.7819;0;0;0;0;0
102.4983;0.607884115;0.779;0;0;0;0;0
102.9983;6.11E-01;0.7796;0;0;0;0;0
103.4983;6.14E-01;0.7876;0;0;0;0;0
103.9983;0.617304987;0.7876;0;0;0;0;0
104.4983;6.21E-01;0.786;0;0;0;0;0
104.9983;6.24E-01;0.7901;0;0;0;0;0
105.4983;0.626893966;0.7898;0;0;0;0;0
