"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E17",,,,"E18",,,,"E19",,,,"E2",,,,"E20",,,,"E21",,,,"E22",,,,"E23",,,,"E24",,,,"E25",,,,"E26",,,,"E27",,,,"E28",,,,"E29",,,,"E3",,,,"E30",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,5.97021,5.97021,0,0,0.199016,0.199016,0,0,0.995042,0.995042,0,0,0.199016,0.199016,0,0,0.199016,0.199016,0,0,0.398032,0.398032,0,0,0.397994,0.397994,0,0,0.59701,0.59701,0,0,0.597048,0.597048,0,0,0.796026,0.796026,0,0,0.796026,0.796026,0,0,0.995042,0.995042,0,0,0.199016,0.199016,0,0,0.995004,0.995004,0,0,0.199016,0.199016,0,0,0.199016,0.199016,0,0,0.398032,0.398032,0,0,0.398032,0.398032,0,0,0.59701,0.59701,0,0,0.59701,0.59701,0,0,0.796026,0.796026,0,0,0.796026,0.796026,0,0,0.995042,0.995042,0,0,0.397994,0.397994,0,0,0.995042,0.995042,0,0,0.398032,0.398032,0,0,0.597048,0.597048,0,0,0.59701,0.59701,0,0,0.796026,0.796026,0,0,0.796026,0.796026,0,0,0.995004,0.995004
1,1.16196e-05,6.93715e-05,5.97028,5.97021,0.000291043,5.79222e-05,0.199074,0.199016,-2.24396e-05,-2.23283e-05,0.99502,0.995042,0.000279417,5.56084e-05,0.199072,0.199016,0.000771031,0.000153448,0.19917,0.199016,0.000418583,0.000166609,0.398199,0.398032,8.9158e-05,3.54843e-05,0.398029,0.397994,-0.00016501,-9.85125e-05,0.596911,0.59701,-0.00025332,-0.000151245,0.596897,0.597048,4.84131e-06,3.85381e-06,0.79603,0.796026,5.69523e-06,4.53355e-06,0.79603,0.796026,2.23714e-05,2.22605e-05,0.995064,0.995042,2.83442e-05,5.64095e-06,0.199022,0.199016,7.05763e-05,7.02237e-05,0.995074,0.995004,-0.000489119,-9.73427e-05,0.198919,0.199016,-0.00049773,-9.90563e-05,0.198917,0.199016,9.0027e-05,3.58336e-05,0.398068,0.398032,0.000163201,6.49591e-05,0.398097,0.398032,0.000187966,0.000112217,0.597122,0.59701,2.22117e-05,1.32606e-05,0.597023,0.59701,-2.68532e-05,-2.13759e-05,0.796005,0.796026,6.61366e-05,5.26464e-05,0.796079,0.796026,3.64955e-05,3.63145e-05,0.995078,0.995042,0.000214277,8.52811e-05,0.398079,0.397994,-6.03847e-05,-6.00854e-05,0.994982,0.995042,-9.03984e-05,-3.59815e-05,0.397996,0.398032,0.000201344,0.000120212,0.597168,0.597048,-5.48943e-05,-3.27725e-05,0.596977,0.59701,-7.85375e-05,-6.25179e-05,0.795964,0.796026,0.000103443,8.23433e-05,0.796109,0.796026,-9.70202e-05,-9.65355e-05,0.994908,0.995004
2,2.52731e-05,0.000150886,5.97037,5.97021,0.00050267,0.000100039,0.199116,0.199016,5.26997e-06,5.24384e-06,0.995047,0.995042,-0.000146475,-2.91508e-05,0.198987,0.199016,0.00051624,0.00010274,0.199119,0.199016,0.000355394,0.000141458,0.398173,0.398032,-2.58508e-05,-1.02885e-05,0.397984,0.397994,0.000216328,0.00012915,0.597139,0.59701,-0.000150039,-8.95804e-05,0.596959,0.597048,3.61204e-05,2.87528e-05,0.796055,0.796026,5.80908e-05,4.62418e-05,0.796072,0.796026,4.65747e-05,4.63438e-05,0.995088,0.995042,0.000410719,8.17397e-05,0.199098,0.199016,-8.97135e-06,-8.92653e-06,0.994995,0.995004,-0.000167545,-3.33443e-05,0.198983,0.199016,-0.000318283,-6.33435e-05,0.198953,0.199016,0.000386095,0.000153678,0.398186,0.398032,9.77402e-05,3.89037e-05,0.398071,0.398032,0.000329775,0.000196879,0.597207,0.59701,0.000104398,6.23268e-05,0.597072,0.59701,-5.08392e-06,-4.04693e-06,0.796022,0.796026,0.000184737,0.000147055,0.796173,0.796026,-1.85415e-05,-1.84496e-05,0.995024,0.995042,7.73511e-05,3.07853e-05,0.398025,0.397994,-4.04554e-05,-4.02548e-05,0.995002,0.995042,-0.000189183,-7.53007e-05,0.397957,0.398032,0.000162665,9.71185e-05,0.597145,0.597048,-5.03483e-05,-3.00584e-05,0.59698,0.59701,-9.77263e-06,-7.77927e-06,0.796018,0.796026,-3.24781e-05,-2.58534e-05,0.796001,0.796026,1.09376e-05,1.0883e-05,0.995015,0.995004
3,-3.55447e-06,-2.12209e-05,5.97019,5.97021,-0.000222525,-4.4286e-05,0.198972,0.199016,0.000107134,0.000106602,0.995149,0.995042,0.0010801,0.000214958,0.199231,0.199016,0.000818081,0.000162811,0.199179,0.199016,0.00039164,0.000155885,0.398188,0.398032,-0.00025923,-0.000103172,0.397891,0.397994,8.39101e-05,5.00951e-05,0.59706,0.59701,-0.000167767,-0.000100165,0.596948,0.597048,-0.000302169,-0.000240534,0.795786,0.796026,-8.30822e-05,-6.61356e-05,0.79596,0.796026,3.83884e-05,3.81981e-05,0.99508,0.995042,-7.12998e-05,-1.41898e-05,0.199002,0.199016,1.44398e-06,1.43677e-06,0.995005,0.995004,-0.00111232,-0.000221371,0.198795,0.199016,-0.00104892,-0.000208753,0.198807,0.199016,-0.00019303,-7.68321e-05,0.397955,0.398032,0.000187875,7.47802e-05,0.398107,0.398032,0.000297065,0.00017735,0.597187,0.59701,-7.05755e-05,-4.21343e-05,0.596968,0.59701,0.000176215,0.000140272,0.796166,0.796026,0.00014815,0.000117931,0.796144,0.796026,3.79565e-05,3.77683e-05,0.99508,0.995042,0.000202148,8.04538e-05,0.398074,0.397994,1.76775e-05,1.75898e-05,0.99506,0.995042,-0.000125559,-4.99767e-05,0.397982,0.398032,0.000183939,0.00010982,0.597157,0.597048,2.79529e-05,1.66882e-05,0.597027,0.59701,1.95276e-05,1.55445e-05,0.796042,0.796026,0.00012728,0.000101318,0.796128,0.796026,-1.38124e-05,-1.37434e-05,0.99499,0.995004
4,1.46977e-05,8.77485e-05,5.9703,5.97021,-8.40738e-05,-1.6732e-05,0.198999,0.199016,3.40636e-05,3.38947e-05,0.995076,0.995042,0.00021357,4.2504e-05,0.199059,0.199016,0.000173038,3.44373e-05,0.199051,0.199016,0.000226483,9.01474e-05,0.398122,0.398032,-4.36427e-05,-1.73695e-05,0.397977,0.397994,8.23298e-05,4.91517e-05,0.597059,0.59701,-8.21022e-05,-4.9019e-05,0.596999,0.597048,-0.000217947,-0.000173491,0.795853,0.796026,-1.49387e-05,-1.18916e-05,0.796014,0.796026,4.14148e-05,4.12095e-05,0.995083,0.995042,0.000678902,0.000135113,0.199151,0.199016,-1.19359e-05,-1.18762e-05,0.994992,0.995004,-0.00111765,-0.00022243,0.198794,0.199016,-0.000779305,-0.000155094,0.198861,0.199016,-0.000205948,-8.19737e-05,0.39795,0.398032,-2.20691e-05,-8.78419e-06,0.398023,0.398032,0.000217139,0.000129634,0.597139,0.59701,-7.68186e-05,-4.58615e-05,0.596964,0.59701,6.40838e-05,5.10124e-05,0.796077,0.796026,0.000354231,0.000281977,0.796308,0.796026,-2.16234e-05,-2.15162e-05,0.995021,0.995042,0.000335382,0.00013348,0.398127,0.397994,-2.68117e-05,-2.66788e-05,0.995015,0.995042,-0.000391687,-0.000155904,0.397876,0.398032,0.000214436,0.000128029,0.597176,0.597048,9.11644e-06,5.44261e-06,0.597016,0.59701,-9.36919e-07,-7.45812e-07,0.796026,0.796026,3.45407e-05,2.74953e-05,0.796054,0.796026,-4.92222e-05,-4.89763e-05,0.994955,0.995004
5,7.37806e-06,4.40486e-05,5.97026,5.97021,0.000264123,5.25647e-05,0.199069,0.199016,2.988e-05,2.97319e-05,0.995072,0.995042,0.000123582,2.45949e-05,0.199041,0.199016,-0.000509564,-0.000101412,0.198915,0.199016,0.000177627,7.07013e-05,0.398103,0.398032,5.75312e-05,2.28971e-05,0.398017,0.397994,-5.26694e-05,-3.14442e-05,0.596978,0.59701,-0.000240173,-0.000143395,0.596905,0.597048,-0.000101713,-8.09663e-05,0.795945,0.796026,-8.66035e-05,-6.89386e-05,0.795957,0.796026,5.71151e-05,5.68319e-05,0.995099,0.995042,7.62206e-05,1.51691e-05,0.199031,0.199016,-0.000192657,-0.000191694,0.994812,0.995004,-0.000460478,-9.16426e-05,0.198925,0.199016,-0.000421034,-8.37926e-05,0.198932,0.199016,-2.39424e-05,-9.52986e-06,0.398022,0.398032,0.00040756,0.000162222,0.398194,0.398032,0.000194555,0.000116151,0.597126,0.59701,0.000326047,0.000194654,0.597205,0.59701,2.74346e-05,2.18387e-05,0.796048,0.796026,0.000191343,0.000152314,0.796178,0.796026,-2.01874e-05,-2.00873e-05,0.995022,0.995042,-6.22325e-05,-2.47682e-05,0.397969,0.397994,-4.89357e-05,-4.8693e-05,0.994993,0.995042,-7.11993e-05,-2.83396e-05,0.398004,0.398032,0.00033458,0.00019976,0.597247,0.597048,0.000170915,0.000102038,0.597112,0.59701,4.35353e-05,3.46553e-05,0.796061,0.796026,-6.24023e-06,-4.96738e-06,0.796021,0.796026,3.18415e-06,3.16824e-06,0.995007,0.995004
6,-1.78534e-05,-0.000106589,5.97011,5.97021,0.00027181,5.40946e-05,0.19907,0.199016,0.000129328,0.000128687,0.995171,0.995042,0.000182203,3.62613e-05,0.199052,0.199016,0.000462527,9.20505e-05,0.199108,0.199016,8.05661e-05,3.20679e-05,0.398064,0.398032,7.25046e-06,2.88564e-06,0.397997,0.397994,-2.63971e-05,-1.57593e-05,0.596994,0.59701,-0.000126943,-7.57911e-05,0.596972,0.597048,-0.000194034,-0.000154456,0.795872,0.796026,-1.12904e-05,-8.98743e-06,0.796017,0.796026,-2.0291e-06,-2.01904e-06,0.99504,0.995042,3.90205e-05,7.76571e-06,0.199024,0.199016,-0.00019453,-0.000193558,0.99481,0.995004,-0.000574554,-0.000114346,0.198902,0.199016,-0.000252767,-5.03047e-05,0.198966,0.199016,0.000212981,8.47733e-05,0.398117,0.398032,1.88556e-05,7.50514e-06,0.398039,0.398032,0.000419526,0.000250461,0.59726,0.59701,0.000214616,0.000128128,0.597138,0.59701,8.97768e-05,7.14647e-05,0.796098,0.796026,2.98334e-05,2.37482e-05,0.79605,0.796026,3.55028e-05,3.53267e-05,0.995077,0.995042,0.000373436,0.000148625,0.398143,0.397994,3.26384e-06,3.24766e-06,0.995045,0.995042,0.00011344,4.51527e-05,0.398077,0.398032,0.000298574,0.000178263,0.597226,0.597048,4.75395e-05,2.83815e-05,0.597039,0.59701,-6.1471e-05,-4.89325e-05,0.795977,0.796026,-4.50752e-05,-3.58811e-05,0.795991,0.796026,2.29261e-05,2.28115e-05,0.995027,0.995004
7,3.80568e-06,2.27207e-05,5.97024,5.97021,0.000531399,0.000105757,0.199122,0.199016,8.28235e-05,8.24128e-05,0.995124,0.995042,0.000423574,8.4298e-05,0.1991,0.199016,0.000419556,8.34984e-05,0.1991,0.199016,0.000380142,0.000151309,0.398183,0.398032,0.000105464,4.19739e-05,0.398036,0.397994,-9.3894e-05,-5.60556e-05,0.596954,0.59701,-0.000217797,-0.000130036,0.596918,0.597048,-2.42077e-05,-1.927e-05,0.796007,0.796026,1.17488e-05,9.35233e-06,0.796035,0.796026,2.76458e-05,2.75087e-05,0.99507,0.995042,-0.00013285,-2.64393e-05,0.19899,0.199016,-0.000147155,-0.00014642,0.994858,0.995004,-0.000535519,-0.000106577,0.19891,0.199016,-0.00091563,-0.000182225,0.198834,0.199016,0.000345795,0.000137637,0.39817,0.398032,0.00019572,7.79029e-05,0.39811,0.398032,0.000176591,0.000105427,0.597115,0.59701,5.36887e-05,3.20527e-05,0.597042,0.59701,0.000235043,0.0001871,0.796213,0.796026,0.000153107,0.000121877,0.796148,0.796026,-4.91334e-05,-4.88898e-05,0.994993,0.995042,0.00018404,7.32467e-05,0.398067,0.397994,-8.43267e-05,-8.39086e-05,0.994958,0.995042,7.26517e-05,2.89177e-05,0.398061,0.398032,0.000199478,0.000119098,0.597167,0.597048,0.000209386,0.000125006,0.597135,0.59701,6.60634e-05,5.25882e-05,0.796079,0.796026,-3.36103e-05,-2.67547e-05,0.796,0.796026,2.04919e-05,2.03896e-05,0.995025,0.995004
8,-1.02527e-05,-6.12108e-05,5.97015,5.97021,-0.000130007,-2.58735e-05,0.19899,0.199016,-7.76434e-06,-7.72584e-06,0.995034,0.995042,0.000753674,0.000149993,0.199166,0.199016,0.000682839,0.000135896,0.199152,0.199016,0.000251055,9.9928e-05,0.398132,0.398032,-0.000303992,-0.000120987,0.397873,0.397994,-0.000160056,-9.55549e-05,0.596914,0.59701,-0.00024354,-0.000145405,0.596903,0.597048,-0.000167375,-0.000133235,0.795893,0.796026,-8.5035e-05,-6.76901e-05,0.795958,0.796026,3.54347e-05,3.5259e-05,0.995077,0.995042,0.000809388,0.000161081,0.199177,0.199016,-0.000167346,-0.00016651,0.994838,0.995004,-0.000646051,-0.000128575,0.198888,0.199016,-0.000441985,-8.79622e-05,0.198928,0.199016,-7.95283e-05,-3.16548e-05,0.398,0.398032,0.000180022,7.16544e-05,0.398104,0.398032,0.00013577,8.10561e-05,0.597091,0.59701,5.68249e-05,3.3925e-05,0.597044,0.59701,8.84165e-05,7.03819e-05,0.796097,0.796026,0.000104799,8.3423e-05,0.796109,0.796026,-1.0738e-05,-1.06847e-05,0.995031,0.995042,0.000249494,9.92972e-05,0.398093,0.397994,-9.72715e-06,-9.67893e-06,0.995032,0.995042,-0.000304413,-0.000121166,0.397911,0.398032,8.0185e-05,4.78743e-05,0.597095,0.597048,0.000214234,0.0001279,0.597138,0.59701,0.000107888,8.5882e-05,0.796112,0.796026,-5.82827e-05,-4.63945e-05,0.79598,0.796026,-1.13279e-05,-1.12713e-05,0.994993,0.995004
9,-9.17407e-06,-5.47712e-05,5.97016,5.97021,0.000106659,2.12268e-05,0.199037,0.199016,5.57791e-05,5.55025e-05,0.995097,0.995042,0.000480503,9.56279e-05,0.199112,0.199016,0.00120051,0.000238921,0.199255,0.199016,0.000285954,0.000113819,0.398146,0.398032,0.000265344,0.000105605,0.3981,0.397994,-3.58907e-05,-2.14271e-05,0.596988,0.59701,-0.000144865,-8.64912e-05,0.596962,0.597048,-8.1409e-05,-6.48037e-05,0.795961,0.796026,-0.000148805,-0.000118453,0.795907,0.796026,-3.09225e-05,-3.07691e-05,0.995011,0.995042,0.000127137,2.53022e-05,0.199042,0.199016,-0.000204643,-0.000203621,0.9948,0.995004,-4.36491e-05,-8.68688e-06,0.199008,0.199016,-0.000371208,-7.38763e-05,0.198942,0.199016,0.000101569,4.04279e-05,0.398072,0.398032,0.000148151,5.89689e-05,0.398091,0.398032,0.000450452,0.000268924,0.597279,0.59701,3.19579e-05,1.90792e-05,0.597029,0.59701,0.000131838,0.000104947,0.796131,0.796026,-3.54637e-05,-2.823e-05,0.795998,0.796026,2.39827e-05,2.38638e-05,0.995066,0.995042,0.000252545,0.000100511,0.398094,0.397994,6.59275e-05,6.56006e-05,0.995108,0.995042,-0.000178851,-7.11885e-05,0.397961,0.398032,3.70537e-05,2.21228e-05,0.59707,0.597048,0.000140936,8.41403e-05,0.597094,0.59701,2.85407e-05,2.27192e-05,0.796049,0.796026,3.73499e-05,2.97315e-05,0.796056,0.796026,5.77755e-05,5.74869e-05,0.995062,0.995004
