"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,6.09701,6.09701,0,0,0.203225,0.203225,0,0,0.406466,0.406466,0,0,0.609699,0.609699,0,0,0.812932,0.812932,0,0,1.01617,1.01617,0,0,1.2194,1.2194,0,0,1.42263,1.42263,0,0,1.62586,1.62586,0,0,0.406489,0.406489,0,0,0.609675,0.609675,0,0,0.81294,0.81294,0,0,1.0162,1.0162,0,0,1.21939,1.21939,0,0,1.42265,1.42265,0,0,1.62584,1.62584,0,0,0.203233,0.203233
1,-6.9895e-06,-4.26151e-05,6.09697,6.09701,8.30127e-06,1.68703e-06,0.203227,0.203225,-5.50577e-05,-2.23791e-05,0.406444,0.406466,0.000150837,9.19653e-05,0.609791,0.609699,-3.34885e-05,-2.72238e-05,0.812905,0.812932,5.44991e-05,5.538e-05,1.01622,1.01617,-4.32239e-05,-5.27072e-05,1.21935,1.2194,-2.31174e-05,-3.28875e-05,1.4226,1.42263,-2.07156e-05,-3.36807e-05,1.62583,1.62586,0.000129399,5.25993e-05,0.406542,0.406489,-8.292e-07,-5.05543e-07,0.609675,0.609675,-1.48508e-05,-1.20728e-05,0.812928,0.81294,4.82513e-05,4.90332e-05,1.01625,1.0162,-6.43517e-05,-7.84698e-05,1.21931,1.21939,-8.43038e-05,-0.000119935,1.42253,1.42265,-2.15733e-05,-3.50747e-05,1.62581,1.62584,0.000349764,7.10836e-05,0.203304,0.203233
2,9.30963e-06,5.67609e-05,6.09707,6.09701,0.000223935,4.55093e-05,0.203271,0.203225,2.31557e-05,9.41201e-06,0.406476,0.406466,7.17413e-05,4.37406e-05,0.609743,0.609699,1.73123e-05,1.40737e-05,0.812946,0.812932,2.70409e-06,2.7478e-06,1.01617,1.01617,-3.95526e-05,-4.82303e-05,1.21935,1.2194,-4.04285e-05,-5.75148e-05,1.42257,1.42263,-3.15603e-06,-5.13127e-06,1.62586,1.62586,-9.616e-05,-3.9088e-05,0.40645,0.406489,1.11394e-05,6.79144e-06,0.609682,0.609675,-6.72742e-05,-5.46899e-05,0.812885,0.81294,9.12509e-05,9.27295e-05,1.0163,1.0162,-4.7117e-05,-5.7454e-05,1.21933,1.21939,1.65194e-05,2.35014e-05,1.42268,1.42265,1.79653e-05,2.92086e-05,1.62587,1.62584,8.76804e-05,1.78195e-05,0.203251,0.203233
3,-4.88555e-06,-2.97872e-05,6.09698,6.09701,-7.28271e-05,-1.48003e-05,0.20321,0.203225,-3.89717e-05,-1.58407e-05,0.40645,0.406466,7.04913e-05,4.29785e-05,0.609742,0.609699,3.62721e-05,2.94867e-05,0.812961,0.812932,1.99286e-06,2.02508e-06,1.01617,1.01617,-5.0845e-05,-6.20002e-05,1.21934,1.2194,2.09076e-05,2.97438e-05,1.42266,1.42263,4.28712e-05,6.97027e-05,1.62593,1.62586,0.000140912,5.7279e-05,0.406547,0.406489,2.99612e-05,1.82666e-05,0.609694,0.609675,-4.06061e-05,-3.30103e-05,0.812907,0.81294,5.71633e-05,5.80896e-05,1.01626,1.0162,-5.35882e-05,-6.5345e-05,1.21932,1.21939,-6.03351e-05,-8.5836e-05,1.42257,1.42265,1.04229e-05,1.6946e-05,1.62586,1.62584,8.02638e-06,1.63122e-06,0.203235,0.203233
4,7.11365e-06,4.3372e-05,6.09706,6.09701,-0.000225021,-4.573e-05,0.203179,0.203225,7.40983e-05,3.01185e-05,0.406496,0.406466,7.81621e-05,4.76554e-05,0.609747,0.609699,3.46371e-05,2.81576e-05,0.81296,0.812932,6.18958e-06,6.28963e-06,1.01617,1.01617,8.25456e-06,1.00656e-05,1.21941,1.2194,1.11214e-06,1.58216e-06,1.42263,1.42263,3.44583e-05,5.60244e-05,1.62592,1.62586,-6.64909e-06,-2.70278e-06,0.406487,0.406489,-5.12222e-05,-3.12289e-05,0.609644,0.609675,-4.33725e-05,-3.52592e-05,0.812904,0.81294,3.49853e-05,3.55522e-05,1.01624,1.0162,1.37384e-05,1.67525e-05,1.21941,1.21939,-2.67028e-07,-3.79889e-07,1.42265,1.42265,-1.315e-05,-2.13798e-05,1.62582,1.62584,4.80945e-05,9.77438e-06,0.203243,0.203233
5,2.34876e-05,0.000143204,6.09716,6.09701,-6.8262e-05,-1.38726e-05,0.203211,0.203225,-5.92053e-05,-2.40649e-05,0.406442,0.406466,0.000129522,7.89694e-05,0.609778,0.609699,9.26469e-05,7.53156e-05,0.813007,0.812932,2.63115e-05,2.67368e-05,1.01619,1.01617,-3.88727e-05,-4.74013e-05,1.21935,1.2194,-6.18461e-05,-8.79842e-05,1.42254,1.42263,-2.52209e-05,-4.10058e-05,1.62582,1.62586,7.83165e-05,3.18348e-05,0.406521,0.406489,-3.98067e-05,-2.42692e-05,0.609651,0.609675,-0.000109272,-8.88315e-05,0.812851,0.81294,2.14518e-05,2.17994e-05,1.01623,1.0162,-1.27474e-05,-1.55441e-05,1.21937,1.21939,-2.81027e-05,-3.99804e-05,1.42261,1.42265,4.7961e-05,7.79769e-05,1.62592,1.62584,4.33776e-05,8.81575e-06,0.203242,0.203233
6,3.13933e-05,0.000191405,6.0972,6.09701,-3.68734e-05,-7.4936e-06,0.203218,0.203225,0.000127337,5.17581e-05,0.406518,0.406466,8.84702e-05,5.39402e-05,0.609753,0.609699,1.11129e-05,9.03402e-06,0.812941,0.812932,3.01533e-05,3.06407e-05,1.0162,1.01617,-4.29357e-05,-5.23557e-05,1.21935,1.2194,-3.00964e-05,-4.28161e-05,1.42259,1.42263,-4.61784e-06,-7.50798e-06,1.62586,1.62586,0.000164399,6.68266e-05,0.406556,0.406489,-1.23734e-05,-7.54377e-06,0.609668,0.609675,-3.02936e-05,-2.46269e-05,0.812915,0.81294,7.68771e-05,7.81228e-05,1.01628,1.0162,-2.62877e-05,-3.2055e-05,1.21936,1.21939,-4.50312e-05,-6.40639e-05,1.42259,1.42265,6.32732e-05,0.000102872,1.62594,1.62584,0.000411146,8.35585e-05,0.203316,0.203233
7,5.88406e-05,0.000358752,6.09737,6.09701,0.000389384,7.91326e-05,0.203304,0.203225,-2.90457e-06,-1.18061e-06,0.406465,0.406466,9.18896e-05,5.6025e-05,0.609755,0.609699,1.32471e-05,1.0769e-05,0.812943,0.812932,-2.97982e-05,-3.02798e-05,1.01613,1.01617,5.62251e-06,6.85608e-06,1.2194,1.2194,-3.80608e-05,-5.41465e-05,1.42258,1.42263,-1.08038e-05,-1.75655e-05,1.62585,1.62586,8.09649e-05,3.29114e-05,0.406522,0.406489,4.10687e-05,2.50386e-05,0.609701,0.609675,-4.23007e-05,-3.43879e-05,0.812905,0.81294,0.000117533,0.000119437,1.01632,1.0162,4.96784e-05,6.05774e-05,1.21945,1.21939,-1.90004e-05,-2.70311e-05,1.42263,1.42265,6.99456e-05,0.00011372,1.62595,1.62584,4.99993e-05,1.01615e-05,0.203243,0.203233
8,6.64464e-05,0.000405124,6.09742,6.09701,0.00028669,5.82627e-05,0.203283,0.203225,8.82341e-05,3.58642e-05,0.406502,0.406466,0.000215698,0.000131511,0.60983,0.609699,4.86121e-05,3.95183e-05,0.812971,0.812932,5.82314e-05,5.91727e-05,1.01622,1.01617,9.77445e-06,1.19189e-05,1.21941,1.2194,-4.21005e-06,-5.98934e-06,1.42262,1.42263,3.2505e-05,5.28487e-05,1.62592,1.62586,7.68823e-05,3.12518e-05,0.406521,0.406489,3.48301e-05,2.12351e-05,0.609697,0.609675,-3.99796e-05,-3.2501e-05,0.812907,0.81294,0.000126601,0.000128652,1.01633,1.0162,5.58894e-05,6.8151e-05,1.21946,1.21939,-8.02179e-05,-0.000114122,1.42254,1.42265,6.59657e-05,0.00010725,1.62595,1.62584,0.00010967,2.22886e-05,0.203255,0.203233
9,8.02952e-05,0.000489561,6.0975,6.09701,-0.000475142,-9.65608e-05,0.203129,0.203225,4.04085e-05,1.64247e-05,0.406483,0.406466,0.000171877,0.000104793,0.609804,0.609699,-1.43421e-05,-1.16592e-05,0.81292,0.812932,-2.85141e-05,-2.89751e-05,1.01614,1.01617,4.40546e-05,5.37201e-05,1.21945,1.2194,-6.47241e-05,-9.20784e-05,1.42254,1.42263,2.03983e-05,3.31649e-05,1.6259,1.62586,0.000249969,0.00010161,0.406591,0.406489,5.26043e-05,3.20716e-05,0.609708,0.609675,-1.77075e-05,-1.43952e-05,0.812925,0.81294,0.000118849,0.000120775,1.01632,1.0162,7.60646e-05,9.27524e-05,1.21948,1.21939,4.25059e-06,6.04713e-06,1.42266,1.42265,0.000103845,0.000168835,1.62601,1.62584,0.000272319,5.53442e-05,0.203288,0.203233
