Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.59,0,-0.018095,0,0,1.5296,20,4.8562
1.09,0.000285,-0.020212,0.00037193,8e-06,0,0,0
1.59,0.000283,-0.021564,0.00027096,0.00019398,0,0,0
2.09,0.000473,-0.0098422,0.00034194,1.8e-05,0,0,0
2.59,0.000421,0.019722,0.00030695,0.00013699,0,0,0
3.09,0.000383,0.05427,0.00032795,-0.00029004,0,0,0
3.59,0.000418,0.08644,0.00049288,0.00012499,0,0,0
4.09,0.000925,0.11356,0.00052286,0.00015499,0,0,0
4.59,0.00064,0.14086,0.00026696,5e-06,0,0,0
5.09,0.000749,0.16557,0.0004399,0.00016999,0,0,0
5.59,0.000676,0.19215,0.00058983,0.00015299,0,0,0
6.09,0.000712,0.21671,0.00039992,0.00014599,0,0,0
6.59,0.000938,0.23929,0.00026796,0.00022897,0,0,0
7.09,0.000835,0.25771,0.00042491,0.00014499,0,0,0
7.59,0.000983,0.27558,0.00057284,2.5e-05,0,0,0
8.09,0.000746,0.29357,0.00046389,-2.6e-05,0,0,0
8.59,0.000939,0.31315,0.00042191,0.00022098,0,0,0
9.09,0.001007,0.33157,0.00032395,0.00010899,0,0,0
9.59,0.000949,0.35043,0.00038693,-6.6002e-05,0,0,0
10.09,0.001034,0.36771,0.00025397,-0.00011301,0,0,0
10.59,0.001234,0.385,0.00013499,1.9e-05,0,0,0
11.09,0.000988,0.40214,0.00024197,8.4996e-05,0,0,0
11.59,0.001139,0.42229,0.00014099,1.5e-05,0,0,0
12.09,0.001299,0.44128,0.00037393,0.00012099,0,0,0
12.59,0.001146,0.46072,0.00028196,4e-06,0,0,0
13.09,0.001398,0.47828,0.00027396,0.00010999,0,0,0
13.59,0.00143,0.49658,0.00028596,0.00010899,0,0,0
14.09,0.001687,0.51357,0.00033095,0.00023197,0,0,0
14.59,0.001766,0.53215,0.00040692,4.6999e-05,0,0,0
15.09,0.001621,0.55014,0.00025797,0.00016599,0,0,0
15.59,0.001622,0.56915,0.00056584,0.00018898,0,0,0
16.09,0.001599,0.58785,0.00060881,0.00017898,0,0,0
16.59,0.001715,0.60743,0.00038093,0.00033095,0,0,0
17.09,0.001745,0.62685,0.00058583,8.8996e-05,0,0,0
17.59,0.001913,0.64715,0.00031395,0.00029096,0,0,0
18.09,0.001765,0.66685,0.00058883,7.5997e-05,0,0,0
