"E0",,,,,"E1",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
16,0.000662267,0.00412068,6.2262,6.22208,0.000674833,0.00125966,1.86788,1.86662,0.000674841,0.00251935,3.73577,3.73325,-0.000163524,-0.000305237,1.86632,1.86662,-7.10692e-05,-4.42198e-05,0.622164,0.622208,-0.00013613,-0.000141168,1.03687,1.03701,-0.000253497,-0.000368032,1.45145,1.45182
17,0.000754662,0.00469557,6.22678,6.22208,0.000722095,0.00134788,1.86797,1.86662,0.000763189,0.00284917,3.7361,3.73325,-0.000141282,-0.000263721,1.86636,1.86662,-0.000110054,-6.84766e-05,0.62214,0.622208,-0.000158959,-0.000164842,1.03685,1.03701,-0.000307327,-0.000446183,1.45137,1.45182
18,0.000870543,0.00541659,6.2275,6.22208,0.000833638,0.00155609,1.86818,1.86662,0.000823843,0.00307561,3.73633,3.73325,-0.000254512,-0.000475078,1.86615,1.86662,-0.000229391,-0.000142729,0.622066,0.622208,-0.000158254,-0.000164112,1.03685,1.03701,-0.000310675,-0.000451044,1.45137,1.45182
19,0.000955619,0.00594594,6.22803,6.22208,0.000905323,0.0016899,1.86831,1.86662,0.000955161,0.00356586,3.73682,3.73325,-0.000266546,-0.000497541,1.86613,1.86662,-0.000373552,-0.000232427,0.621976,0.622208,-0.000283189,-0.000293671,1.03672,1.03701,-0.00032084,-0.000465802,1.45135,1.45182
20,0.00109583,0.00681833,6.2289,6.22208,0.00103714,0.00193595,1.86856,1.86662,0.00108234,0.00404064,3.73729,3.73325,-0.000341871,-0.000638144,1.86599,1.86662,-0.000350608,-0.000218151,0.62199,0.622208,-0.000184405,-0.000191231,1.03682,1.03701,-0.000409171,-0.000594043,1.45123,1.45182
21,0.00124797,0.00776497,6.22985,6.22208,0.00122249,0.00228193,1.86891,1.86662,0.00123086,0.00459511,3.73784,3.73325,-0.000314643,-0.000587321,1.86604,1.86662,-0.000400624,-0.000249272,0.621959,0.622208,-0.000273805,-0.00028394,1.03673,1.03701,-0.000453302,-0.000658112,1.45116,1.45182
22,0.00139623,0.00868744,6.23077,6.22208,0.00132231,0.00246826,1.86909,1.86662,0.00136815,0.00510765,3.73836,3.73325,-0.000391499,-0.000730782,1.86589,1.86662,-0.000506281,-0.000315012,0.621893,0.622208,-0.000301489,-0.000312649,1.0367,1.03701,-0.000469368,-0.000681438,1.45114,1.45182
23,0.00159622,0.00993179,6.23201,6.22208,0.00153721,0.00286939,1.86949,1.86662,0.00156261,0.0058336,3.73908,3.73325,-0.000464022,-0.000866155,1.86576,1.86662,-0.000588645,-0.00036626,0.621842,0.622208,-0.000403384,-0.000418315,1.0366,1.03701,-0.000529373,-0.000768554,1.45105,1.45182
24,0.00181073,0.0112665,6.23335,6.22208,0.00173085,0.00323086,1.86986,1.86662,0.00176078,0.00657342,3.73982,3.73325,-0.000530008,-0.000989327,1.86564,1.86662,-0.000690234,-0.000429469,0.621779,0.622208,-0.000518756,-0.000537957,1.03648,1.03701,-0.000631333,-0.000916581,1.4509,1.45182
25,0.00202042,0.0125712,6.23465,6.22208,0.00192905,0.00360082,1.87023,1.86662,0.00197816,0.00738496,3.74063,3.73325,-0.00061446,-0.00114697,1.86548,1.86662,-0.000686624,-0.000427223,0.621781,0.622208,-0.000587119,-0.000608851,1.0364,1.03701,-0.000698127,-0.00101355,1.45081,1.45182
26,0.00237717,0.014791,6.23687,6.22208,0.00231727,0.00432548,1.87095,1.86662,0.00231081,0.00862685,3.74188,3.73325,-0.00079432,-0.0014827,1.86514,1.86662,-0.000962184,-0.000598679,0.62161,0.622208,-0.00073883,-0.000766177,1.03625,1.03701,-0.000892152,-0.00129524,1.45052,1.45182
27,0.00272821,0.0169752,6.23906,6.22208,0.00262188,0.00489406,1.87152,1.86662,0.00269992,0.0100795,3.74333,3.73325,-0.000941626,-0.00175766,1.86487,1.86662,-0.00106883,-0.000665037,0.621543,0.622208,-0.000936687,-0.000971358,1.03604,1.03701,-0.00105613,-0.00153331,1.45029,1.45182
28,0.00310286,0.0193062,6.24139,6.22208,0.00304815,0.00568975,1.87231,1.86662,0.00304698,0.0113751,3.74462,3.73325,-0.00110007,-0.00205342,1.86457,1.86662,-0.00130506,-0.000812019,0.621396,0.622208,-0.0010002,-0.00103722,1.03598,1.03701,-0.00115305,-0.00167403,1.45015,1.45182
29,0.00348334,0.0216736,6.24376,6.22208,0.00348019,0.00649621,1.87312,1.86662,0.00343501,0.0128237,3.74607,3.73325,-0.00129414,-0.00241568,1.86421,1.86662,-0.00152934,-0.000951566,0.621257,0.622208,-0.00123332,-0.00127897,1.03573,1.03701,-0.00135235,-0.00196337,1.44986,1.45182
30,0.00386734,0.0240629,6.24615,6.22208,0.00384811,0.00718297,1.87381,1.86662,0.00382595,0.0142832,3.74753,3.73325,-0.00147758,-0.00275808,1.86387,1.86662,-0.00178308,-0.00110945,0.621099,0.622208,-0.00135543,-0.0014056,1.03561,1.03701,-0.00151721,-0.00220272,1.44962,1.45182
31,0.00425992,0.0265056,6.24859,6.22208,0.00417626,0.00779552,1.87442,1.86662,0.00422637,0.0157781,3.74903,3.73325,-0.00164756,-0.00307537,1.86355,1.86662,-0.00219031,-0.00136283,0.620845,0.622208,-0.00154534,-0.00160254,1.03541,1.03701,-0.00169133,-0.0024555,1.44936,1.45182
32,0.00465039,0.0289351,6.25102,6.22208,0.00461775,0.0086196,1.87524,1.86662,0.00459846,0.0171672,3.75042,3.73325,-0.00192014,-0.00358418,1.86304,1.86662,-0.00240441,-0.00149604,0.620712,0.622208,-0.00178199,-0.00184795,1.03517,1.03701,-0.00196874,-0.00285826,1.44896,1.45182
33,0.00507651,0.0315865,6.25367,6.22208,0.005032,0.00939286,1.87602,1.86662,0.00500966,0.0187023,3.75195,3.73325,-0.00205432,-0.00383465,1.86279,1.86662,-0.00251727,-0.00156627,0.620642,0.622208,-0.00194438,-0.00201635,1.035,1.03701,-0.00210579,-0.00305723,1.44876,1.45182
34,0.00547905,0.0340911,6.25617,6.22208,0.00545754,0.0101872,1.87681,1.86662,0.00545037,0.0203476,3.7536,3.73325,-0.00219612,-0.00409934,1.86253,1.86662,-0.00268195,-0.00166873,0.62054,0.622208,-0.00203809,-0.00211353,1.0349,1.03701,-0.0022991,-0.00333788,1.44848,1.45182
35,0.00586748,0.036508,6.25859,6.22208,0.00586011,0.0109386,1.87756,1.86662,0.00584465,0.0218196,3.75507,3.73325,-0.00244399,-0.00456202,1.86206,1.86662,-0.00285345,-0.00177544,0.620433,0.622208,-0.00223721,-0.00232002,1.03469,1.03701,-0.00249358,-0.00362022,1.4482,1.45182
36,0.00630993,0.0392609,6.26134,6.22208,0.00629378,0.0117481,1.87837,1.86662,0.00630461,0.0235367,3.75679,3.73325,-0.00258951,-0.00483363,1.86179,1.86662,-0.00305732,-0.00190229,0.620306,0.622208,-0.00237431,-0.00246219,1.03455,1.03701,-0.00259533,-0.00376795,1.44805,1.45182
37,0.00672941,0.0418709,6.26395,6.22208,0.00669741,0.0125015,1.87913,1.86662,0.00673744,0.0251525,3.7584,3.73325,-0.00278219,-0.00519331,1.86143,1.86662,-0.00344674,-0.00214459,0.620064,0.622208,-0.00254892,-0.00264326,1.03437,1.03701,-0.00286326,-0.00415694,1.44766,1.45182
38,0.00706885,0.043983,6.26607,6.22208,0.00695157,0.012976,1.8796,1.86662,0.00704351,0.0262952,3.75954,3.73325,-0.00301006,-0.00561866,1.86101,1.86662,-0.00360726,-0.00224447,0.619964,0.622208,-0.0028086,-0.00291256,1.0341,1.03701,-0.00308032,-0.00447207,1.44735,1.45182
39,0.00758658,0.0472043,6.26929,6.22208,0.00744067,0.0138889,1.88051,1.86662,0.00758522,0.0283175,3.76157,3.73325,-0.00316664,-0.00591093,1.86071,1.86662,-0.00389408,-0.00242293,0.619785,0.622208,-0.00294966,-0.00305884,1.03395,1.03701,-0.00325995,-0.00473285,1.44709,1.45182
40,0.00797994,0.0496518,6.27173,6.22208,0.00790351,0.0147529,1.88138,1.86662,0.00799585,0.0298505,3.7631,3.73325,-0.00335146,-0.00625592,1.86037,1.86662,-0.00419595,-0.00261075,0.619598,0.622208,-0.00313136,-0.00324727,1.03377,1.03701,-0.00346794,-0.00503482,1.44678,1.45182
41,0.00842675,0.0524319,6.27451,6.22208,0.0083927,0.015666,1.88229,1.86662,0.00844271,0.0315187,3.76477,3.73325,-0.0035373,-0.00660282,1.86002,1.86662,-0.00442091,-0.00275073,0.619458,0.622208,-0.00330292,-0.00342518,1.03359,1.03701,-0.00364967,-0.00529866,1.44652,1.45182
42,0.00880423,0.0547807,6.27686,6.22208,0.00876639,0.0163636,1.88299,1.86662,0.00884466,0.0330193,3.76627,3.73325,-0.00374447,-0.00698952,1.85964,1.86662,-0.00454927,-0.00283059,0.619378,0.622208,-0.00356097,-0.00369278,1.03332,1.03701,-0.00382403,-0.0055518,1.44627,1.45182
43,0.00924756,0.0575391,6.27962,6.22208,0.00913582,0.0170531,1.88368,1.86662,0.00929815,0.0347123,3.76796,3.73325,-0.00395137,-0.00737572,1.85925,1.86662,-0.00479705,-0.00298476,0.619224,0.622208,-0.00370266,-0.00383971,1.03317,1.03701,-0.00406356,-0.00589955,1.44592,1.45182
44,0.00967389,0.0601917,6.28227,6.22208,0.00954007,0.0178077,1.88443,1.86662,0.00971656,0.0362744,3.76952,3.73325,-0.00411827,-0.00768727,1.85894,1.86662,-0.00509426,-0.00316969,0.619039,0.622208,-0.00389752,-0.00404178,1.03297,1.03701,-0.0042594,-0.00618387,1.44564,1.45182
45,0.0101008,0.062848,6.28493,6.22208,0.00995793,0.0185877,1.88521,1.86662,0.0101164,0.037767,3.77102,3.73325,-0.00432364,-0.00807062,1.85855,1.86662,-0.00533172,-0.00331744,0.618891,0.622208,-0.00406439,-0.00421483,1.0328,1.03701,-0.00442571,-0.00642532,1.44539,1.45182
46,0.0104952,0.0653021,6.28738,6.22208,0.010359,0.0193364,1.88596,1.86662,0.0105361,0.039334,3.77258,3.73325,-0.00447878,-0.00836021,1.85826,1.86662,-0.00554185,-0.00344819,0.61876,0.622208,-0.00423037,-0.00438695,1.03263,1.03701,-0.00461411,-0.00669885,1.44512,1.45182
47,0.0109338,0.0680313,6.29011,6.22208,0.0108067,0.020172,1.8868,1.86662,0.0109826,0.0410008,3.77425,3.73325,-0.00471961,-0.00880974,1.85782,1.86662,-0.00579259,-0.0036042,0.618604,0.622208,-0.00436839,-0.00453008,1.03248,1.03701,-0.00485549,-0.00704929,1.44477,1.45182
48,0.011372,0.0707573,6.29284,6.22208,0.0112138,0.020932,1.88756,1.86662,0.0113961,0.0425446,3.77579,3.73325,-0.00489248,-0.00913243,1.85749,1.86662,-0.00605489,-0.00376741,0.618441,0.622208,-0.00456189,-0.00473074,1.03228,1.03701,-0.00498478,-0.00723699,1.44458,1.45182
49,0.0117424,0.0730622,6.29514,6.22208,0.0115611,0.0215802,1.8882,1.86662,0.0117869,0.0440034,3.77725,3.73325,-0.00509239,-0.00950557,1.85712,1.86662,-0.0063077,-0.0039247,0.618284,0.622208,-0.00484058,-0.00501975,1.03199,1.03701,-0.00520717,-0.00755988,1.44426,1.45182
50,0.012166,0.0756979,6.29778,6.22208,0.0120255,0.0224471,1.88907,1.86662,0.0121892,0.0455054,3.77875,3.73325,-0.00526595,-0.00982955,1.8568,1.86662,-0.00646909,-0.00402512,0.618183,0.622208,-0.00500103,-0.00518613,1.03183,1.03701,-0.00540595,-0.00784846,1.44397,1.45182
51,0.0125767,0.078253,6.30034,6.22208,0.0124012,0.0231483,1.88977,1.86662,0.0126402,0.0471892,3.78044,3.73325,-0.00540108,-0.0100818,1.85654,1.86662,-0.00668578,-0.00415995,0.618048,0.622208,-0.0051446,-0.00533502,1.03168,1.03701,-0.00556861,-0.00808461,1.44373,1.45182
52,0.0129888,0.0808173,6.3029,6.22208,0.0127862,0.023867,1.89049,1.86662,0.0130689,0.0487894,3.78204,3.73325,-0.00567247,-0.0105884,1.85604,1.86662,-0.00686136,-0.0042692,0.617939,0.622208,-0.00534602,-0.0055439,1.03147,1.03701,-0.00579096,-0.00840743,1.44341,1.45182
53,0.0134123,0.0834523,6.30553,6.22208,0.0132055,0.0246497,1.89127,1.86662,0.013496,0.0503838,3.78363,3.73325,-0.00580801,-0.0108414,1.85578,1.86662,-0.00704029,-0.00438052,0.617828,0.622208,-0.00556077,-0.00576659,1.03125,1.03701,-0.00595793,-0.00864984,1.44317,1.45182
54,0.0138044,0.0858919,6.30797,6.22208,0.0136136,0.0254116,1.89204,1.86662,0.0138769,0.0518059,3.78506,3.73325,-0.00600157,-0.0112027,1.85542,1.86662,-0.00726583,-0.00452086,0.617687,0.622208,-0.00581779,-0.00603313,1.03098,1.03701,-0.00611546,-0.00887854,1.44294,1.45182
55,0.0142398,0.0886011,6.31068,6.22208,0.0140018,0.0261361,1.89276,1.86662,0.0142919,0.0533554,3.78661,3.73325,-0.0061864,-0.0115477,1.85508,1.86662,-0.00745643,-0.00463945,0.617569,0.622208,-0.00594141,-0.00616132,1.03085,1.03701,-0.00632542,-0.00918336,1.44264,1.45182
56,0.0146328,0.0910463,6.31313,6.22208,0.0144613,0.0269939,1.89362,1.86662,0.0146932,0.0548533,3.7881,3.73325,-0.00633331,-0.0118219,1.8548,1.86662,-0.00769442,-0.00478753,0.617421,0.622208,-0.00611274,-0.00633899,1.03067,1.03701,-0.00650638,-0.00944608,1.44237,1.45182
57,0.0150349,0.0935482,6.31563,6.22208,0.0148493,0.0277181,1.89434,1.86662,0.0150967,0.0563599,3.78961,3.73325,-0.00652264,-0.0121753,1.85445,1.86662,-0.00782298,-0.00486752,0.617341,0.622208,-0.0062489,-0.0064802,1.03053,1.03701,-0.0067341,-0.00977669,1.44204,1.45182
58,0.0154652,0.096226,6.31831,6.22208,0.0152514,0.0284685,1.89509,1.86662,0.0155217,0.0579465,3.7912,3.73325,-0.00670431,-0.0125144,1.85411,1.86662,-0.00802574,-0.00499368,0.617215,0.622208,-0.00644705,-0.00668568,1.03033,1.03701,-0.006929,-0.0100597,1.44176,1.45182
59,0.0158789,0.0987996,6.32088,6.22208,0.0156361,0.0291868,1.89581,1.86662,0.0159845,0.0596742,3.79292,3.73325,-0.00691551,-0.0129087,1.85372,1.86662,-0.00821413,-0.0051109,0.617097,0.622208,-0.00659309,-0.00683712,1.03018,1.03701,-0.00711191,-0.0103252,1.44149,1.45182
60,0.0162942,0.101384,6.32347,6.22208,0.0159975,0.0298613,1.89649,1.86662,0.0163909,0.0611914,3.79444,3.73325,-0.00706294,-0.0131839,1.85344,1.86662,-0.00842472,-0.00524193,0.616966,0.622208,-0.00677555,-0.00702634,1.02999,1.03701,-0.00728179,-0.0105718,1.44125,1.45182
61,0.0166967,0.103889,6.32597,6.22208,0.0164334,0.030675,1.8973,1.86662,0.0167948,0.062699,3.79595,3.73325,-0.00727687,-0.0135832,1.85304,1.86662,-0.00872943,-0.00543153,0.616777,0.622208,-0.00694537,-0.00720244,1.02981,1.03701,-0.00747685,-0.010855,1.44096,1.45182
62,0.0170945,0.106364,6.32845,6.22208,0.0168281,0.0314118,1.89804,1.86662,0.0172131,0.0642608,3.79751,3.73325,-0.00741962,-0.0138496,1.85278,1.86662,-0.00890076,-0.00553813,0.61667,0.622208,-0.00717428,-0.00743983,1.02957,1.03701,-0.00764716,-0.0111023,1.44072,1.45182
63,0.0175081,0.108937,6.33102,6.22208,0.017203,0.0321116,1.89874,1.86662,0.0176103,0.0657438,3.79899,3.73325,-0.00765549,-0.0142899,1.85233,1.86662,-0.00909909,-0.00566153,0.616547,0.622208,-0.0073059,-0.00757632,1.02944,1.03701,-0.00790652,-0.0114788,1.44034,1.45182
64,0.017904,0.1114,6.33348,6.22208,0.0175778,0.0328111,1.89944,1.86662,0.018044,0.0673626,3.80061,3.73325,-0.00776351,-0.0144916,1.85213,1.86662,-0.00928425,-0.00577674,0.616432,0.622208,-0.00743288,-0.007708,1.02931,1.03701,-0.00804688,-0.0116826,1.44014,1.45182
65,0.0183034,0.113885,6.33597,6.22208,0.0179756,0.0335536,1.90018,1.86662,0.0184561,0.0689014,3.80215,3.73325,-0.00798453,-0.0149041,1.85172,1.86662,-0.00946495,-0.00588917,0.616319,0.622208,-0.00756696,-0.00784704,1.02917,1.03701,-0.00822467,-0.0119407,1.43988,1.45182
66,0.0187212,0.116485,6.33857,6.22208,0.0184246,0.0343919,1.90102,1.86662,0.0188569,0.0703975,3.80365,3.73325,-0.00817202,-0.0152541,1.85137,1.86662,-0.00966121,-0.00601129,0.616197,0.622208,-0.00775357,-0.00804056,1.02897,1.03701,-0.00844463,-0.0122601,1.43956,1.45182
67,0.0191484,0.119143,6.34123,6.22208,0.0188442,0.035175,1.9018,1.86662,0.0192904,0.0720159,3.80527,3.73325,-0.00836125,-0.0156073,1.85102,1.86662,-0.00983907,-0.00612195,0.616086,0.622208,-0.00785139,-0.008142,1.02887,1.03701,-0.00850947,-0.0123542,1.43946,1.45182
68,0.0195661,0.121742,6.34382,6.22208,0.0193043,0.0360339,1.90266,1.86662,0.0197193,0.0736171,3.80687,3.73325,-0.00851967,-0.015903,1.85072,1.86662,-0.0100314,-0.00624165,0.615967,0.622208,-0.0080666,-0.00836518,1.02865,1.03701,-0.00874084,-0.0126901,1.43913,1.45182
69,0.0199605,0.124196,6.34628,6.22208,0.0196928,0.036759,1.90338,1.86662,0.0201014,0.0750437,3.80829,3.73325,-0.00878875,-0.0164053,1.85022,1.86662,-0.0103486,-0.006439,0.615769,0.622208,-0.00825048,-0.00855586,1.02846,1.03701,-0.0089205,-0.0129509,1.43887,1.45182
70,0.0203845,0.126834,6.34892,6.22208,0.0200978,0.0375151,1.90414,1.86662,0.0205262,0.0766294,3.80988,3.73325,-0.00887314,-0.0165628,1.85006,1.86662,-0.0105228,-0.0065474,0.615661,0.622208,-0.00839873,-0.00870959,1.0283,1.03701,-0.00902878,-0.0131082,1.43871,1.45182
71,0.0207893,0.129353,6.35143,6.22208,0.0205253,0.038313,1.90494,1.86662,0.0209594,0.0782468,3.8115,3.73325,-0.00907744,-0.0169442,1.84968,1.86662,-0.0106712,-0.00663968,0.615569,0.622208,-0.0086011,-0.00891946,1.02809,1.03701,-0.00918777,-0.013339,1.43848,1.45182
72,0.0212306,0.132099,6.35418,6.22208,0.0208939,0.0390011,1.90563,1.86662,0.021414,0.0799437,3.81319,3.73325,-0.00930535,-0.0173696,1.84926,1.86662,-0.010891,-0.00677649,0.615432,0.622208,-0.00880788,-0.0091339,1.02788,1.03701,-0.00937171,-0.013606,1.43821,1.45182
73,0.0216468,0.134688,6.35677,6.22208,0.0212695,0.0397021,1.90633,1.86662,0.021803,0.0813959,3.81465,3.73325,-0.00951551,-0.0177619,1.84886,1.86662,-0.0110315,-0.00686389,0.615344,0.622208,-0.00895053,-0.00928182,1.02773,1.03701,-0.00957919,-0.0139073,1.43791,1.45182
74,0.0220666,0.1373,6.35938,6.22208,0.021729,0.0405599,1.90718,1.86662,0.022239,0.0830237,3.81627,3.73325,-0.00964843,-0.01801,1.84861,1.86662,-0.0113041,-0.00703353,0.615175,0.622208,-0.00902646,-0.00936056,1.02765,1.03701,-0.00969827,-0.0140801,1.43774,1.45182
75,0.0224917,0.139945,6.36203,6.22208,0.022133,0.041314,1.90794,1.86662,0.0226534,0.0845707,3.81782,3.73325,-0.00981391,-0.0183189,1.84831,1.86662,-0.0114201,-0.00710571,0.615103,0.622208,-0.00919227,-0.0095325,1.02748,1.03701,-0.00989833,-0.0143706,1.43745,1.45182
76,0.0228956,0.142458,6.36454,6.22208,0.0225574,0.0421062,1.90873,1.86662,0.0230451,0.0860331,3.81928,3.73325,-0.00998202,-0.0186327,1.84799,1.86662,-0.0116232,-0.00723208,0.614976,0.622208,-0.00932559,-0.00967077,1.02734,1.03701,-0.0101044,-0.0146697,1.43715,1.45182
77,0.0233154,0.14507,6.36715,6.22208,0.0229589,0.0428557,1.90948,1.86662,0.0234936,0.0877074,3.82096,3.73325,-0.0102222,-0.0190811,1.84754,1.86662,-0.0117117,-0.00728714,0.614921,0.622208,-0.00952398,-0.0098765,1.02714,1.03701,-0.0103046,-0.0149604,1.43686,1.45182
78,0.0237352,0.147682,6.36976,6.22208,0.023413,0.0437033,1.91033,1.86662,0.023922,0.0893068,3.82256,3.73325,-0.0103259,-0.0192747,1.84735,1.86662,-0.0118927,-0.00739975,0.614809,0.622208,-0.00971685,-0.0100765,1.02694,1.03701,-0.0104851,-0.0152225,1.4366,1.45182
79,0.0241418,0.150212,6.37229,6.22208,0.0237743,0.0443776,1.911,1.86662,0.0243119,0.0907623,3.82401,3.73325,-0.0105656,-0.019722,1.8469,1.86662,-0.0121183,-0.00754009,0.614668,0.622208,-0.00991863,-0.0102858,1.02673,1.03701,-0.0107,-0.0155344,1.43628,1.45182
