"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
10,8.42693e-05,0.000260526,3.09186,3.09159,0.00033769,3.47964e-05,0.103077,0.103043,-0.000160489,-3.30781e-05,0.206075,0.206108,-0.000174136,-5.38356e-05,0.309105,0.309159,0.00018902,7.79166e-05,0.412291,0.412213,0.000101731,5.24187e-05,0.515319,0.515267,5.56854e-05,3.44314e-05,0.618356,0.618321,0.000130308,9.40007e-05,0.721469,0.721375,6.89511e-05,5.68451e-05,0.824483,0.824426,-0.000554985,-0.000114396,0.20601,0.206124,-0.000256785,-7.93883e-05,0.309083,0.309162,9.47003e-05,3.90365e-05,0.41225,0.412211,-1.38534e-05,-7.13809e-06,0.515252,0.51526,-5.99381e-05,-3.70613e-05,0.61829,0.618327,3.52538e-05,2.54312e-05,0.721401,0.721376,5.32159e-05,4.38724e-05,0.824466,0.824422,0.000194373,2.00309e-05,0.103074,0.103054
11,7.51601e-05,0.000232364,3.09183,3.09159,-0.000316675,-3.2631e-05,0.10301,0.103043,-0.000393845,-8.11749e-05,0.206027,0.206108,-0.00021004,-6.49358e-05,0.309094,0.309159,0.000111365,4.59059e-05,0.412259,0.412213,-4.8396e-05,-2.49369e-05,0.515242,0.515267,8.36992e-05,5.1753e-05,0.618373,0.618321,5.83838e-05,4.21166e-05,0.721418,0.721375,5.95488e-05,4.90936e-05,0.824475,0.824426,-0.00025593,-5.27533e-05,0.206071,0.206124,-0.000116166,-3.59143e-05,0.309127,0.309162,0.000118105,4.86841e-05,0.41226,0.412211,-1.66951e-05,-8.60228e-06,0.515251,0.51526,-7.74965e-05,-4.79182e-05,0.618279,0.618327,2.9837e-05,2.15237e-05,0.721397,0.721376,8.83852e-05,7.28667e-05,0.824495,0.824422,0.000233731,2.4087e-05,0.103078,0.103054
12,7.66706e-05,0.000237034,3.09183,3.09159,9.12051e-05,9.398e-06,0.103052,0.103043,-0.000201786,-4.15898e-05,0.206067,0.206108,-8.06452e-05,-2.49322e-05,0.309134,0.309159,0.000168213,6.93397e-05,0.412282,0.412213,-3.04764e-05,-1.57035e-05,0.515251,0.515267,-4.90405e-05,-3.03228e-05,0.618291,0.618321,9.32682e-05,6.72814e-05,0.721443,0.721375,8.24497e-05,6.79736e-05,0.824494,0.824426,-0.000476571,-9.82326e-05,0.206026,0.206124,-5.61724e-05,-1.73664e-05,0.309145,0.309162,0.000216071,8.9067e-05,0.4123,0.412211,-6.81406e-05,-3.51101e-05,0.515224,0.51526,-0.000142406,-8.80533e-05,0.618239,0.618327,1.89879e-05,1.36974e-05,0.721389,0.721376,5.3698e-05,4.42698e-05,0.824466,0.824422,0.000484288,4.99079e-05,0.103104,0.103054
13,5.33196e-05,0.000164843,3.09176,3.09159,-0.000249369,-2.56956e-05,0.103017,0.103043,-0.000741614,-0.000152853,0.205956,0.206108,-0.000279851,-8.65183e-05,0.309072,0.309159,3.08714e-05,1.27256e-05,0.412226,0.412213,8.08122e-06,4.16399e-06,0.515271,0.515267,6.04456e-05,3.73748e-05,0.618359,0.618321,0.000152814,0.000110236,0.721486,0.721375,5.15218e-05,4.24759e-05,0.824468,0.824426,-0.000378832,-7.80864e-05,0.206046,0.206124,-0.000382881,-0.000118372,0.309044,0.309162,0.000330234,0.000136126,0.412347,0.412211,-0.000133549,-6.88122e-05,0.515191,0.51526,-0.000115613,-7.14866e-05,0.618255,0.618327,6.42799e-06,4.63699e-06,0.72138,0.721376,7.14531e-05,5.89075e-05,0.824481,0.824422,8.0128e-05,8.25752e-06,0.103062,0.103054
14,7.8228e-05,0.000241849,3.09184,3.09159,-0.000321127,-3.30897e-05,0.103009,0.103043,-0.000297139,-6.12429e-05,0.206047,0.206108,-0.000381264,-0.000117871,0.309041,0.309159,2.69595e-05,1.1113e-05,0.412224,0.412213,6.44622e-05,3.32152e-05,0.5153,0.515267,-8.01288e-05,-4.95454e-05,0.618272,0.618321,0.000123732,8.92574e-05,0.721465,0.721375,4.76011e-06,3.92436e-06,0.82443,0.824426,-0.000110703,-2.28186e-05,0.206101,0.206124,-0.000185407,-5.73209e-05,0.309105,0.309162,0.000137723,5.67709e-05,0.412268,0.412211,-2.54716e-05,-1.31245e-05,0.515246,0.51526,-0.000134461,-8.3141e-05,0.618244,0.618327,4.09239e-06,2.95215e-06,0.721379,0.721376,9.05621e-05,7.46613e-05,0.824496,0.824422,0.000674514,6.95114e-05,0.103124,0.103054
15,7.04222e-05,0.000217717,3.09181,3.09159,-0.000461343,-4.75379e-05,0.102995,0.103043,-0.000289894,-5.97496e-05,0.206049,0.206108,-0.000102485,-3.16841e-05,0.309127,0.309159,0.000158832,6.54727e-05,0.412278,0.412213,-0.000124115,-6.39522e-05,0.515203,0.515267,-4.27741e-06,-2.64482e-06,0.618319,0.618321,0.000142325,0.00010267,0.721478,0.721375,2.19291e-05,1.80789e-05,0.824444,0.824426,-8.07959e-05,-1.6654e-05,0.206107,0.206124,-0.000197019,-6.0911e-05,0.309102,0.309162,6.23921e-05,2.57187e-05,0.412237,0.412211,-0.000106285,-5.47644e-05,0.515205,0.51526,-7.39571e-05,-4.57297e-05,0.618281,0.618327,-2.23357e-05,-1.61124e-05,0.721359,0.721376,7.35345e-05,6.06235e-05,0.824482,0.824422,0.000307096,3.16475e-05,0.103086,0.103054
16,7.20386e-05,0.000222714,3.09182,3.09159,-0.00046573,-4.799e-05,0.102995,0.103043,-0.000317639,-6.54681e-05,0.206043,0.206108,-0.000443895,-0.000137234,0.309021,0.309159,0.000182141,7.50809e-05,0.412288,0.412213,-1.20332e-05,-6.20033e-06,0.515261,0.515267,2.96128e-05,1.83103e-05,0.61834,0.618321,0.000157781,0.000113819,0.721489,0.721375,-6.63596e-05,-5.47086e-05,0.824371,0.824426,-0.000190295,-3.92244e-05,0.206085,0.206124,-0.000276612,-8.55181e-05,0.309077,0.309162,9.69351e-05,3.99577e-05,0.412251,0.412211,-3.28788e-05,-1.69411e-05,0.515243,0.51526,-6.95842e-05,-4.30258e-05,0.618284,0.618327,-5.95561e-05,-4.29623e-05,0.721333,0.721376,0.000101182,8.34168e-05,0.824505,0.824422,-8.60144e-05,-8.86414e-06,0.103045,0.103054
17,5.81834e-05,0.000179879,3.09177,3.09159,0.000394863,4.06877e-05,0.103083,0.103043,-0.000384437,-7.92356e-05,0.206029,0.206108,-0.000154583,-4.77906e-05,0.309111,0.309159,0.000241586,9.9585e-05,0.412313,0.412213,-3.84087e-06,-1.97907e-06,0.515265,0.515267,0.000122101,7.54977e-05,0.618397,0.618321,0.000166786,0.000120315,0.721496,0.721375,6.27035e-05,5.16944e-05,0.824477,0.824426,-0.000315135,-6.49569e-05,0.206059,0.206124,-8.01469e-05,-2.47784e-05,0.309138,0.309162,5.33935e-05,2.20094e-05,0.412233,0.412211,-2.00275e-05,-1.03194e-05,0.515249,0.51526,-6.69546e-05,-4.13998e-05,0.618286,0.618327,-8.95627e-06,-6.46084e-06,0.721369,0.721376,4.42333e-05,3.64669e-05,0.824458,0.824422,7.82851e-05,8.0676e-06,0.103062,0.103054
18,7.22116e-05,0.000223249,3.09182,3.09159,5.28425e-05,5.44502e-06,0.103048,0.103043,-0.000275357,-5.67534e-05,0.206052,0.206108,-0.000319642,-9.882e-05,0.30906,0.309159,7.5283e-05,3.10326e-05,0.412244,0.412213,1.88608e-05,9.71833e-06,0.515277,0.515267,8.69332e-05,5.37527e-05,0.618375,0.618321,0.000161967,0.000116839,0.721492,0.721375,2.64331e-05,2.17922e-05,0.824448,0.824426,-0.000321327,-6.62331e-05,0.206058,0.206124,7.16623e-06,2.21553e-06,0.309165,0.309162,0.00014837,6.11599e-05,0.412272,0.412211,-5.87018e-06,-3.02467e-06,0.515257,0.51526,-0.000168336,-0.000104087,0.618223,0.618327,6.80673e-05,4.91021e-05,0.721425,0.721376,4.55227e-05,3.75299e-05,0.824459,0.824422,0.000187687,1.93419e-05,0.103074,0.103054
19,6.15837e-05,0.000190392,3.09179,3.09159,0.000606743,6.25203e-05,0.103105,0.103043,-0.000272892,-5.62453e-05,0.206052,0.206108,-0.000218853,-6.76604e-05,0.309091,0.309159,0.000144064,5.93851e-05,0.412272,0.412213,-0.000126033,-6.49408e-05,0.515202,0.515267,-1.16307e-05,-7.19151e-06,0.618314,0.618321,0.00012486,9.00712e-05,0.721466,0.721375,2.33117e-05,1.92188e-05,0.824445,0.824426,-0.000404934,-8.34665e-05,0.20604,0.206124,-0.000135284,-4.18247e-05,0.309121,0.309162,4.73163e-05,1.95043e-05,0.41223,0.412211,-8.53914e-05,-4.39988e-05,0.515216,0.51526,-8.16219e-05,-5.0469e-05,0.618277,0.618327,7.28399e-05,5.25449e-05,0.721428,0.721376,5.91267e-05,4.87454e-05,0.824471,0.824422,0.000408585,4.21064e-05,0.103096,0.103054
