Time[s],Displacement longi[mm],Force[kN],N/A,N/A,N/A,Thickness[mm],OuterWidth[mm],N/A
0.58,0,-0.011759,0,0,0,1.5183,20,
1.08,0.000173,-0.0056728,0,0,0,0,0,
1.58,0.001486,0.0027346,0,0,0,0,0,
2.08,0.002698,0.024133,0,0,0,0,0,
2.58,0.003917,0.052867,0,0,0,0,0,
3.08,0.005145,0.07856,0,0,0,0,0,
3.58,0.006262,0.10386,0,0,0,0,0,
4.08,0.00729,0.12628,0,0,0,0,0,
4.58,0.008309,0.15043,0,0,0,0,0,
5.08,0.009378,0.173,0,0,0,0,0,
5.58,0.010414,0.19543,0,0,0,0,0,
6.08,0.011295,0.21514,0,0,0,0,0,
6.58,0.012113,0.23515,0,0,0,0,0,
7.08,0.012913,0.25414,0,0,0,0,0,
7.58,0.013705,0.27257,0,0,0,0,0,
8.08,0.014313,0.28785,0,0,0,0,0,
8.58,0.015025,0.30343,0,0,0,0,0,
9.08,0.01575,0.318,0,0,0,0,0,
9.58,0.016593,0.33272,0,0,0,0,0,
10.08,0.017312,0.34743,0,0,0,0,0,
10.58,0.018006,0.365,0,0,0,0,0,
11.08,0.018898,0.38185,0,0,0,0,0,
11.58,0.019723,0.39915,0,0,0,0,0,
12.08,0.020397,0.41485,0,0,0,0,0,
12.58,0.021172,0.431,0,0,0,0,0,
13.08,0.022085,0.44585,0,0,0,0,0,
13.58,0.022887,0.46215,0,0,0,0,0,
14.08,0.023618,0.47814,0,0,0,0,0,
14.58,0.024396,0.49486,0,0,0,0,0,
15.08,0.025367,0.51,0,0,0,0,0,
15.58,0.026241,0.52586,0,0,0,0,0,
16.08,0.027011,0.54228,0,0,0,0,0,
16.58,0.027935,0.55986,0,0,0,0,0,
17.08,0.028855,0.57585,0,0,0,0,0,
17.58,0.029674,0.59215,0,0,0,0,0,
18.08,0.030557,0.60671,0,0,0,0,0,
18.58,0.031535,0.62129,0,0,0,0,0,
19.08,0.032498,0.63585,0,0,0,0,0,
19.58,0.033359,0.653,0,0,0,0,0,
20.08,0.034313,0.66914,0,0,0,0,0,
20.58,0.03535,0.68586,0,0,0,0,0,
21.08,0.036281,0.70085,0,0,0,0,0,
