"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
10,0.000100892,0.000618101,6.12698,6.12636,-0.000747418,-0.000152629,0.204056,0.204209,-3.62634e-05,-1.48109e-05,0.40841,0.408425,6.10039e-05,3.73731e-05,0.612671,0.612634,5.5862e-07,4.56309e-07,0.81685,0.81685,-1.39343e-05,-1.42277e-05,1.02104,1.02106,7.26035e-06,8.89587e-06,1.22528,1.22527,2.93502e-05,4.19557e-05,1.42953,1.42948,3.85566e-05,6.29896e-05,1.63376,1.63369,-1.63975e-05,-6.69766e-06,0.408449,0.408456,9.02581e-05,5.52945e-05,0.612681,0.612626,7.81103e-05,6.38063e-05,0.816937,0.816873,0.000221146,0.000225799,1.02127,1.02104,0.000113743,0.000139368,1.22543,1.22529,5.12602e-05,7.32745e-05,1.42953,1.42946,7.80333e-05,0.000127484,1.63384,1.63371,-0.000207305,-4.23335e-05,0.204166,0.204208
11,7.34491e-05,0.000449976,6.12681,6.12636,-0.000527373,-0.000107694,0.204101,0.204209,-4.92885e-05,-2.01306e-05,0.408405,0.408425,-4.31519e-05,-2.64363e-05,0.612607,0.612634,-6.5898e-05,-5.38288e-05,0.816796,0.81685,-3.31935e-05,-3.38925e-05,1.02102,1.02106,-5.36583e-05,-6.57457e-05,1.2252,1.22527,-4.06592e-05,-5.81217e-05,1.42943,1.42948,-3.85449e-05,-6.29706e-05,1.63363,1.63369,-1.67749e-05,-6.8518e-06,0.408449,0.408456,-6.21145e-05,-3.8053e-05,0.612588,0.612626,-0.000161106,-0.000131604,0.816742,0.816873,0.000197741,0.000201902,1.02125,1.02104,4.37216e-05,5.35717e-05,1.22534,1.22529,6.68842e-05,9.56083e-05,1.42956,1.42946,1.6181e-06,2.64351e-06,1.63371,1.63371,-0.000278372,-5.68459e-05,0.204152,0.204208
12,0.000124285,0.000761417,6.12713,6.12636,-0.00045733,-9.33908e-05,0.204115,0.204209,2.6065e-05,1.06456e-05,0.408436,0.408425,8.06372e-05,4.9401e-05,0.612683,0.612634,-1.65573e-05,-1.35248e-05,0.816837,0.81685,-9.75941e-06,-9.96493e-06,1.02105,1.02106,2.38073e-05,2.91704e-05,1.2253,1.22527,8.42686e-06,1.20461e-05,1.4295,1.42948,2.01465e-05,3.29132e-05,1.63373,1.63369,-2.11912e-05,-8.65569e-06,0.408447,0.408456,0.000148564,9.1014e-05,0.612717,0.612626,2.74798e-05,2.24476e-05,0.816896,0.816873,0.000285006,0.000291004,1.02133,1.02104,9.01698e-05,0.000110484,1.2254,1.22529,0.000118127,0.000168857,1.42963,1.42946,0.000117421,0.000191832,1.6339,1.63371,-0.000174639,-3.56628e-05,0.204173,0.204208
13,8.94517e-05,0.000548014,6.12691,6.12636,-0.000199674,-4.07752e-05,0.204168,0.204209,-3.0911e-05,-1.26248e-05,0.408412,0.408425,4.89042e-05,2.99604e-05,0.612664,0.612634,3.65481e-05,2.98543e-05,0.81688,0.81685,-2.33599e-05,-2.38518e-05,1.02103,1.02106,9.25736e-07,1.13427e-06,1.22527,1.22527,1.72463e-05,2.46533e-05,1.42951,1.42948,2.20326e-05,3.59945e-05,1.63373,1.63369,2.62008e-05,1.07019e-05,0.408467,0.408456,0.000118204,7.24147e-05,0.612698,0.612626,-4.59222e-06,-3.75126e-06,0.81687,0.816873,0.000169919,0.000173495,1.02122,1.02104,6.05898e-05,7.42401e-05,1.22536,1.22529,1.62271e-05,2.31961e-05,1.42948,1.42946,4.50112e-05,7.35351e-05,1.63378,1.63371,-0.000592828,-0.000121061,0.204087,0.204208
14,0.000101293,0.000620557,6.12699,6.12636,-0.000129074,-2.63581e-05,0.204182,0.204209,1.08217e-05,4.41986e-06,0.408429,0.408425,1.64811e-05,1.00969e-05,0.612644,0.612634,-2.93392e-05,-2.39657e-05,0.816826,0.81685,-9.20786e-05,-9.40177e-05,1.02096,1.02106,-3.38131e-05,-4.14301e-05,1.22523,1.22527,-1.16518e-05,-1.6656e-05,1.42947,1.42948,-3.03341e-05,-4.95565e-05,1.63364,1.63369,1.93585e-05,7.90708e-06,0.408464,0.408456,0.000235356,0.000144185,0.61277,0.612626,-4.54641e-05,-3.71384e-05,0.816836,0.816873,0.000225324,0.000230066,1.02127,1.02104,8.95568e-05,0.000109733,1.2254,1.22529,0.000103196,0.000147514,1.42961,1.42946,5.16294e-05,8.43474e-05,1.63379,1.63371,-0.000268425,-5.48146e-05,0.204154,0.204208
15,9.92019e-05,0.000607747,6.12697,6.12636,-1.65751e-05,-3.38477e-06,0.204205,0.204209,-8.92572e-05,-3.64549e-05,0.408388,0.408425,0.000101759,6.2341e-05,0.612696,0.612634,-2.64592e-05,-2.16132e-05,0.816828,0.81685,-3.09774e-05,-3.16298e-05,1.02103,1.02106,-1.43605e-05,-1.75955e-05,1.22525,1.22527,3.37355e-06,4.82244e-06,1.42949,1.42948,1.55317e-05,2.53741e-05,1.63372,1.63369,2.86645e-07,1.17082e-07,0.408456,0.408456,0.000110475,6.76801e-05,0.612693,0.612626,4.47901e-05,3.65878e-05,0.81691,0.816873,0.000306502,0.000312952,1.02136,1.02104,8.84831e-05,0.000108418,1.2254,1.22529,8.65051e-05,0.000123656,1.42958,1.42946,4.95466e-05,8.09446e-05,1.63379,1.63371,-0.000324849,-6.6337e-05,0.204142,0.204208
16,0.000124483,0.000762627,6.12713,6.12636,-0.000322957,-6.59506e-05,0.204143,0.204209,-8.33263e-05,-3.40325e-05,0.408391,0.408425,0.000131446,8.05281e-05,0.612714,0.612634,-5.19076e-05,-4.24008e-05,0.816808,0.81685,-3.18587e-05,-3.25296e-05,1.02103,1.02106,-3.5741e-05,-4.37923e-05,1.22522,1.22527,7.02944e-06,1.00485e-05,1.42949,1.42948,1.69239e-05,2.76484e-05,1.63372,1.63369,9.59007e-05,3.91712e-05,0.408495,0.408456,0.000202654,0.000124151,0.61275,0.612626,0.000134415,0.0001098,0.816983,0.816873,0.000194879,0.00019898,1.02124,1.02104,0.000107943,0.000132262,1.22542,1.22529,4.56445e-05,6.52469e-05,1.42953,1.42946,0.000127962,0.000209053,1.63392,1.63371,-7.04483e-05,-1.43861e-05,0.204194,0.204208
17,0.000125401,0.000768255,6.12713,6.12636,-0.00023724,-4.84465e-05,0.20416,0.204209,-8.19278e-05,-3.34613e-05,0.408391,0.408425,5.62763e-05,3.44767e-05,0.612668,0.612634,-5.22524e-05,-4.26824e-05,0.816807,0.81685,-1.32945e-05,-1.35745e-05,1.02105,1.02106,-2.48776e-05,-3.04818e-05,1.22524,1.22527,3.89313e-05,5.56517e-05,1.42954,1.42948,1.34395e-05,2.1956e-05,1.63371,1.63369,0.000102056,4.16856e-05,0.408498,0.408456,0.000204992,0.000125583,0.612751,0.612626,8.24522e-05,6.7353e-05,0.816941,0.816873,0.000315264,0.000321898,1.02137,1.02104,0.000121773,0.000149207,1.22544,1.22529,0.000133578,0.000190944,1.42965,1.42946,8.09624e-05,0.000132269,1.63384,1.63371,-0.000387164,-7.90621e-05,0.204129,0.204208
18,0.000133409,0.000817312,6.12718,6.12636,-0.000244127,-4.98529e-05,0.204159,0.204209,-0.000116014,-4.73832e-05,0.408378,0.408425,2.01507e-05,1.2345e-05,0.612646,0.612634,-7.03417e-06,-5.74586e-06,0.816844,0.81685,-2.75647e-05,-2.81452e-05,1.02103,1.02106,-2.36925e-05,-2.90297e-05,1.22524,1.22527,-2.70858e-05,-3.87187e-05,1.42945,1.42948,-2.86093e-05,-4.67389e-05,1.63365,1.63369,0.000278496,0.000113753,0.40857,0.408456,0.000207285,0.000126988,0.612753,0.612626,0.000179995,0.000147033,0.81702,0.816873,0.0002811,0.000287015,1.02133,1.02104,0.000103673,0.00012703,1.22542,1.22529,8.41263e-05,0.000120255,1.42958,1.42946,8.21045e-05,0.000134135,1.63384,1.63371,-0.000256099,-5.22976e-05,0.204156,0.204208
19,0.000139626,0.000855399,6.12722,6.12636,-0.000292464,-5.97237e-05,0.204149,0.204209,0.0001232,5.03181e-05,0.408475,0.408425,-2.57713e-05,-1.57884e-05,0.612618,0.612634,7.54401e-05,6.16232e-05,0.816912,0.81685,-2.42698e-06,-2.47809e-06,1.02106,1.02106,1.54173e-05,1.88903e-05,1.22529,1.22527,-9.25403e-07,-1.32285e-06,1.42948,1.42948,3.59373e-05,5.87105e-05,1.63375,1.63369,0.000104153,4.2542e-05,0.408498,0.408456,0.00015111,9.25739e-05,0.612718,0.612626,0.000130647,0.000106722,0.81698,0.816873,0.000276899,0.000282726,1.02133,1.02104,0.000137254,0.000168176,1.22546,1.22529,0.000134717,0.000192573,1.42965,1.42946,0.000143568,0.000234548,1.63394,1.63371,-9.22133e-05,-1.88307e-05,0.20419,0.204208
