Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.00000000,0.00000000,-0.01580000,0.00000000,-1.05404109,0.00000000,-1.05404109,0.00000000,0.00060811,425.08215681,0.00025616,-0.00086427,0.89943472,1.50530000,9.95810000,241219.81994891
0.50000000,0.00115600,0.15970000,0.00002356,10.65382040,0.00002356,10.65407136,0.00004711,0.00075438,428.94529243,0.00015378,-0.00090815,0.00000000,0.00000000,0.00000000,0.00000000
1.00000000,0.00131100,0.29120000,0.00004378,19.42637759,0.00004378,19.42722803,0.00004044,0.00079252,432.75609402,0.00018476,-0.00097727,0.00000000,0.00000000,0.00000000,0.00000000
1.50000000,0.00162900,0.43000000,0.00004956,28.68592845,0.00004955,28.68734999,0.00001156,0.00079723,437.30358593,0.00034839,-0.00114562,0.00000000,0.00000000,0.00000000,0.00000000
2.00000000,0.00242600,0.53370000,0.00013033,35.60390700,0.00013032,35.60854738,0.00016154,0.00088881,440.87059072,0.00033676,-0.00122557,0.00000000,0.00000000,0.00000000,0.00000000
2.50000000,0.00305600,0.63500000,0.00009467,42.36177805,0.00009466,42.36578830,-0.00007133,0.00102468,445.37015481,0.00022029,-0.00124497,0.00000000,0.00000000,0.00000000,0.00000000
3.00000000,0.00328900,0.75780000,0.00010333,50.55394553,0.00010333,50.55916943,0.00001733,0.00111572,449.04604456,0.00010897,-0.00122469,0.00000000,0.00000000,0.00000000,0.00000000
3.50000000,0.00427900,0.86620000,0.00012511,57.78546795,0.00012510,57.79269756,0.00004355,0.00116560,453.45533306,0.00005802,-0.00122362,0.00000000,0.00000000,0.00000000,0.00000000
4.00000000,0.00524600,0.98980000,0.00012956,66.03100459,0.00012955,66.03955928,0.00000889,0.00127164,457.09266597,-0.00004186,-0.00122978,0.00000000,0.00000000,0.00000000,0.00000000
4.50000000,0.00541500,1.08870000,0.00015178,72.62876814,0.00015177,72.63979157,0.00004444,0.00135972,461.36001306,-0.00009640,-0.00126332,0.00000000,0.00000000,0.00000000,0.00000000
5.00000000,0.00593600,1.21070000,0.00019267,80.76756644,0.00019265,80.78312766,0.00008176,0.00148504,464.89405928,-0.00015296,-0.00133208,0.00000000,0.00000000,0.00000000,0.00000000
5.50000000,0.00733200,1.30160000,0.00023778,86.83163829,0.00023775,86.85228492,0.00009020,0.00157337,468.35804613,-0.00013011,-0.00144326,0.00000000,0.00000000,0.00000000,0.00000000
6.00000000,0.00757300,1.41650000,0.00025389,94.49678522,0.00025386,94.52077690,0.00003221,0.00165721,472.78720833,-0.00008164,-0.00157557,0.00000000,0.00000000,0.00000000,0.00000000
6.50000000,0.00763800,1.50900000,0.00024533,100.66759540,0.00024530,100.69229252,-0.00001711,0.00171308,475.97544143,-0.00004696,-0.00166612,0.00000000,0.00000000,0.00000000,0.00000000
7.00000000,0.00890900,1.59830000,0.00031111,106.62492892,0.00031106,106.65810112,0.00013152,0.00184251,480.21328196,-0.00012297,-0.00171954,0.00000000,0.00000000,0.00000000,0.00000000
7.50000000,0.01013700,1.70600000,0.00033367,113.80975332,0.00033361,113.84772784,0.00004510,0.00199906,483.44481093,-0.00023937,-0.00175970,0.00000000,0.00000000,0.00000000,0.00000000
8.00000000,0.00967200,1.79050000,0.00030511,119.44687182,0.00030506,119.48331638,-0.00005709,0.00213496,487.84946896,-0.00033276,-0.00180219,0.00000000,0.00000000,0.00000000,0.00000000
8.50000000,0.01080200,1.89420000,0.00034689,126.36485037,0.00034683,126.40868494,0.00008353,0.00218881,490.66336176,-0.00035588,-0.00183293,0.00000000,0.00000000,0.00000000,0.00000000
9.00000000,0.01240500,1.97790000,0.00041222,131.94859970,0.00041214,132.00299185,0.00013062,0.00229731,494.51908734,-0.00044160,-0.00185571,0.00000000,0.00000000,0.00000000,0.00000000
9.50000000,0.01234900,2.07920000,0.00041633,138.70647075,0.00041625,138.76421888,0.00000822,0.00254631,497.91510084,-0.00068553,-0.00186078,0.00000000,0.00000000,0.00000000,0.00000000
10.00000000,0.01257600,2.15570000,0.00040033,143.80989756,0.00040025,143.86746945,-0.00003199,0.00266969,501.02796731,-0.00074039,-0.00192930,0.00000000,0.00000000,0.00000000,0.00000000
10.50000000,0.01370700,2.26020000,0.00041722,150.78124528,0.00041714,150.84415457,0.00003376,0.00269577,504.95285999,-0.00065744,-0.00203833,0.00000000,0.00000000,0.00000000,0.00000000
11.00000000,0.01518500,2.34000000,0.00051378,156.10481991,0.00051365,156.18502310,0.00019302,0.00288324,507.94528152,-0.00075425,-0.00212899,0.00000000,0.00000000,0.00000000,0.00000000
11.50000000,0.01479500,2.42290000,0.00044133,161.63520007,0.00044124,161.70653507,-0.00014482,0.00307375,511.84823367,-0.00084269,-0.00223106,0.00000000,0.00000000,0.00000000,0.00000000
12.00000000,0.01547200,2.52340000,0.00048756,168.33970195,0.00048744,168.42177691,0.00009240,0.00326292,514.46746690,-0.00089194,-0.00237098,0.00000000,0.00000000,0.00000000,0.00000000
12.50000000,0.01768400,2.60070000,0.00056867,173.49649792,0.00056851,173.59515960,0.00016214,0.00333017,518.41693026,-0.00094388,-0.00238629,0.00000000,0.00000000,0.00000000,0.00000000
13.00000000,0.01781100,2.69640000,0.00058944,179.88078479,0.00058927,179.98681452,0.00004153,0.00348865,521.18365299,-0.00096687,-0.00252178,0.00000000,0.00000000,0.00000000,0.00000000
13.50000000,0.01768500,2.77060000,0.00054744,184.83077523,0.00054729,184.93195981,-0.00008395,0.00374232,525.12517970,-0.00114970,-0.00259262,0.00000000,0.00000000,0.00000000,0.00000000
14.00000000,0.01855600,2.87030000,0.00062300,191.48190795,0.00062281,191.60120117,0.00015102,0.00387887,527.77494961,-0.00123997,-0.00263890,0.00000000,0.00000000,0.00000000,0.00000000
