Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0,0,-0.031695,0,0,1.5001,19.955,5
0.5,0.000578,0.00077103,8.40E-05,8.40E-05,0,0,0
1,0.000541,0.034123,-1.20E-05,-1.20E-05,0,0,0
1.5,0.000387,0.071925,-1.00E-05,-1.00E-05,0,0,0
2,0.00047,0.10575,2.60E-05,2.60E-05,0,0,0
2.5,0.00052,0.13561,-4.70E-05,-4.70E-05,0,0,0
3,0.00043,0.1623,0.00011499,0.00011499,0,0,0
3.5,0.000645,0.18577,4.00E-05,4.00E-05,0,0,0
4,0.000551,0.20899,0.00021298,0.00021298,0,0,0
4.5,0.000508,0.23189,5.00E-06,5.00E-06,0,0,0
5,0.000397,0.25526,8.80E-05,8.80E-05,0,0,0
5.5,0.000748,0.27724,0.00010299,0.00010299,0,0,0
6,0.000522,0.2992,0.00013899,0.00013899,0,0,0
6.5,0.000847,0.32175,5.40E-05,5.40E-05,0,0,0
7,0.001015,0.3425,0.00035294,0.00035294,0,0,0
7.5,0.000703,0.36369,6.80E-05,6.80E-05,0,0,0
8,0.000871,0.38612,0.00022497,0.00022497,0,0,0
8.5,0.000697,0.40973,-1.70E-05,-1.70E-05,0,0,0
9,0.001076,0.43137,8.80E-05,8.80E-05,0,0,0
9.5,0.001163,0.45416,-6.00E-06,-6.00E-06,0,0,0
10,0.001028,0.47535,9.50E-05,9.50E-05,0,0,0
10.5,0.001349,0.4962,-9.20E-05,-9.20E-05,0,0,0
11,0.001209,0.51716,-4.50E-05,-4.50E-05,0,0,0
11.5,0.00112,0.53709,0.00013899,0.00013899,0,0,0
12,0.001308,0.55669,5.10E-05,5.10E-05,0,0,0
12.5,0.001244,0.57661,-5.10E-05,-5.10E-05,0,0,0
13,0.00123,0.59873,0.00011499,0.00011499,0,0,0
13.5,0.001055,0.61891,0.00030795,0.00030795,0,0,0
14,0.000947,0.64195,5.10E-05,5.10E-05,0,0,0
14.5,0.00118,0.66357,0.00013499,0.00013499,0,0,0
15,0.001261,0.68169,0.00017898,0.00017898,0,0,0
15.5,0.001373,0.69821,0.00021298,0.00021298,0,0,0
16,0.001065,0.71938,4.00E-06,4.00E-06,0,0,0
16.5,0.001254,0.74217,0.00021998,0.00021998,0,0,0
17,0.001028,0.76268,0.00036193,0.00036193,0,0,0
17.5,0.001018,0.7833,0.00028396,0.00028396,0,0,0
18,0.001332,0.80357,0.00012499,0.00012499,0,0,0
18.5,0.001494,0.8242,0.00037193,0.00037193,0,0,0
19,0.00143,0.84435,0.00030395,0.00030395,0,0,0
19.5,0.001582,0.86463,0.00013199,0.00013199,0,0,0
20,0.001721,0.88469,0.00025697,0.00025697,0,0,0
20.5,0.001687,0.90473,0.00016599,0.00016599,0,0,0
21,0.001917,0.92477,0.00025397,0.00025397,0,0,0
21.5,0.001687,0.94357,-7.40E-05,-7.40E-05,0,0,0
22,0.002302,0.96296,0.00026696,0.00026696,0,0,0
22.5,0.002198,0.98187,0.00026397,0.00026397,0,0,0
23,0.002252,1.0011,0.00058083,0.00058083,0,0,0
23.5,0.002282,1.0201,0.00017199,0.00017199,0,0,0
24,0.002367,1.0382,0.00035794,0.00035794,0,0,0
24.5,0.002259,1.0568,0.00014199,0.00014199,0,0,0
25,0.002232,1.0754,0.00038193,0.00038193,0,0,0
25.5,0.002043,1.095,0.00028096,0.00028096,0,0,0
26,0.002215,1.1132,0.00033095,0.00033095,0,0,0
26.5,0.002249,1.133,0.00020998,0.00020998,0,0,0
27,0.002127,1.1512,0.00050687,0.00050687,0,0,0
27.5,0.002151,1.1703,0.00036493,0.00036493,0,0,0
28,0.002222,1.1884,0.00050687,0.00050687,0,0,0
28.5,0.002368,1.2054,0.00023997,0.00023997,0,0,0
