Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0,0,-0.033657,0,0,1.4951,19.976,5
0.5,-1.70E-05,-0.0060606,-8.40E-05,-8.40E-05,0,0,0
1,7.30E-05,0.023071,-0.00011901,-0.00011901,0,0,0
1.5,0.000293,0.062513,-1.00E-06,-1.00E-06,0,0,0
2,0.00044,0.097722,-0.00018302,-0.00018302,0,0,0
2.5,0.000538,0.12688,-0.00015401,-0.00015401,0,0,0
3,0.000439,0.15239,-0.00021702,-0.00021702,0,0,0
3.5,0.000495,0.17528,-8.90E-05,-8.90E-05,0,0,0
4,0.000643,0.19912,-4.70E-05,-4.70E-05,0,0,0
4.5,0.000698,0.22258,-0.00032305,-0.00032305,0,0,0
5,0.000831,0.24649,-0.00024803,-0.00024803,0,0,0
5.5,0.000878,0.26744,-0.00019902,-0.00019902,0,0,0
6,0.000995,0.28979,-0.00022603,-0.00022603,0,0,0
6.5,0.000863,0.31131,-0.00036307,-0.00036307,0,0,0
7,0.001132,0.33262,-0.00012301,-0.00012301,0,0,0
7.5,0.001235,0.35382,-0.00027604,-0.00027604,0,0,0
8,0.001452,0.37557,-0.00020302,-0.00020302,0,0,0
8.5,0.001598,0.39707,-0.00036507,-0.00036507,0,0,0
9,0.001504,0.41791,-0.00031005,-0.00031005,0,0,0
9.5,0.001487,0.43877,-0.00032505,-0.00032505,0,0,0
10,0.001539,0.4585,-0.0004561,-0.0004561,0,0,0
10.5,0.001439,0.47856,-0.00015601,-0.00015601,0,0,0
11,0.001685,0.49848,-0.00021002,-0.00021002,0,0,0
11.5,0.002227,0.51864,-0.00016201,-0.00016201,0,0,0
12,0.001538,0.53858,2.60E-05,2.60E-05,0,0,0
12.5,0.001763,0.55817,-1.30E-05,-1.30E-05,0,0,0
13,0.001888,0.57742,5.60E-05,5.60E-05,0,0,0
13.5,0.001733,0.59678,-5.20E-05,-5.20E-05,0,0,0
14,0.002177,0.61697,0.00017698,0.00017698,0,0,0
14.5,0.002337,0.63611,-1.50E-05,-1.50E-05,0,0,0
15,0.002273,0.65536,0.00014299,0.00014299,0,0,0
15.5,0.002175,0.67471,-4.00E-06,-4.00E-06,0,0,0
16,0.002138,0.69454,-3.00E-05,-3.00E-05,0,0,0
16.5,0.00219,0.7147,8.00E-06,8.00E-06,0,0,0
17,0.002224,0.73405,0.00015099,0.00015099,0,0,0
17.5,0.002179,0.75355,-4.90E-05,-4.90E-05,0,0,0
18,0.002251,0.77201,4.50E-05,4.50E-05,0,0,0
18.5,0.002292,0.7915,-5.30E-05,-5.30E-05,0,0,0
19,0.00227,0.81143,-9.40E-05,-9.40E-05,0,0,0
19.5,0.002089,0.83353,-6.00E-05,-6.00E-05,0,0,0
20,0.002277,0.85427,-4.90E-05,-4.90E-05,0,0,0
20.5,0.002405,0.8742,-0.00018802,-0.00018802,0,0,0
21,0.002398,0.89333,-3.00E-05,-3.00E-05,0,0,0
21.5,0.002503,0.91167,-0.00013201,-0.00013201,0,0,0
22,0.002601,0.93026,-0.00017301,-0.00017301,0,0,0
22.5,0.002733,0.95066,-9.80E-05,-9.80E-05,0,0,0
23,0.002661,0.97173,-0.00015801,-0.00015801,0,0,0
23.5,0.003038,0.99085,2.70E-05,2.70E-05,0,0,0
24,0.003256,1.0107,0.00014299,0.00014299,0,0,0
24.5,0.003279,1.0304,-0.00013201,-0.00013201,0,0,0
25,0.003298,1.05,-7.00E-06,-7.00E-06,0,0,0
25.5,0.003516,1.069,6.80E-05,6.80E-05,0,0,0
26,0.003825,1.0886,0.00010899,0.00010899,0,0,0
26.5,0.003825,1.1073,0.00022597,0.00022597,0,0,0
27,0.003818,1.125,0.00029796,0.00029796,0,0,0
27.5,0.003791,1.1433,0.00039892,0.00039892,0,0,0
28,0.00372,1.1618,0.00022597,0.00022597,0,0,0
28.5,0.003814,1.1808,0.00042591,0.00042591,0,0,0
29,0.003679,1.1983,0.00033894,0.00033894,0,0,0
29.5,0.003638,1.2169,0.00017698,0.00017698,0,0,0
30,0.003751,1.2351,6.80E-05,6.80E-05,0,0,0
30.5,0.003537,1.2533,0.00020298,0.00020298,0,0,0
31,0.003586,1.2714,0.00016999,0.00016999,0,0,0
31.5,0.003597,1.2896,6.40E-05,6.40E-05,0,0,0
32,0.003666,1.3073,-8.20E-05,-8.20E-05,0,0,0
32.5,0.003703,1.3252,1.90E-05,1.90E-05,0,0,0
33,0.003805,1.3464,0.00013599,0.00013599,0,0,0
33.5,0.003986,1.365,7.20E-05,7.20E-05,0,0,0
34,0.004167,1.3811,2.30E-05,2.30E-05,0,0,0
34.5,0.004153,1.3958,4.20E-05,4.20E-05,0,0,0
35,0.004536,1.4123,0.00013999,0.00013999,0,0,0
35.5,0.004499,1.4293,1.20E-05,1.20E-05,0,0,0
36,0.00526,1.4463,0.00013599,0.00013599,0,0,0
36.5,0.004925,1.4633,0.00011299,0.00011299,0,0,0
37,0.005298,1.4805,0.00023397,0.00023397,0,0,0
37.5,0.005411,1.4985,0.00022997,0.00022997,0,0,0
38,0.005543,1.5156,0.00020398,0.00020398,0,0,0
38.5,0.005505,1.5308,0.00025297,0.00025297,0,0,0
39,0.005378,1.5461,0.00028596,0.00028596,0,0,0
39.5,0.005299,1.5625,0.00018898,0.00018898,0,0,0
40,0.005179,1.5797,0.00019598,0.00019598,0,0,0
40.5,0.004901,1.5957,0.00030495,0.00030495,0,0,0
41,0.004981,1.6115,0.00030495,0.00030495,0,0,0
41.5,0.004932,1.6267,0.00021498,0.00021498,0,0,0
42,0.004793,1.6431,0.00027196,0.00027196,0,0,0
42.5,0.004914,1.6605,0.00013999,0.00013999,0,0,0
