Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.65,0,-0.016587,0,0,1.5298,20,4.9095
1.15,-7.5e-05,-0.01765,-2.7e-05,9e-06,0,0,0
1.65,0.00038,-0.017705,-0.00010001,-0.00015501,0,0,0
2.15,0.000295,-0.0039875,-6.5002e-05,3.3999e-05,0,0,0
2.65,0.0003,0.024145,9.9995e-05,4.6999e-05,0,0,0
3.15,0.000409,0.056851,-0.00013301,-0.00011901,0,0,0
3.65,0.000592,0.087432,4e-06,7.2997e-05,0,0,0
4.15,0.000644,0.11328,6.3998e-05,-2.5e-05,0,0,0
4.65,0.00058,0.13958,0,-3.1e-05,0,0,0
5.15,0.000636,0.16556,9.2996e-05,-2.3e-05,0,0,0
5.65,0.000798,0.19215,4.4999e-05,-0.00011101,0,0,0
6.15,0.000702,0.21471,6e-06,-1.8e-05,0,0,0
6.65,0.00078,0.23529,5.9998e-05,2.4e-05,0,0,0
7.15,0.000624,0.25171,0.00013899,3.1999e-05,0,0,0
7.65,0.000765,0.26729,8.2997e-05,-2.4e-05,0,0,0
8.15,0.000776,0.28314,0.00026197,4.3999e-05,0,0,0
8.65,0.000744,0.30286,-6.2002e-05,2.6e-05,0,0,0
9.15,0.000806,0.32228,0.00012099,6.3998e-05,0,0,0
9.65,0.000891,0.34272,0.00021498,-0.00013601,0,0,0
10.15,0.000865,0.36128,-2.8e-05,-0.00014101,0,0,0
10.65,0.000963,0.38029,1.3e-05,-0.00016101,0,0,0
11.15,0.00083,0.39785,-7.5003e-05,-0.00020502,0,0,0
11.65,0.000895,0.41743,-0.00014501,-0.00013601,0,0,0
12.15,0.001144,0.43657,-8.6004e-05,-0.00013901,0,0,0
12.65,0.001022,0.45615,-6.1002e-05,-0.00011901,0,0,0
13.15,0.000985,0.47371,-2.3e-05,8.7996e-05,0,0,0
13.65,0.001331,0.49244,-0.00024703,-3.3001e-05,0,0,0
14.15,0.001307,0.51142,0,-0.00011901,0,0,0
14.65,0.001393,0.53143,-8.8004e-05,0.00014199,0,0,0
