q,LoadAngle,YieldStress,Rval,Type,YoungMod,Width,Thickness
0.0,0.0,622.44988209,0.8881839233333332,e,,,
0.0,15.0,625.0868995166667,0.8602478966666666,e,,,
0.0,30.0,628.2339887066668,0.8385408866666667,e,,,
0.0,45.0,633.2143733233333,0.81124272,e,,,
0.0,60.0,634.05061647,0.8838888633333334,e,,,
0.0,75.0,632.9015909833333,1.0043291133333334,e,,,
0.0,90.0,630.6618212833333,1.0466878,e,,,
1.0,0.0,637.2,0.0,e,,,
