,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001307,3.1024e-07,4.37952e-05,0.001307,5.31572e-09,1.063144e-08,1.0631439894100906e-08
2,0.00375762,8.9194e-07,0.00012591160000000002,0.00375762,1.52827e-08,3.05654e-08,3.0565399521680426e-08
3,0.00927153,2.20076e-06,0.0003106728,0.00927153,3.77084e-08,7.54168e-08,7.541679707233696e-08
4,0.0216778,5.14562e-06,0.000726388,0.0216778,8.81662e-08,1.763324e-07,1.763323844682445e-07
5,0.049592,1.177154e-05,0.00166174,0.049592,2.01696e-07,4.03392e-07,4.033919186631731e-07
6,0.112399,2.66798e-05,0.003766288,0.112399,4.57139e-07,9.14278e-07,9.142775820230237e-07
7,0.253714,6.02236e-05,0.008501519999999999,0.253714,1.03189e-06,2.06378e-06,2.0637778704146074e-06
8,0.571674,0.000135697,0.019155719999999998,0.571674,2.32507e-06,4.65014e-06,4.650129188083517e-06
9,1.28708,0.000305512,0.0431276,1.28708,5.23475e-06,1.04695e-05,1.0469445195221704e-05
10,2.89675,0.000687596,0.09706319999999999,2.89675,1.17816e-05,2.35632e-05,2.3562922392240034e-05
11,6.51851,0.001547286,0.2184136,6.51851,2.65125e-05,5.3025e-05,5.302359422431028e-05
12,14.6675,0.0210306,2.966844,14.6675,0.000360535,0.00072107,0.0007208101539315071
13,27.7375,0.0523366,7.16556,27.7375,0.000909785,0.00181957,0.0018179165878699005
14,40.8075,0.0836426,8.734440000000001,40.8075,0.00271829,0.00543658,0.005421855143417009
15,53.8775,0.1149486,9.364360000000001,53.8775,0.00436226,0.00872452,0.008686681299116945
16,66.9475,0.1462548,9.80964,66.9475,0.00598926,0.01197852,0.011907345343571313
17,80.0175,0.1775608,10.15928,80.0175,0.00764544,0.01529088,0.015175152717967433
18,93.0875,0.208866,10.44744,93.0875,0.00933987,0.01867974,0.018507416323445814
19,106.157,0.240172,10.69172,106.157,0.0110733,0.0221466,0.02190492572137908
20,119.227,0.271478,10.90264,119.227,0.0128465,0.025693,0.025368481700355404
21,132.297,0.302784,11.08592,132.297,0.0146488,0.0292976,0.028876627865932886
22,145.367,0.33409,11.247959999999999,145.367,0.0164879,0.0329758,0.032443762951180045
23,158.437,0.365396,11.392719999999999,158.437,0.0183681,0.0367362,0.03607750922865986
24,171.507,0.396704,11.523200000000001,171.507,0.0202935,0.040587,0.03978497700341079
25,184.577,0.42801,11.64148,184.577,0.0222691,0.0445382,0.04357487386846325
26,197.647,0.459316,11.74928,197.647,0.0243001,0.0486002,0.04745613188677506
27,210.717,0.490622,11.84788,210.717,0.0263908,0.0527816,0.05143580423254027
28,223.787,0.521928,11.93824,223.787,0.0285458,0.0570916,0.05552136349281651
29,236.857,0.553234,12.0212,236.857,0.0307694,0.0615388,0.059719553542151055
30,249.927,0.58454,12.09744,249.927,0.0330668,0.0661336,0.06403864622092002
31,262.997,0.615846,12.16748,262.997,0.0354429,0.0708858,0.06848615646190788
32,276.067,0.647152,12.231639999999999,276.067,0.0378981,0.0757962,0.0730610385957008
33,289.137,0.678458,12.29044,289.137,0.0404432,0.0808864,0.07778144525336182
34,302.207,0.709764,12.344280000000001,302.207,0.0430949,0.0861898,0.08267597603870365
35,315.277,0.74107,12.39364,315.277,0.0458544,0.0917088,0.08774417509416876
36,328.347,0.772376,12.43852,328.347,0.0487416,0.0974832,0.09301955833294395
37,341.417,0.803682,12.479040000000001,341.417,0.0517724,0.1035448,0.09852754398753791
38,354.487,0.834988,12.51552,354.487,0.0549552,0.1099104,0.10427929134542929
39,367.557,0.866294,12.54796,367.557,0.0583131,0.1166262,0.11031181770625384
40,380.627,0.8976,12.57644,380.627,0.0618693,0.1237386,0.11666116214711936
41,393.697,0.928906,12.60092,393.697,0.0656522,0.1313044,0.12337130327357884
42,406.767,0.960212,12.621360000000001,406.767,0.0696973,0.1393946,0.1304970687164345
43,419.837,0.991518,12.6376,419.837,0.0740491,0.1480982,0.13810683430871792
44,432.907,1.022824,12.64944,432.907,0.0787651,0.1575302,0.14628859735063837
45,445.977,1.05413,12.656600000000001,445.977,0.0839208,0.1678416,0.1551572587709385
46,459.047,1.085436,12.65884,459.047,0.0895783,0.1791566,0.16479943716233156
47,472.117,1.116742,12.65512,472.117,0.0957661,0.1915322,0.175240041950205
48,485.187,1.148048,12.64516,485.187,0.102468,0.204936,0.18642645349892933
49,498.257,1.179354,12.62856,498.257,0.109687,0.219374,0.1983376123026419
50,511.327,1.21066,12.6048,511.327,0.117415,0.23483,0.21093330878319672
51,524.397,1.241966,12.57328,524.397,0.125634,0.251268,0.22415743715820696
52,537.467,1.273272,12.533520000000001,537.467,0.134324,0.268648,0.2379517664875125
53,550.537,1.304578,12.48492,550.537,0.143468,0.286936,0.25226419932778116
54,563.607,1.335884,12.427,563.607,0.153057,0.306114,0.2670563164781228
55,576.677,1.36719,12.359200000000001,576.677,0.163099,0.326198,0.28231620188332834
56,589.747,1.398496,12.280959999999999,589.747,0.173613,0.347226,0.2980476636071073
57,602.817,1.429802,12.19172,602.817,0.184629,0.369258,0.31426898727919556
58,615.887,1.461108,12.09092,615.887,0.196182,0.392364,0.3310030219814384
59,628.957,1.492414,11.97792,628.957,0.208302,0.416604,0.3482624579956886
60,642.027,1.52372,11.851959999999998,642.027,0.221018,0.442036,0.36605600387706483
61,653.5,1.5512,11.7302,653.5,0.232675,0.46535,0.38209412178492413
