,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001543,2.3462e-07,4.4019999999999995e-05,0.001543,7.32057e-09,1.464114e-08,1.46411399709162e-08
2,0.00443613,6.74532e-07,0.0001265576,0.00443613,2.10466e-08,4.20932e-08,4.2093199150755995e-08
3,0.0109457,1.664336e-06,0.00031226759999999996,0.0109457,5.19303e-08,1.038606e-07,1.0386059450468612e-07
4,0.0255921,3.8914e-06,0.000730116,0.0255921,1.21419e-07,2.42838e-07,2.4283797044571373e-07
5,0.0585466,8.90228e-06,0.001670272,0.0585466,2.77767e-07,5.55534e-07,5.555338456040828e-07
6,0.132694,2.01768e-05,0.0037856200000000004,0.132694,6.29552e-07,1.259104e-06,1.2591032072802186e-06
7,0.299526,4.55444e-05,0.00854516,0.299526,1.42107e-06,2.84214e-06,2.842135961142244e-06
8,0.674899,0.0001026214,0.01925404,0.674899,3.20198e-06,6.40396e-06,6.403939494803301e-06
9,1.51949,0.000231044,0.0433488,1.51949,7.20906e-06,1.441812e-05,1.441801605982185e-05
10,3.41981,0.000519998,0.0975616,3.41981,1.62251e-05,3.24502e-05,3.244967350362811e-05
11,7.69554,0.00117014,0.2195368,7.69554,3.65117e-05,7.30234e-05,7.302073392124366e-05
12,17.3159,0.01590444,2.98246,17.3159,0.000496457,0.000992914,0.0009924213869489434
13,32.7459,0.0395798,7.3594,32.7459,0.00141195,0.0028239,0.0028199202848463952
14,48.1759,0.063255,10.97988,48.1759,0.00349889,0.00699778,0.006973409165971409
15,63.6059,0.0869304,11.999120000000001,63.6059,0.00627682,0.01255364,0.012475496373061945
16,79.0359,0.1106056,12.605799999999999,79.0359,0.00896529,0.01793058,0.01777172326873331
17,94.4659,0.1342808,13.072959999999998,94.4659,0.0116281,0.0232562,0.022989895497354904
18,109.896,0.1579562,13.45852,109.896,0.014305,0.02861,0.028208376263588925
19,125.326,0.1816314,13.787840000000001,125.326,0.0170125,0.034025,0.03345895374366531
20,140.756,0.205306,14.075959999999998,140.756,0.019762,0.039524,0.03876291607249418
21,156.186,0.228982,14.33228,156.186,0.0225582,0.0451164,0.044128266773449276
22,171.616,0.252658,14.56316,171.616,0.0254031,0.0508062,0.04955767907830492
23,187.046,0.276332,14.772920000000001,187.046,0.0282974,0.0565948,0.05505128428982008
24,202.476,0.300008,14.96284,202.476,0.0312052,0.0624104,0.06054028884874546
25,217.906,0.323684,15.135159999999999,217.906,0.0341086,0.0682172,0.06599109064748498
26,233.336,0.347358,15.29472,233.336,0.0370517,0.0741034,0.07148626705768849
27,248.766,0.371034,15.4434,248.766,0.0400414,0.0800828,0.07703770486405631
28,264.196,0.39471,15.58272,264.196,0.0430853,0.0861706,0.08265829941377474
29,279.626,0.418384,15.71376,279.626,0.0461863,0.0923726,0.0883520279154407
30,295.056,0.44206,15.837399999999999,295.056,0.049351,0.098702,0.09412948305616244
31,310.486,0.465734,15.95424,310.486,0.0525783,0.1051566,0.09998704438547608
32,325.916,0.48941,16.06504,325.916,0.0558731,0.1117462,0.1059319323681972
33,341.346,0.513086,16.1702,341.346,0.0592406,0.1184812,0.11197169358148565
34,356.776,0.53676,16.27028,356.776,0.0626826,0.1253652,0.11810760520021223
35,372.206,0.560436,16.36552,372.206,0.0662009,0.1324018,0.1243408637986748
36,387.636,0.584112,16.45624,387.636,0.0698001,0.1396002,0.13067749914177632
37,403.066,0.607786,16.54284,403.066,0.073483,0.146966,0.13712019516211307
38,418.496,0.631462,16.62556,418.496,0.077255,0.15451,0.14367601153323706
39,433.926,0.655138,16.704639999999998,433.926,0.08112,0.16224,0.15034917755068197
40,449.356,0.678812,16.7802,449.356,0.0850818,0.1701636,0.15714356809432203
41,464.786,0.702488,16.852439999999998,464.786,0.0891444,0.1782888,0.16406321647259925
42,480.216,0.726164,16.921560000000003,480.216,0.0933123,0.1866246,0.17111280612928098
43,495.646,0.749838,16.98768,495.646,0.0975904,0.1951808,0.1782974710103561
44,511.076,0.773514,17.05088,511.076,0.101984,0.203968,0.1856227684603363
45,526.506,0.79719,17.11136,526.506,0.106499,0.212998,0.19309498115593715
46,541.936,0.820864,17.16912,541.936,0.111142,0.222284,0.2007212396393181
47,557.366,0.84454,17.22432,557.366,0.11592,0.23184,0.20850898654760242
48,572.796,0.868214,17.277,572.796,0.12084,0.24168,0.21646530136079215
49,588.226,0.89189,17.327240000000003,588.226,0.125911,0.251822,0.2246000900464738
50,603.656,0.915566,17.37512,603.656,0.131142,0.262284,0.23292277842105577
51,619.086,0.93924,17.4206,619.086,0.136541,0.273082,0.24144073226899135
52,634.516,0.962916,17.4638,634.516,0.14212,0.28424,0.25016710368902184
53,649.946,0.986592,17.50468,649.946,0.147889,0.295778,0.25911128696090036
54,665.376,1.010266,17.54324,665.376,0.15386,0.30772,0.26828516284104925
55,680.806,1.033942,17.57956,680.806,0.160046,0.320092,0.27770143113925555
56,696.236,1.057618,17.61356,696.236,0.16646,0.33292,0.28737202439184834
57,711.666,1.081292,17.645319999999998,711.666,0.173105,0.34621,0.29729323688362935
58,727.096,1.104968,17.67464,727.096,0.180012,0.360024,0.3075023466510768
59,742.526,1.128644,17.70156,742.526,0.187188,0.374376,0.31799980993008
60,757.956,1.152318,17.72596,757.956,0.194644,0.389288,0.32879138569205923
61,771.5,1.1731,17.74516,771.5,0.201437,0.402874,0.33852298953214516
