,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001314,3.0318e-07,4.2867599999999996e-05,0.001314,5.19474e-09,1.038948e-08,1.0389479889058654e-08
2,0.00377775,8.71642e-07,0.000123244,0.00377775,1.49349e-08,2.98698e-08,2.986979952067272e-08
3,0.00932119,2.15068e-06,0.00030409079999999997,0.00932119,3.68502e-08,7.37004e-08,7.370039728922013e-08
4,0.0217939,5.02852e-06,0.000710996,0.0217939,8.61597e-08,1.723194e-07,1.723193852354574e-07
5,0.0498576,1.150366e-05,0.001626536,0.0498576,1.97106e-07,3.94212e-07,3.942119222307513e-07
6,0.113001,2.60728e-05,0.003686492,0.113001,4.46735e-07,8.9347e-07,8.934696008411031e-07
7,0.255073,5.88532e-05,0.008321400000000001,0.255073,1.0084e-06,2.0168e-06,2.016797966154852e-06
8,0.574736,0.000132609,0.01874988,0.574736,2.27216e-06,4.54432e-06,4.544309674686356e-06
9,1.29398,0.00029856,0.042214,1.29398,5.11562e-06,1.023124e-05,1.0231187661323583e-05
10,2.91227,0.00067195,0.0950068,2.91227,1.15135e-05,2.3027e-05,2.3026734882603168e-05
11,6.55342,0.001512076,0.2137864,6.55342,2.59091e-05,5.18182e-05,5.181685748344986e-05
12,14.746,0.020552,2.904032,14.746,0.000352325,0.00070465,0.0007044018507542356
13,27.886,0.0511456,6.6248000000000005,27.886,0.00115132,0.00230264,0.002299992987148135
14,41.026,0.0817392,7.46284,41.026,0.00341267,0.00682534,0.006802152814101236
15,54.166,0.1123328,7.93792,54.166,0.00548411,0.01096822,0.010908505320727839
16,67.306,0.1429264,8.282440000000001,67.306,0.00755933,0.01511866,0.015005512064670396
17,80.446,0.17352,8.55396,80.446,0.0096597,0.0193194,0.019135149680590244
18,93.586,0.204114,8.778,93.586,0.011797,0.023594,0.023319963621604187
19,106.726,0.234708,8.968200000000001,106.726,0.0139794,0.0279588,0.02757508840882432
20,119.866,0.2653,9.1328,119.866,0.0162118,0.0324236,0.03190904795788906
21,133.006,0.295894,9.27712,133.006,0.018498,0.036996,0.03632807195933382
22,146.146,0.326488,9.405040000000001,146.146,0.0208436,0.0416872,0.04084170632597614
23,159.286,0.357082,9.519200000000001,159.286,0.0232525,0.046505,0.045456040723368375
24,172.426,0.387676,9.62172,172.426,0.0257301,0.0514602,0.05017986475477076
25,185.566,0.41827,9.714120000000001,185.566,0.0282822,0.0565644,0.05502251220298243
26,198.706,0.448862,9.79764,198.706,0.0309143,0.0618286,0.05999251619741212
27,211.846,0.479456,9.87324,211.846,0.0336345,0.067269,0.06510304926158046
28,224.986,0.51005,9.941840000000001,224.986,0.0364476,0.0728952,0.07036078879465126
29,238.126,0.540644,10.004,238.126,0.0393637,0.0787274,0.07578201302223041
30,251.266,0.571238,10.06024,251.266,0.0423931,0.0847862,0.0813829168841403
31,264.406,0.60183,10.111040000000001,264.406,0.0455472,0.0910944,0.08718122923058784
32,277.546,0.632424,10.15676,277.546,0.0488397,0.0976794,0.09319831502324327
33,290.686,0.663018,10.19764,290.686,0.0522867,0.1045734,0.09945919707965957
34,303.826,0.693612,10.23388,303.826,0.0559078,0.1118156,0.10599435473938781
35,316.966,0.724206,10.26568,316.966,0.0597268,0.1194536,0.11284070912313181
36,330.106,0.754798,10.29312,330.106,0.0637727,0.1275454,0.12004305765942777
37,343.246,0.785392,10.3162,343.246,0.0680819,0.1361638,0.12765750004540552
38,356.386,0.815986,10.33488,356.386,0.0727003,0.1454006,0.1357544448119509
39,369.526,0.84658,10.349,369.526,0.0776871,0.1553742,0.14442427418668266
40,382.666,0.877174,10.3582,382.666,0.08312,0.16624,0.15378489865176573
41,395.806,0.907766,10.36204,395.806,0.0891027,0.1782054,0.16399243335755073
42,408.946,0.93836,10.3602,408.946,0.0956505,0.191301,0.17504598724194803
43,422.086,0.968954,10.351360000000001,422.086,0.102707,0.205414,0.18682307640121834
44,435.226,0.999548,10.33552,435.226,0.110225,0.22045,0.19921964319483643
45,448.366,1.030142,10.312280000000001,448.366,0.118186,0.236372,0.21218128462663766
46,461.506,1.060734,10.28144,461.506,0.126576,0.253152,0.22566197741534572
47,474.646,1.091328,10.24256,474.646,0.135388,0.270776,0.23962773749362096
48,487.786,1.121922,10.195440000000001,487.786,0.144623,0.289246,0.2540575513650994
49,500.926,1.152516,10.13968,500.926,0.154286,0.308572,0.26893646631185303
50,514.066,1.18311,10.07492,514.066,0.164393,0.328786,0.28426574343965183
51,527.206,1.213704,10.000879999999999,527.206,0.174962,0.349924,0.3000482945693459
52,540.346,1.244296,9.91708,540.346,0.186015,0.37203,0.31629139495385133
53,553.486,1.27489,9.823120000000001,553.486,0.19757,0.39514,0.33299476866069844
54,566.626,1.305484,9.71852,566.626,0.209645,0.41929,0.350156746571487
55,579.766,1.336078,9.602879999999999,579.766,0.222247,0.444494,0.3677590872291296
56,592.906,1.366672,9.4756,592.906,0.235377,0.470754,0.3857751944595627
57,606.046,1.397264,9.33628,606.046,0.249023,0.498046,0.40416159223370557
58,619.186,1.427858,9.18436,619.186,0.263163,0.526326,0.42286354045283037
59,632.326,1.458452,9.019440000000001,632.326,0.277762,0.555524,0.4418124663589957
60,645.466,1.489046,8.84116,645.466,0.292775,0.58555,0.4609313502921475
61,657.0,1.5159,8.6736,657.0,0.306247,0.612494,0.4777820487506351
