2.65E-01,8.11E+02
2.68E-01,8.13E+02
2.71E-01,8.13E+02
2.75E-01,8.15E+02
2.78E-01,8.16E+02
2.81E-01,8.18E+02
2.84E-01,8.21E+02
2.88E-01,8.21E+02
2.91E-01,8.23E+02
2.94E-01,8.28E+02
2.98E-01,8.28E+02
3.01E-01,8.27E+02
3.05E-01,8.30E+02
3.08E-01,8.31E+02
3.12E-01,8.35E+02
3.15E-01,8.33E+02
3.19E-01,8.36E+02
3.22E-01,8.39E+02
3.26E-01,8.39E+02
3.30E-01,8.41E+02
3.33E-01,8.43E+02
3.37E-01,8.43E+02
3.41E-01,8.46E+02
3.45E-01,8.47E+02
3.49E-01,8.51E+02
3.53E-01,8.52E+02
3.56E-01,8.54E+02
3.60E-01,8.54E+02
3.64E-01,8.56E+02
3.68E-01,8.57E+02
3.72E-01,8.57E+02
3.77E-01,8.60E+02
3.81E-01,8.60E+02
3.85E-01,8.64E+02
3.89E-01,8.64E+02
3.93E-01,8.64E+02
3.97E-01,8.67E+02
4.01E-01,8.71E+02
4.06E-01,8.72E+02
4.10E-01,8.72E+02
4.15E-01,8.76E+02
4.19E-01,8.77E+02
4.24E-01,8.78E+02
4.28E-01,8.81E+02
4.33E-01,8.85E+02
4.37E-01,8.84E+02
4.42E-01,8.87E+02
4.46E-01,8.89E+02
4.51E-01,8.89E+02
4.56E-01,8.91E+02
4.61E-01,8.93E+02
4.65E-01,8.92E+02
4.70E-01,8.95E+02
4.75E-01,8.99E+02
4.80E-01,9.00E+02
4.85E-01,9.00E+02
4.91E-01,9.03E+02
4.96E-01,9.08E+02
5.01E-01,9.07E+02
