Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0,0,-0.039778,0,0,1.4959,20,5
0.5,0.000177,-0.022434,1.80E-05,1.80E-05,0,0,0
1,0.00082,-0.0031129,2.00E-06,2.00E-06,0,0,0
1.5,0.000485,0.031874,-9.20E-05,-9.20E-05,0,0,0
2,0.00074,0.066851,-1.70E-05,-1.70E-05,0,0,0
2.5,0.001062,0.10067,-0.00014301,-0.00014301,0,0,0
3,0.001211,0.13072,9.40E-05,9.40E-05,0,0,0
3.5,0.00109,0.15865,-0.00010001,-0.00010001,0,0,0
4,0.001271,0.18291,-9.40E-05,-9.40E-05,0,0,0
4.5,0.001082,0.20693,-2.60E-05,-2.60E-05,0,0,0
5,0.001113,0.22983,6.30E-05,6.30E-05,0,0,0
5.5,0.001111,0.25194,-9.00E-05,-9.00E-05,0,0,0
6,0.001242,0.27325,-5.50E-05,-5.50E-05,0,0,0
6.5,0.000801,0.29443,4.00E-06,4.00E-06,0,0,0
7,0.000748,0.31666,-7.80E-05,-7.80E-05,0,0,0
7.5,0.001019,0.34001,-3.00E-05,-3.00E-05,0,0,0
8,0.000964,0.36325,0.00025697,0.00025697,0,0,0
8.5,0.001316,0.38469,6.50E-05,6.50E-05,0,0,0
9,0.000704,0.4061,0.00010199,0.00010199,0,0,0
9.5,0.001066,0.42751,9.00E-05,9.00E-05,0,0,0
10,0.000855,0.44688,0.00022897,0.00022897,0,0,0
10.5,0.00058,0.46728,0.00020698,0.00020698,0,0,0
11,0.002374,0.48845,0.00013399,0.00013399,0,0,0
11.5,0.001915,0.50909,0.00018298,0.00018298,0,0,0
12,0.002173,0.52764,0.00020498,0.00020498,0,0,0
12.5,0.001991,0.54803,0.00024897,0.00024897,0,0,0
13,0.002204,0.56739,0.00012899,0.00012899,0,0,0
13.5,0.002424,0.58802,0.00024497,0.00024497,0,0,0
14,0.002905,0.60862,0.00022497,0.00022497,0,0,0
14.5,0.003023,0.62926,0.00019798,0.00019798,0,0,0
15,0.003085,0.64819,0.00023297,0.00023297,0,0,0
15.5,0.002845,0.66687,0.00025997,0.00025997,0,0,0
16,0.002916,0.68704,-7.10E-05,-7.10E-05,0,0,0
16.5,0.002958,0.70844,6.40E-05,6.40E-05,0,0,0
17,0.003025,0.73056,-4.50E-05,-4.50E-05,0,0,0
17.5,0.002916,0.75071,0.00011699,0.00011699,0,0,0
18,0.002777,0.77122,-0.00013501,-0.00013501,0,0,0
18.5,0.002856,0.79093,-2.60E-05,-2.60E-05,0,0,0
19,0.002679,0.80871,6.00E-05,6.00E-05,0,0,0
19.5,0.002826,0.82718,-1.50E-05,-1.50E-05,0,0,0
20,0.002661,0.84721,-5.30E-05,-5.30E-05,0,0,0
20.5,0.002822,0.86817,1.10E-05,1.10E-05,0,0,0
21,0.00292,0.88811,0.00010899,0.00010899,0,0,0
21.5,0.002747,0.90896,7.10E-05,7.10E-05,0,0,0
22,0.002808,0.92911,0.00034194,0.00034194,0,0,0
22.5,0.002766,0.94883,0.00030095,0.00030095,0,0,0
23,0.002969,0.96784,0.0004479,0.0004479,0,0,0
23.5,0.003041,0.98571,0.00051887,0.00051887,0,0,0
24,0.003421,1.0036,0.0004549,0.0004549,0,0,0
24.5,0.003308,1.0229,0.00056384,0.00056384,0,0,0
25,0.003662,1.0449,0.00042491,0.00042491,0,0,0
25.5,0.003978,1.0654,0.0004549,0.0004549,0,0,0
26,0.00411,1.0848,0.00048488,0.00048488,0,0,0
26.5,0.004385,1.1033,0.00046289,0.00046289,0,0,0
27,0.004452,1.1225,0.00033894,0.00033894,0,0,0
27.5,0.004769,1.1394,0.00034994,0.00034994,0,0,0
28,0.004863,1.1588,0.00010199,0.00010199,0,0,0
28.5,0.004566,1.1769,0.00024497,0.00024497,0,0,0
29,0.004449,1.1932,0.00010499,0.00010499,0,0,0
29.5,0.004973,1.2095,0.00021798,0.00021798,0,0,0
