Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0,0,-0.034401,0,0,1.4976,19.967,5
0.5,9.00E-06,-0.011457,-0.00033906,-0.00033906,0,0,0
1,1.30E-05,0.013707,-0.00021302,-0.00021302,0,0,0
1.5,0.00021,0.052222,-0.00027904,-0.00027904,0,0,0
2,-1.40E-05,0.089958,-0.00046111,-0.00046111,0,0,0
2.5,-0.000268,0.12196,-0.00047911,-0.00047911,0,0,0
3,-0.000517,0.14861,-0.00040108,-0.00040108,0,0,0
3.5,4.60E-05,0.17152,-0.00042309,-0.00042309,0,0,0
4,9.70E-05,0.195,-0.00030805,-0.00030805,0,0,0
4.5,4.90E-05,0.21858,-0.00032605,-0.00032605,0,0,0
5,0.000387,0.24192,-0.00026904,-0.00026904,0,0,0
5.5,0.000424,0.26413,-0.00019502,-0.00019502,0,0,0
6,0.000248,0.28556,-0.00019102,-0.00019102,0,0,0
6.5,0.000248,0.30686,-0.00021602,-0.00021602,0,0,0
7,0.000445,0.32884,-0.00015701,-0.00015701,0,0,0
7.5,0.000454,0.35119,-0.00014801,-0.00014801,0,0,0
8,0.000872,0.3726,4.20E-05,4.20E-05,0,0,0
8.5,0.000941,0.39367,3.50E-05,3.50E-05,0,0,0
9,0.000975,0.41487,0.00026097,0.00026097,0,0,0
9.5,0.00076,0.43697,-0.00018802,-0.00018802,0,0,0
10,0.001093,0.45985,0.00018198,0.00018198,0,0,0
10.5,0.000956,0.48148,0.00024997,0.00024997,0,0,0
11,0.000728,0.50269,-0.00014201,-0.00014201,0,0,0
11.5,0.001,0.52264,-0.00016801,-0.00016801,0,0,0
12,0.00097,0.54396,-0.00017602,-0.00017602,0,0,0
12.5,0.000879,0.56365,4.10E-05,4.10E-05,0,0,0
13,0.000984,0.58428,-0.00031105,-0.00031105,0,0,0
13.5,0.001072,0.60467,-0.00031405,-0.00031405,0,0,0
14,0.000504,0.62563,-0.00039508,-0.00039508,0,0,0
14.5,0.000862,0.64556,-8.10E-05,-8.10E-05,0,0,0
15,0.001051,0.66561,-0.00016201,-0.00016201,0,0,0
15.5,0.000866,0.68635,-0.00031805,-0.00031805,0,0,0
16,0.00097,0.70627,-0.00027704,-0.00027704,0,0,0
16.5,0.001007,0.7261,-0.00036807,-0.00036807,0,0,0
17,0.001089,0.74591,-0.00012501,-0.00012501,0,0,0
17.5,0.001366,0.76653,-4.40E-05,-4.40E-05,0,0,0
18,0.001146,0.78578,-0.00015901,-0.00015901,0,0,0
18.5,0.001352,0.80472,3.40E-05,3.40E-05,0,0,0
19,0.001406,0.82535,0.00012199,0.00012199,0,0,0
19.5,0.001535,0.84733,-4.10E-05,-4.10E-05,0,0,0
20,0.001748,0.8684,0.00013899,0.00013899,0,0,0
20.5,0.001765,0.88823,0.00011199,0.00011199,0,0,0
21,0.001697,0.90647,1.00E-05,1.00E-05,0,0,0
21.5,0.001843,0.92459,0.00033794,0.00033794,0,0,0
22,0.002025,0.94257,0.00035494,0.00035494,0,0,0
22.5,0.002188,0.96239,5.10E-05,5.10E-05,0,0,0
23,0.001941,0.98141,7.00E-06,7.00E-06,0,0,0
23.5,0.001853,1.0012,0.00016899,0.00016899,0,0,0
24,0.002032,1.0204,-4.40E-05,-4.40E-05,0,0,0
24.5,0.001917,1.0393,-0.00011801,-0.00011801,0,0,0
25,0.001762,1.0568,-8.10E-05,-8.10E-05,0,0,0
25.5,0.001786,1.0748,-0.00016601,-0.00016601,0,0,0
26,0.001978,1.0935,-0.00025403,-0.00025403,0,0,0
26.5,0.001826,1.1119,7.00E-06,7.00E-06,0,0,0
27,0.001715,1.1298,-6.80E-05,-6.80E-05,0,0,0
27.5,0.001779,1.1475,-5.10E-05,-5.10E-05,0,0,0
28,0.002083,1.1655,-1.00E-05,-1.00E-05,0,0,0
28.5,0.002205,1.1834,7.80E-05,7.80E-05,0,0,0
29,0.002117,1.2021,0.00017598,0.00017598,0,0,0
29.5,0.002614,1.2196,7.40E-05,7.40E-05,0,0,0
30,0.002631,1.2367,0.00017898,0.00017898,0,0,0
30.5,0.00301,1.253,0.00015599,0.00015599,0,0,0
31,0.002547,1.2703,0.00014499,0.00014499,0,0,0
31.5,0.002963,1.2872,0.00040892,0.00040892,0,0,0
32,0.003054,1.3049,0.00031795,0.00031795,0,0,0
32.5,0.003264,1.3223,0.00059482,0.00059482,0,0,0
33,0.003271,1.3384,0.00020998,0.00020998,0,0,0
33.5,0.003433,1.3552,0.00021298,0.00021298,0,0,0
34,0.003765,1.3732,0.00023997,0.00023997,0,0,0
34.5,0.004461,1.3903,0.00017199,0.00017199,0,0,0
35,0.003325,1.4066,0.00028096,0.00028096,0,0,0
35.5,0.003836,1.4225,6.40E-05,6.40E-05,0,0,0
36,0.003241,1.4392,4.70E-05,4.70E-05,0,0,0
36.5,0.00291,1.4569,7.10E-05,7.10E-05,0,0,0
37,0.003133,1.4771,0.00012199,0.00012199,0,0,0
37.5,0.003265,1.495,0.00013199,0.00013199,0,0,0
38,0.003279,1.5102,7.80E-05,7.80E-05,0,0,0
38.5,0.003195,1.5253,0.00020298,0.00020298,0,0,0
39,0.003229,1.5416,-4.70E-05,-4.70E-05,0,0,0
