Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0,0,-0.042986,0,0,1.4956,19.97,5
0.5,0.000481,-0.0078772,9.30E-05,9.30E-05,0,0,0
1,0.00064,0.027635,6.80E-05,6.80E-05,0,0,0
1.5,0.000967,0.0656,0.00022098,0.00022098,0,0,0
2,0.001012,0.098297,7.90E-05,7.90E-05,0,0,0
2.5,0.001255,0.12768,0.00011199,0.00011199,0,0,0
3,0.001286,0.15295,0.00030695,0.00030695,0,0,0
3.5,0.001586,0.17675,0.00032095,0.00032095,0,0,0
4,0.001275,0.20021,0.00014399,0.00014399,0,0,0
4.5,0.001614,0.22256,0.00013299,0.00013299,0,0,0
5,0.001722,0.24466,7.60E-05,7.60E-05,0,0,0
5.5,0.001611,0.26687,0.00027396,0.00027396,0,0,0
6,0.001613,0.28922,0.00013399,0.00013399,0,0,0
6.5,0.001536,0.31005,0.00013099,0.00013099,0,0,0
7,0.001402,0.33374,0.00015799,0.00015799,0,0,0
7.5,0.001608,0.35685,1.40E-05,1.40E-05,0,0,0
8,0.001659,0.37726,0.00017898,0.00017898,0,0,0
8.5,0.001458,0.39639,-2.00E-05,-2.00E-05,0,0,0
9,0.001779,0.41688,5.50E-05,5.50E-05,0,0,0
9.5,0.001734,0.43855,0.00016799,0.00016799,0,0,0
10,0.001899,0.45895,0.00019498,0.00019498,0,0,0
10.5,0.001992,0.47993,0.00016999,0.00016999,0,0,0
11,0.002008,0.4994,0.00020498,0.00020498,0,0,0
11.5,0.002012,0.51967,0.00025097,0.00025097,0,0,0
12,0.001658,0.53893,0.00030495,0.00030495,0,0,0
12.5,0.001772,0.55806,0.00033794,0.00033794,0,0,0
13,0.002438,0.57742,0.00017299,0.00017299,0,0,0
13.5,0.002378,0.5969,0.00054085,0.00054085,0,0,0
14,0.002801,0.6164,0.00052286,0.00052286,0,0,0
14.5,0.002713,0.63726,0.00030095,0.00030095,0,0,0
15,0.002732,0.65958,0.00024097,0.00024097,0,0,0
15.5,0.002228,0.67985,0.00021098,0.00021098,0,0,0
16,0.002762,0.69946,0.00028196,0.00028196,0,0,0
16.5,0.003187,0.7195,0.00049988,0.00049988,0,0,0
17,0.003187,0.7392,0.00019598,0.00019598,0,0,0
17.5,0.002898,0.75903,0.00027496,0.00027496,0,0,0
18,0.002837,0.77895,0.00027496,0.00027496,0,0,0
18.5,0.00289,0.79889,0.00029396,0.00029396,0,0,0
19,0.002811,0.82009,0.00012399,0.00012399,0,0,0
19.5,0.002676,0.84264,9.80E-05,9.80E-05,0,0,0
20,0.002875,0.8628,0.00012399,0.00012399,0,0,0
20.5,0.002559,0.88126,0.00017698,0.00017698,0,0,0
21,0.002721,0.89915,0.00021798,0.00021798,0,0,0
21.5,0.003026,0.91819,0.00026696,0.00026696,0,0,0
22,0.003169,0.93777,-1.10E-05,-1.10E-05,0,0,0
22.5,0.003297,0.95873,3.80E-05,3.80E-05,0,0,0
23,0.003278,0.97844,0.00015399,0.00015399,0,0,0
23.5,0.003444,0.99794,0.00016599,0.00016599,0,0,0
24,0.003166,1.017,5.30E-05,5.30E-05,0,0,0
24.5,0.00273,1.0364,0.00010899,0.00010899,0,0,0
25,0.003264,1.0555,8.00E-06,8.00E-06,0,0,0
25.5,0.00358,1.0744,7.20E-05,7.20E-05,0,0,0
26,0.004066,1.0931,0.00041791,0.00041791,0,0,0
26.5,0.004043,1.1134,0.00016599,0.00016599,0,0,0
27,0.004382,1.1329,0.00039092,0.00039092,0,0,0
27.5,0.004683,1.1523,0.0004519,0.0004519,0,0,0
28,0.004379,1.172,0.00036093,0.00036093,0,0,0
28.5,0.004048,1.1929,0.00033095,0.00033095,0,0,0
29,0.005019,1.212,0.00040292,0.00040292,0,0,0
29.5,0.004831,1.2307,0.00030495,0.00030495,0,0,0
30,0.004786,1.2491,0.00040692,0.00040692,0,0,0
30.5,0.00494,1.2666,0.00032695,0.00032695,0,0,0
31,0.004827,1.2851,0.00042491,0.00042491,0,0,0
31.5,0.004813,1.3037,0.00033494,0.00033494,0,0,0
32,0.004595,1.3213,0.00031195,0.00031195,0,0,0
32.5,0.004711,1.3386,0.00024497,0.00024497,0,0,0
33,0.0042,1.3566,0.00022198,0.00022198,0,0,0
33.5,0.00446,1.3741,0.00035794,0.00035794,0,0,0
34,0.004223,1.3915,0.00018798,0.00018798,0,0,0
34.5,0.004181,1.41,0.00020298,0.00020298,0,0,0
35,0.005265,1.4272,0.00036893,0.00036893,0,0,0
35.5,0.00519,1.4436,0.00026297,0.00026297,0,0,0
36,0.00516,1.4606,0.00035794,0.00035794,0,0,0
36.5,0.005536,1.4795,0.00038393,0.00038393,0,0,0
37,0.006082,1.4984,0.00059482,0.00059482,0,0,0
37.5,0.005958,1.5163,0.00048888,0.00048888,0,0,0
38,0.006357,1.5322,0.00064679,0.00064679,0,0,0
38.5,0.006594,1.5488,0.00053786,0.00053786,0,0,0
39,0.006986,1.5653,0.00053786,0.00053786,0,0,0
39.5,0.006666,1.5816,0.00064379,0.00064379,0,0,0
40,0.006505,1.5968,0.00072973,0.00072973,0,0,0
40.5,0.006422,1.612,0.00056784,0.00056784,0,0,0
41,0.006242,1.6286,0.00059782,0.00059782,0,0,0
41.5,0.006408,1.6464,0.00064679,0.00064679,0,0,0
42,0.006464,1.6645,0.00057184,0.00057184,0,0,0
42.5,0.006224,1.6802,0.00061281,0.00061281,0,0,0
43,0.006175,1.6964,0.00048888,0.00048888,0,0,0
43.5,0.006458,1.7124,0.00042491,0.00042491,0,0,0
44,0.00551,1.7286,0.00042491,0.00042491,0,0,0
44.5,0.006149,1.7444,0.00037293,0.00037293,0,0,0
45,0.006244,1.7599,0.00036493,0.00036493,0,0,0
45.5,0.006372,1.7757,0.00042891,0.00042891,0,0,0
46,0.006768,1.791,0.00042491,0.00042491,0,0,0
46.5,0.006674,1.8066,0.0004439,0.0004439,0,0,0
47,0.006983,1.8224,0.00046289,0.00046289,0,0,0
47.5,0.007059,1.84,0.00037593,0.00037593,0,0,0
48,0.007154,1.8561,0.00049288,0.00049288,0,0,0
48.5,0.007583,1.87,0.00033095,0.00033095,0,0,0
49,0.008212,1.8839,0.00047489,0.00047489,0,0,0
49.5,0.008318,1.8994,0.00080867,0.00080867,0,0,0
50,0.007957,1.9157,0.00058383,0.00058383,0,0,0
50.5,0.008474,1.9314,0.00069276,0.00069276,0,0,0
51,0.008418,1.9474,0.00056484,0.00056484,0,0,0
