Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/08/21;DP600Large;CH;00;2;0.0798;0.29503;4;1;0;6;0.20001;0.20001;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;0.0001568;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;6.9718e-05;5.8211e-05;5.6691e-06;0.0001666;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.00015164;0.00010054;8.2148e-05;0.0001764;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;-2.1327e-05;-4.4507e-05;-1.4261e-05;0.0001764;0;0;0;0;0;0;0;0;0;0;0;0;0
2;8.8186e-05;-1.6815e-05;0.00013579;0.0001764;0;0;0;0;0;0;0;0;0;0;0;0;0
2.5;4.4268e-05;5.2827e-05;1.5245e-05;0.0001764;0;0;0;0;0;0;0;0;0;0;0;0;0
2.999;-0.00010712;5.4365e-05;7.8045e-06;0.0001764;0;0;0;0;0;0;0;0;0;0;0;0;0
3.5;2.2834e-05;0.00010628;-2.6571e-05;0.0001764;0;0;0;0;0;0;0;0;0;0;0;0;0
4;-6.1516e-05;-2.6003e-05;0.00016188;0.0001862;0;0;0;0;0;0;0;0;0;0;0;0;0
4.499;-5.5044e-05;2.1333e-05;2.5428e-05;0.0001862;0;0;0;0;0;0;0;0;0;0;0;0;0
5;-4.0517e-05;-0.00011528;-5.83e-05;0.0002156;0;0;0;0;0;0;0;0;0;0;0;0;0
5.5;-0.00016168;-0.0001025;5.3478e-05;0.0003822;0;0;0;0;0;0;0;0;0;0;0;0;0
5.999;-0.00012033;-0.00015052;-0.00012246;0.0006958;0;0;0;0;0;0;0;0;0;0;0;0;0
6.5;-0.00012376;-0.00016222;-6.2482e-05;0.0012054;0;0;0;0;0;0;0;0;0;0;0;0;0
7;-0.00011822;-3.7858e-05;-0.00019446;0.0017542;0;0;0;0;0;0;0;0;0;0;0;0;0
7.499;-0.00014917;-0.00016606;-0.00013893;0.002597;0;0;0;0;0;0;0;0;0;0;0;0;0
8;-6.0958e-05;4.4188e-05;-8.2286e-05;0.0034202;0;0;0;0;0;0;0;0;0;0;0;0;0
8.5;-8.4664e-06;-0.0001115;-0.00019224;0.0043512;0;0;0;0;0;0;0;0;0;0;0;0;0
9;6.6881e-05;-4.8862e-05;-0.00020587;0.0053704;0;0;0;0;0;0;0;0;0;0;0;0;0
9.5;-5.0793e-05;-5.6728e-05;-0.00022357;0.006468;0;0;0;0;0;0;0;0;0;0;0;0;0
10;-0.00017975;-8.5976e-05;-0.00021331;0.0074382;0;0;0;0;0;0;0;0;0;0;0;0;0
10.501;4.1721e-05;-0.00012413;-0.0002241;0.0084378;0;0;0;0;0;0;0;0;0;0;0;0;0
11;-5.4614e-05;-1.5401e-05;-0.00020233;0.0093884;0;0;0;0;0;0;0;0;0;0;0;0;0
11.499;-8.6588e-06;-0.00022824;-0.00031382;0.010329;0;0;0;0;0;0;0;0;0;0;0;0;0
11.999;0.0001275;-0.00021891;-0.00015471;0.011182;0;0;0;0;0;0;0;0;0;0;0;0;0
12.5;-1.5546e-05;-5.6406e-05;-5.9952e-05;0.012044;0;0;0;0;0;0;0;0;0;0;0;0;0
13;8.3765e-05;-0.00017224;1.1654e-05;0.013054;0;0;0;0;0;0;0;0;0;0;0;0;0
13.499;5.2338e-05;-0.00010775;-0.00019023;0.013857;0;0;0;0;0;0;0;0;0;0;0;0;0
14;4.572e-05;-0.00014376;-0.00016731;0.014837;0;0;0;0;0;0;0;0;0;0;0;0;0
14.5;-1.7702e-05;-0.00017648;-0.00012264;0.015837;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1.185e-05;-8.8285e-05;-9.3727e-05;0.016807;0;0;0;0;0;0;0;0;0;0;0;0;0
15.5;0.0001175;-0.00010065;-0.00019449;0.017816;0;0;0;0;0;0;0;0;0;0;0;0;0
16;3.1356e-05;-0.00011825;-0.00016917;0.018973;0;0;0;0;0;0;0;0;0;0;0;0;0
16.499;0.00022181;-0.00022043;-0.00013002;0.020178;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0.00018518;-0.00011547;-0.00015427;0.021335;0;0;0;0;0;0;0;0;0;0;0;0;0
17.5;0.00020642;-0.00021276;-0.00020512;0.022638;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0.00056945;-8.5396e-05;-5.282e-05;0.023873;0;0;0;0;0;0;0;0;0;0;0;0;0
18.5;0.00029754;-0.0001666;-0.0001072;0.025147;0;0;0;0;0;0;0;0;0;0;0;0;0
18.999;0.00030187;-0.00016798;-0.00018279;0.026568;0;0;0;0;0;0;0;0;0;0;0;0;0
19.5;0.00038767;-0.00014063;-0.00025801;0.028018;0;0;0;0;0;0;0;0;0;0;0;0;0
19.999;0.00032559;-0.00017604;-0.00017341;0.02938;0;0;0;0;0;0;0;0;0;0;0;0;0
20.5;0.00029439;-0.0001551;-0.00020118;0.030772;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0.00029025;-0.00015802;-0.00032068;0.032301;0;0;0;0;0;0;0;0;0;0;0;0;0
21.5;0.00037113;-0.00019195;-0.00025005;0.033849;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0.00033722;-0.00012329;-0.00019667;0.0353;0;0;0;0;0;0;0;0;0;0;0;0;0
22.502;0.00036164;-0.00035123;-0.00023661;0.03675;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0.00034616;-9.2435e-05;-0.00034654;0.038465;0;0;0;0;0;0;0;0;0;0;0;0;0
23.5;0.00034405;-0.0001916;-0.00016953;0.039817;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0.00032017;-5.2003e-06;-0.00019958;0.041405;0;0;0;0;0;0;0;0;0;0;0;0;0
24.5;0.00030009;-0.0001061;-0.00024044;0.042855;0;0;0;0;0;0;0;0;0;0;0;0;0
24.999;0.00046955;-0.00012752;-0.00036213;0.044404;0;0;0;0;0;0;0;0;0;0;0;0;0
25.499;0.00043733;-0.00015942;-0.00034703;0.045835;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0.00040653;-0.00015511;-0.00033544;0.047373;0;0;0;0;0;0;0;0;0;0;0;0;0
26.5;0.00044999;-0.00016135;-0.00052358;0.048814;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0.00055358;-0.00011451;-0.00041292;0.050411;0;0;0;0;0;0;0;0;0;0;0;0;0
27.5;0.00040713;-0.00019634;-0.00041882;0.05195;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0.00051197;-0.00018938;-0.00042636;0.053694;0;0;0;0;0;0;0;0;0;0;0;0;0
28.499;0.00054003;-0.0001138;-0.00049463;0.055566;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0.00059379;-0.00033216;-0.00025211;0.057399;0;0;0;0;0;0;0;0;0;0;0;0;0
29.5;0.00065911;-0.00020365;-0.00031316;0.059329;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0.00075137;-0.00028851;-0.00025029;0.061534;0;0;0;0;0;0;0;0;0;0;0;0;0
30.5;0.00075071;-0.00031287;-0.00027763;0.063837;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0.00068364;-0.00022796;-0.00029238;0.066023;0;0;0;0;0;0;0;0;0;0;0;0;0
31.5;0.00083879;-0.00023573;-0.00039612;0.068257;0;0;0;0;0;0;0;0;0;0;0;0;0
31.999;0.00097179;-0.00022574;-0.00035266;0.070521;0;0;0;0;0;0;0;0;0;0;0;0;0
32.5;0.00087883;-0.00024802;-0.00037987;0.07301;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0.0010153;-9.9407e-05;-0.00019837;0.075519;0;0;0;0;0;0;0;0;0;0;0;0;0
33.501;0.00084804;-0.00024083;-0.00030072;0.077871;0;0;0;0;0;0;0;0;0;0;0;0;0
34.002;0.00089896;-0.00011418;-0.00027331;0.080468;0;0;0;0;0;0;0;0;0;0;0;0;0
34.5;0.0012119;-0.00020232;-0.00024559;0.083084;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0.0013103;-0.00019291;-0.00026084;0.085544;0;0;0;0;0;0;0;0;0;0;0;0;0
35.5;0.0011864;-0.00025132;-0.00030965;0.088033;0;0;0;0;0;0;0;0;0;0;0;0;0
35.999;0.0014326;-0.00021854;-0.00024021;0.090581;0;0;0;0;0;0;0;0;0;0;0;0;0
36.5;0.0014839;-0.00015499;-0.00029662;0.093345;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0.0015871;-0.00011503;-0.00026353;0.096158;0;0;0;0;0;0;0;0;0;0;0;0;0
37.5;0.0015207;-8.7093e-05;-0.00027145;0.098764;0;0;0;0;0;0;0;0;0;0;0;0;0
37.999;0.0016245;-0.00010085;-0.00029331;0.1016;0;0;0;0;0;0;0;0;0;0;0;0;0
38.5;0.0016987;-0.00013803;-0.00033796;0.10448;0;0;0;0;0;0;0;0;0;0;0;0;0
39.001;0.0016789;-0.00017591;-0.0002557;0.10691;0;0;0;0;0;0;0;0;0;0;0;0;0
39.5;0.0017535;-9.334e-05;-0.00027838;0.11003;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0.0017251;-0.00011408;-0.00034234;0.11249;0;0;0;0;0;0;0;0;0;0;0;0;0
40.5;0.0018703;-7.608e-05;-0.00027528;0.11565;0;0;0;0;0;0;0;0;0;0;0;0;0
41;0.0018196;-0.00013365;-0.00037869;0.11836;0;0;0;0;0;0;0;0;0;0;0;0;0
41.5;0.0018249;-0.00023441;-0.00031667;0.12111;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0.0019559;-9.3207e-05;-0.00032079;0.12387;0;0;0;0;0;0;0;0;0;0;0;0;0
42.5;0.0021168;-5.8341e-05;-0.00034045;0.12711;0;0;0;0;0;0;0;0;0;0;0;0;0
43.001;0.0020559;-3.19e-05;-0.0002097;0.12969;0;0;0;0;0;0;0;0;0;0;0;0;0
43.499;0.0021389;-6.2897e-06;-0.00017763;0.13273;0;0;0;0;0;0;0;0;0;0;0;0;0
43.999;0.0023331;-8.0319e-05;-7.1981e-05;0.13581;0;0;0;0;0;0;0;0;0;0;0;0;0
44.499;0.0022373;-0.00020529;-7.0265e-05;0.13891;0;0;0;0;0;0;0;0;0;0;0;0;0
44.999;0.0025045;-0.00016785;-5.0749e-05;0.14154;0;0;0;0;0;0;0;0;0;0;0;0;0
45.5;0.0029022;-0.00018389;-0.00021239;0.1449;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0.0025204;-0.00015057;-0.00010996;0.1478;0;0;0;0;0;0;0;0;0;0;0;0;0
46.5;0.0027987;-8.3661e-05;-0.00033373;0.1507;0;0;0;0;0;0;0;0;0;0;0;0;0
47;0.0026927;-8.4695e-05;-0.00018903;0.15384;0;0;0;0;0;0;0;0;0;0;0;0;0
47.499;0.0029612;-1.295e-05;-0.00012424;0.157;0;0;0;0;0;0;0;0;0;0;0;0;0
48;0.0029941;-1.0026e-07;-0.00018107;0.15993;0;0;0;0;0;0;0;0;0;0;0;0;0
48.499;0.0029839;-9.3494e-05;-5.905e-05;0.16285;0;0;0;0;0;0;0;0;0;0;0;0;0
49;0.0031455;1.6819e-05;-3.5681e-05;0.16606;0;0;0;0;0;0;0;0;0;0;0;0;0
49.499;0.0032251;-0.00012067;-7.2877e-05;0.16902;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0.0034095;2.5597e-05;5.785e-05;0.17223;0;0;0;0;0;0;0;0;0;0;0;0;0
50.499;0.0033574;-6.0816e-05;-1.0713e-05;0.17548;0;0;0;0;0;0;0;0;0;0;0;0;0
