Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/08/21;DP600Large;NT20;00;2;0.0798;0.28591;2;4;0;6;0.19997;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;0.011103;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;5.1321e-05;3.2891e-05;-4.7825e-05;0.011103;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.0001266;4.3801e-05;-6.1739e-05;0.011103;0;0;0;0;0;0;0;0;0;0;0;0;0
1.501;-5.1933e-05;4.2204e-05;-2.7058e-05;0.011113;0;0;0;0;0;0;0;0;0;0;0;0;0
2;8.3185e-05;9.5587e-05;-2.4601e-05;0.011201;0;0;0;0;0;0;0;0;0;0;0;0;0
2.5;0.0003791;-7.3803e-06;-5.6328e-05;0.011633;0;0;0;0;0;0;0;0;0;0;0;0;0
3.001;0.00035003;6.443e-05;-5.3558e-05;0.012338;0;0;0;0;0;0;0;0;0;0;0;0;0
3.501;0.0004691;-1.0122e-06;-9.3051e-05;0.013328;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0.00048846;1.5389e-05;-3.2191e-05;0.014435;0;0;0;0;0;0;0;0;0;0;0;0;0
4.5;0.00067856;7.0896e-05;-5.3573e-05;0.015856;0;0;0;0;0;0;0;0;0;0;0;0;0
5.001;0.00083731;-5.8327e-05;-8.1516e-05;0.017493;0;0;0;0;0;0;0;0;0;0;0;0;0
5.5;0.00071548;-7.9757e-05;-9.2119e-05;0.019198;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0.00067014;-8.1128e-06;-2.2686e-05;0.021168;0;0;0;0;0;0;0;0;0;0;0;0;0
6.501;0.00091082;-6.581e-05;-8.5571e-05;0.022844;0;0;0;0;0;0;0;0;0;0;0;0;0
7.001;0.00021248;-7.4651e-05;-0.00011729;0.024441;0;0;0;0;0;0;0;0;0;0;0;0;0
7.5;0.0007474;-0.00012305;-0.00010159;0.026176;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.0011419;-3.657e-05;-2.3029e-05;0.027901;0;0;0;0;0;0;0;0;0;0;0;0;0
8.501;0.0012454;-4.8202e-05;-4.9184e-05;0.02939;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0.00099845;-0.00010061;-1.9897e-05;0.031291;0;0;0;0;0;0;0;0;0;0;0;0;0
9.5;0.00097791;-0.00011699;-0.00011983;0.033055;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0.0011612;-0.00014369;-0.00014259;0.034555;0;0;0;0;0;0;0;0;0;0;0;0;0
10.5;0.0011165;-0.00010783;-0.00012611;0.036329;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0.0010485;-0.00019083;-0.00015185;0.037955;0;0;0;0;0;0;0;0;0;0;0;0;0
11.501;0.0013473;-0.00015427;-0.00012604;0.039719;0;0;0;0;0;0;0;0;0;0;0;0;0
12.001;0.0014553;-0.00016574;-0.00011108;0.041474;0;0;0;0;0;0;0;0;0;0;0;0;0
12.5;0.0014501;-0.00016968;-0.00013655;0.043081;0;0;0;0;0;0;0;0;0;0;0;0;0
13.001;0.0015354;-0.00018598;-0.00015018;0.044708;0;0;0;0;0;0;0;0;0;0;0;0;0
13.5;0.0015471;-0.00015394;-9.9185e-05;0.046491;0;0;0;0;0;0;0;0;0;0;0;0;0
