Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600Large;NT6;00;3;0.0798;0.28659;2;4;0;6;0.20003;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;0.0003136;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;3.8313e-05;5.1985e-06;-1.3275e-06;0.0003136;0;0;0;0;0;0;0;0;0;0;0;0;0
1.001;1.6202e-05;-1.4534e-05;1.5278e-05;0.0003234;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;-2.482e-05;-1.513e-05;9.8183e-06;0.0003234;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2.8387e-05;-4.3069e-05;3.5034e-05;0.0003234;0;0;0;0;0;0;0;0;0;0;0;0;0
2.501;0.00015466;4.0294e-05;8.2633e-06;0.0003234;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2.9282e-05;-8.537e-06;-3.6881e-06;0.0003234;0;0;0;0;0;0;0;0;0;0;0;0;0
3.5;6.5629e-05;-8.3936e-05;-1.0832e-05;0.0003234;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2.4642e-05;-1.9811e-05;3.7591e-05;0.000343;0;0;0;0;0;0;0;0;0;0;0;0;0
4.501;0.00014247;-6.9647e-05;1.26e-06;0.0003822;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0.00033223;-6.7852e-05;9.2744e-06;0.0005782;0;0;0;0;0;0;0;0;0;0;0;0;0
5.5;0.00041332;-6.3434e-05;-1.3275e-05;0.0008036;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0.00037443;-5.2961e-05;-2.2047e-05;0.0011074;0;0;0;0;0;0;0;0;0;0;0;0;0
6.5;0.00041372;6.8922e-06;1.5126e-05;0.0014504;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0.00052122;-4.4019e-05;5.839e-05;0.0017934;0;0;0;0;0;0;0;0;0;0;0;0;0
7.5;0.00052366;-3.6877e-05;6.2601e-05;0.0023422;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.00048262;-4.7768e-05;4.6292e-05;0.0028812;0;0;0;0;0;0;0;0;0;0;0;0;0
8.501;0.0005699;-2.4959e-05;6.1833e-05;0.0035182;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0.00050092;-5.3204e-06;3.9422e-05;0.0040474;0;0;0;0;0;0;0;0;0;0;0;0;0
9.5;0.00061554;-1.7769e-05;4.8855e-05;0.0046158;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0.00073415;6.1283e-05;9.5626e-05;0.0051646;0;0;0;0;0;0;0;0;0;0;0;0;0
10.5;0.00085004;-3.495e-06;7.4391e-05;0.0057918;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0.00081844;9.911e-06;7.9886e-05;0.00637;0;0;0;0;0;0;0;0;0;0;0;0;0
11.5;0.00088644;2.6176e-05;9.3867e-05;0.0069188;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0.00094786;7.6463e-05;8.9913e-05;0.0074872;0;0;0;0;0;0;0;0;0;0;0;0;0
12.5;0.00097562;0.00010418;8.128e-05;0.008036;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0.00090757;5.0545e-05;9.3824e-05;0.0085554;0;0;0;0;0;0;0;0;0;0;0;0;0
13.501;0.00095468;2.2015e-05;9.196e-05;0.0089866;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0.00098341;3.7259e-05;8.2626e-05;0.0094962;0;0;0;0;0;0;0;0;0;0;0;0;0
14.5;0.00098615;2.8934e-06;0.00012002;0.010006;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0.0010656;3.7283e-05;0.00010382;0.010506;0;0;0;0;0;0;0;0;0;0;0;0;0
15.5;0.0010577;-1.2332e-05;0.00011686;0.011045;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0.0011357;-2.4421e-05;0.00012237;0.011574;0;0;0;0;0;0;0;0;0;0;0;0;0
16.5;0.0010459;-3.5916e-06;9.9603e-05;0.012172;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0.0012449;2.7547e-05;0.00011427;0.01276;0;0;0;0;0;0;0;0;0;0;0;0;0
17.5;0.0011553;-1.1052e-05;0.00013079;0.013436;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0.0012557;7.4099e-05;0.00011607;0.014112;0;0;0;0;0;0;0;0;0;0;0;0;0
18.5;0.0012367;2.9122e-05;0.00015717;0.014886;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0.0013374;2.4755e-05;0.00015417;0.015631;0;0;0;0;0;0;0;0;0;0;0;0;0
19.501;0.0013502;5.0514e-05;0.00014706;0.016493;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0.0014676;4.187e-05;0.00016702;0.017395;0;0;0;0;0;0;0;0;0;0;0;0;0
20.501;0.0014591;5.9474e-05;0.00015807;0.018189;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0.0017545;2.0219e-05;0.00015118;0.019179;0;0;0;0;0;0;0;0;0;0;0;0;0
21.5;0.001567;7.2019e-05;0.00014714;0.020227;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0.0015446;8.9357e-05;0.00018504;0.021227;0;0;0;0;0;0;0;0;0;0;0;0;0
22.5;0.0018898;2.2971e-05;0.00019066;0.022373;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0.0014894;-1.0468e-05;0.00017195;0.023579;0;0;0;0;0;0;0;0;0;0;0;0;0
23.5;0.0017931;3.7784e-05;0.00015934;0.024627;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0.0021743;4.5095e-05;0.00017148;0.026039;0;0;0;0;0;0;0;0;0;0;0;0;0
24.5;0.0014895;3.5168e-05;0.00018843;0.027313;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0.0019044;3.0487e-05;0.00012945;0.028626;0;0;0;0;0;0;0;0;0;0;0;0;0
25.5;0.0018777;6.4191e-06;0.0001311;0.030096;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0.0019705;6.4546e-05;0.00012021;0.031487;0;0;0;0;0;0;0;0;0;0;0;0;0
26.5;0.0021806;-2.4841e-06;0.00014152;0.033026;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0.0022065;6.8188e-05;0.00013324;0.034467;0;0;0;0;0;0;0;0;0;0;0;0;0
27.5;0.0023374;5.3271e-05;0.00014483;0.036064;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0.0022827;-1.8583e-05;0.0001607;0.037554;0;0;0;0;0;0;0;0;0;0;0;0;0
28.5;0.0022335;4.8062e-05;0.00020099;0.03918;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0.0023958;8.5101e-05;0.00012096;0.040709;0;0;0;0;0;0;0;0;0;0;0;0;0
29.5;0.0025365;3.8267e-05;0.00014384;0.042356;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0.00232;4.5888e-05;0.00011198;0.043904;0;0;0;0;0;0;0;0;0;0;0;0;0
30.5;0.0023494;-1.3558e-05;8.9266e-05;0.045599;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0.0023287;1.2664e-05;0.00012499;0.047207;0;0;0;0;0;0;0;0;0;0;0;0;0
31.5;0.0027418;4.4293e-05;8.8442e-05;0.048843;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0.0026546;2.6903e-05;0.00012586;0.050656;0;0;0;0;0;0;0;0;0;0;0;0;0
32.5;0.002749;3.0378e-06;0.00010056;0.052489;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0.0027057;4.3119e-05;5.9807e-05;0.05437;0;0;0;0;0;0;0;0;0;0;0;0;0
33.5;0.0028315;-1.7896e-05;8.7129e-05;0.056027;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0.0028565;4.9509e-05;6.9325e-05;0.058016;0;0;0;0;0;0;0;0;0;0;0;0;0
34.5;0.0029853;2.7764e-06;0.00011116;0.060045;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0.002753;2.1633e-05;0.0001053;0.062093;0;0;0;0;0;0;0;0;0;0;0;0;0
35.5;0.0030702;6.0236e-05;8.7208e-05;0.063857;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0.0031679;2.2525e-05;6.445e-05;0.06614;0;0;0;0;0;0;0;0;0;0;0;0;0
36.5;0.0032516;-9.5971e-06;0.00010469;0.068286;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0.0033572;5.9139e-05;8.7995e-05;0.070139;0;0;0;0;0;0;0;0;0;0;0;0;0
37.5;0.003315;9.4305e-05;0.0001206;0.072324;0;0;0;0;0;0;0;0;0;0;0;0;0
38.001;0.0034361;3.5071e-05;0.00010014;0.074509;0;0;0;0;0;0;0;0;0;0;0;0;0
38.5;0.0035198;5.6547e-05;7.9937e-05;0.076558;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0.0036756;-4.6478e-05;0.00012702;0.078596;0;0;0;0;0;0;0;0;0;0;0;0;0
39.5;0.0037136;5.2135e-05;8.2496e-05;0.080821;0;0;0;0;0;0;0;0;0;0;0;0;0
40.001;0.0037145;-1.2984e-06;9.1805e-05;0.083075;0;0;0;0;0;0;0;0;0;0;0;0;0
