Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600Large;UT;00;2;0.48;0.2885;2;0;0;6;1.8;1.8;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px];exx;exy;eyy;e1;e2
0;0;0;0;0.00049;0;0;0;0;0;0;0;0;0;0;0;0;0;-4.6453e-17;-1.8218e-17;-1.8186e-19;-1.4392e-17;-5.0279e-17
0.501;0.00014481;3.325e-05;9.5513e-05;0.00049;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2347e-05;5.92e-05;-2.0357e-06;0.00013595;-6.4402e-05
1.001;0.00078136;0.00035036;9.0203e-05;0.0004998;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00012862;5.9271e-05;-3.7024e-05;0.00021544;-2.7545e-05
1.5;-0.00010334;-1.6294e-05;-2.2784e-05;0.0004998;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.8112e-05;-1.1544e-05;2.3882e-05;7.8921e-05;-0.00012858
2.001;9.5792e-05;9.1131e-06;5.7135e-05;0.0004998;0;0;0;0;0;0;0;0;0;0;0;0;0;-4.8091e-06;1.1635e-05;5.6171e-06;0.00010406;-9.723e-05
2.501;3.55e-05;4.0558e-05;1.2602e-05;0.0005096;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.167e-07;1.1101e-05;9.3695e-06;0.00010246;-9.1972e-05
3;0.00020794;-2.472e-05;-1.0138e-05;0.0005096;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4064e-05;-8.0132e-06;8.6921e-06;0.00010107;-9.5019e-05
3.5;0.00022707;-6.4148e-06;2.2337e-05;0.0006272;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4427e-05;-2.4555e-05;4.7728e-06;0.0001492;-0.00013933
4.001;0.00034662;8.2277e-05;-1.0682e-05;0.0010192;0;0;0;0;0;0;0;0;0;0;0;0;0;4.3999e-05;-1.4803e-05;1.9094e-06;0.00014065;-0.00011146
4.501;0.00059784;0.00014282;-0.00010264;0.001911;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00010107;-4.6932e-05;-3.7679e-05;0.0001873;-0.00013317
5;0.0006397;0.00014545;-0.00018125;0.003577;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00011487;-6.2917e-05;-1.4243e-05;0.00017293;-0.00012098
5.5;0.0011381;0.00038854;-7.0598e-05;0.0058114;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00019136;-3.8725e-05;-7.3379e-06;0.00025907;-0.00010643
6.001;0.0013716;0.00044687;-6.7075e-05;0.0091238;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00023911;-6.9713e-05;-9.4525e-06;0.00030051;-0.00013112
6.501;0.0015217;0.00038239;-0.00016211;0.013544;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00025989;-0.00010146;-5.4341e-07;0.00031007;-0.00015164
7;0.0021168;0.00054925;-0.0002197;0.0186;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00036217;-0.00012554;-1.7157e-05;0.00040969;-0.00017306
7.501;0.002424;0.00065663;-0.00010822;0.024431;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00041786;-0.00011179;-2.4161e-05;0.00047723;-0.00017116
8;0.0027525;0.00083439;-0.0001194;0.031419;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00047413;-0.00014563;-3.3842e-05;0.00053373;-0.00020522
8.5;0.0029272;0.00080049;-4.905e-05;0.038122;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00052894;-0.0001405;-2.8349e-05;0.00059999;-0.00021155
9.001;0.0034107;0.00092098;-0.00023407;0.045599;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00057974;-0.00016119;-2.2964e-05;0.00065149;-0.00023294
9.5;0.0039273;0.0011084;-0.00027423;0.053488;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00066381;-0.00020902;-3.3414e-05;0.00073262;-0.00027782
10;0.0043673;0.001263;-0.00031048;0.060515;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00076122;-0.00022372;-2.9252e-05;0.00082672;-0.00028922
10.5;0.0050014;0.0015076;-0.0003125;0.069237;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00086193;-0.00025708;-3.0379e-05;0.00091999;-0.00031515
11;0.0055911;0.001582;-0.00030806;0.078429;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00095633;-0.00029615;-3.3611e-05;0.0010092;-0.00034902
11.5;0.0062778;0.0017786;-0.00045269;0.08819;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0010703;-0.0003339;-3.0981e-05;0.0011151;-0.00037865
12.001;0.00691;0.0020691;-0.00048614;0.096932;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0011752;-0.0003867;-2.7502e-05;0.0012168;-0.00042826
12.5;0.0077631;0.0022946;-0.00053884;0.10793;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0013222;-0.00043003;-2.9332e-05;0.0013609;-0.00046873
13.001;0.0087975;0.002514;-0.00049081;0.1196;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0014827;-0.00049383;-2.8757e-05;0.0015199;-0.00053111
13.501;0.0098046;0.0027898;-0.00067393;0.13166;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0016594;-0.00058573;-3.5006e-05;0.0016935;-0.00061988
14;0.011306;0.0031844;-0.00096025;0.14288;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0019063;-0.00068998;-3.3749e-05;0.0019382;-0.0007219
14.501;0.013006;0.0037918;-0.0011872;0.15394;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0021966;-0.00082058;-2.8329e-05;0.0022275;-0.00085145
15;0.015175;0.0043679;-0.0015002;0.16548;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025505;-0.00099383;-2.3951e-05;0.0025787;-0.001022
15.501;0.017458;0.0050809;-0.0018783;0.17476;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0029519;-0.0011952;-1.3562e-05;0.0029783;-0.0012216
16;0.019632;0.0058005;-0.0022262;0.18573;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0033146;-0.0013736;-7.711e-06;0.0033397;-0.0013987
16.501;0.02231;0.0065816;-0.0025953;0.1949;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0037536;-0.001574;-1.7761e-05;0.0037776;-0.0015981
17.001;0.024798;0.0073481;-0.0029104;0.20298;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0041733;-0.0017687;-1.3525e-05;0.0041959;-0.0017913
17.501;0.027419;0.0080876;-0.0032547;0.20894;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0045977;-0.0019503;-2.1287e-05;0.0046195;-0.0019722
18.001;0.02984;0.0089194;-0.0035992;0.21499;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0050101;-0.0021374;-1.9986e-05;0.0050324;-0.0021597
18.5;0.032447;0.0097253;-0.0039287;0.22009;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0054366;-0.0023167;-1.83e-05;0.0054589;-0.002339
19;0.034974;0.010525;-0.0042085;0.22381;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0058388;-0.0025035;-2.1511e-05;0.0058609;-0.0025256
19.501;0.037293;0.011235;-0.0046027;0.22764;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0062441;-0.0026677;-2.0171e-05;0.0062664;-0.0026899
20;0.039827;0.012053;-0.0048544;0.23103;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0066571;-0.0028356;-1.5488e-05;0.0066799;-0.0028585
20.501;0.042265;0.012774;-0.0051054;0.2339;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007053;-0.0030163;-1.68e-05;0.0070765;-0.0030398
21.001;0.044697;0.0135;-0.0054385;0.23679;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007459;-0.0031886;-1.7675e-05;0.0074825;-0.0032121
21.5;0.047148;0.014174;-0.0058121;0.23933;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0078682;-0.0033662;-1.734e-05;0.0078924;-0.0033904
22;0.049514;0.014962;-0.0060966;0.24174;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0082672;-0.003531;-1.915e-05;0.0082912;-0.0035551
22.501;0.051951;0.015749;-0.00639;0.24426;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008675;-0.0037021;-1.7733e-05;0.0086994;-0.0037265
23;0.054185;0.016476;-0.0066545;0.24668;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0090501;-0.0038836;-2.244e-05;0.0090742;-0.0039077
23.501;0.05674;0.017322;-0.0069547;0.24884;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0094632;-0.0040313;-1.2105e-05;0.0094875;-0.0040556
24;0.059137;0.017933;-0.0072587;0.25112;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0098549;-0.0041929;-2.221e-05;0.0098803;-0.0042184
24.5;0.061537;0.018701;-0.0075387;0.25334;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010251;-0.0043781;-1.7381e-05;0.010276;-0.0044037
25;0.063975;0.019575;-0.0078862;0.25532;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010656;-0.0045269;-2.3198e-05;0.010682;-0.0045525
25.5;0.066371;0.020234;-0.0082073;0.25724;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011045;-0.0046941;-1.3502e-05;0.01107;-0.0047197
26.001;0.068806;0.02096;-0.0085083;0.25911;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01145;-0.0048566;-1.6561e-05;0.011476;-0.0048826
26.501;0.071212;0.021736;-0.008764;0.26125;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011843;-0.0050294;-1.7991e-05;0.01187;-0.0050559
27;0.073614;0.022417;-0.009059;0.26319;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012233;-0.0052016;-2.7664e-05;0.01226;-0.0052288
27.5;0.076102;0.023161;-0.0093011;0.2648;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012635;-0.0053543;-2.204e-05;0.012662;-0.0053815
28;0.078586;0.024045;-0.0095232;0.26666;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013033;-0.0055222;-1.8864e-05;0.01306;-0.0055495
28.501;0.081151;0.024798;-0.009797;0.26848;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013437;-0.0056844;-1.7341e-05;0.013464;-0.0057122
29;0.083387;0.025475;-0.010014;0.27013;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013827;-0.0058581;-1.9454e-05;0.013854;-0.0058855
29.501;0.085752;0.02624;-0.010275;0.27187;0;0;0;0;0;0;0;0;0;0;0;0;0;0.014214;-0.0060208;-2.0312e-05;0.014242;-0.0060492
30;0.088154;0.027055;-0.010542;0.27345;0;0;0;0;0;0;0;0;0;0;0;0;0;0.014617;-0.0061833;-1.3939e-05;0.014645;-0.006211
30.5;0.090525;0.027804;-0.010871;0.27499;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015006;-0.006352;-2.0363e-05;0.015035;-0.006381
31;0.093057;0.028521;-0.011121;0.27661;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015405;-0.0064947;-1.9879e-05;0.015434;-0.0065239
31.5;0.095537;0.029344;-0.011443;0.2782;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015816;-0.0066681;-1.9219e-05;0.015845;-0.0066972
32.001;0.097785;0.030006;-0.011741;0.27964;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016197;-0.0068376;-2.4568e-05;0.016227;-0.0068671
32.5;0.10035;0.030854;-0.011995;0.28104;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016606;-0.0070022;-1.5356e-05;0.016635;-0.0070318
33;0.1028;0.03161;-0.01224;0.28253;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017019;-0.007171;-2.694e-05;0.017049;-0.0072012
33.5;0.10519;0.032362;-0.012592;0.28399;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017402;-0.0073248;-1.4209e-05;0.017432;-0.0073555
34;0.10762;0.033218;-0.0129;0.28521;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017793;-0.0075058;-1.6931e-05;0.017824;-0.0075369
34.5;0.11004;0.033823;-0.013216;0.28662;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018197;-0.0076628;-1.2845e-05;0.018228;-0.0076938
35;0.11244;0.034605;-0.013521;0.288;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018591;-0.0078433;-1.9081e-05;0.018623;-0.0078751
35.5;0.11492;0.035409;-0.013819;0.28926;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018995;-0.0079909;-1.9674e-05;0.019026;-0.0080224
36;0.11727;0.036159;-0.014198;0.29058;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019381;-0.0081691;-1.5258e-05;0.019413;-0.0082015
36.5;0.11977;0.036913;-0.014599;0.29188;0;0;0;0;0;0;0;0;0;0;0;0;0;0.019791;-0.0083479;-1.1126e-05;0.019824;-0.0083806
37;0.12235;0.037717;-0.014792;0.29315;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020196;-0.0084973;-1.1855e-05;0.020229;-0.0085305
37.501;0.12472;0.038487;-0.015039;0.29422;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020596;-0.0086657;-8.8414e-06;0.02063;-0.008699
38;0.12715;0.039172;-0.015472;0.29545;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020995;-0.0088378;-5.7246e-06;0.021029;-0.0088717
38.5;0.12964;0.040006;-0.015728;0.29667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.021405;-0.009011;-1.2249e-05;0.021439;-0.0090456
39;0.13195;0.040809;-0.016053;0.29768;0;0;0;0;0;0;0;0;0;0;0;0;0;0.021802;-0.0091629;-1.0823e-05;0.021837;-0.0091976
39.5;0.13455;0.041644;-0.016331;0.29886;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022217;-0.0093221;-3.8315e-06;0.022252;-0.0093571
40;0.13764;0.042472;-0.016632;0.30002;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022702;-0.0094854;1.944e-05;0.022737;-0.0095205
40.5;0.1394;0.043069;-0.016955;0.30117;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022992;-0.0096749;1.132e-06;0.023027;-0.0097097
41;0.14167;0.043899;-0.017256;0.3022;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023367;-0.0098594;1.8587e-05;0.023403;-0.0098946
41.5;0.14441;0.044611;-0.017804;0.3033;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023811;-0.01;2.9502e-05;0.023846;-0.010035
42.001;0.14696;0.045448;-0.018199;0.3043;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024234;-0.010189;4.4489e-06;0.024269;-0.010225
42.5;0.14953;0.04632;-0.018508;0.30527;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024643;-0.010357;1.8033e-05;0.024678;-0.010393
43;0.15198;0.046938;-0.018723;0.3063;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02503;-0.010513;7.0086e-06;0.025066;-0.010549
43.501;0.15459;0.047704;-0.019042;0.30723;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02544;-0.010695;1.3313e-05;0.025476;-0.010731
44;0.15706;0.048519;-0.019324;0.30823;0;0;0;0;0;0;0;0;0;0;0;0;0;0.025846;-0.010849;1.7339e-05;0.025883;-0.010886
44.501;0.15968;0.049306;-0.019651;0.30913;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026248;-0.011028;1.8105e-05;0.026285;-0.011065
45;0.16203;0.050176;-0.019889;0.31009;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026651;-0.011203;1.9166e-05;0.026688;-0.01124
