Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
07/27/21;DP600Large;NT20;00;1;0.0798;0.29282;2;4;0;6;0.20002;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;-0.0001078;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;-8.6075e-05;2.9822e-05;-4.8796e-06;-9.8e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
0.999;1.5923e-06;-2.9426e-05;-2.5425e-05;-8.82e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;-0.00013622;-4.0991e-05;7.3896e-06;-7.84e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
2;-4.5669e-05;-1.0287e-05;-2.0311e-06;-5.88e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
2.5;-4.5449e-05;-4.9156e-05;3.538e-06;-3.92e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
3;-3.0497e-05;-5.8703e-05;-8.3772e-05;-9.8e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
3.5;3.2704e-06;-9.5208e-05;2.364e-06;6.86e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0.00011516;-6.3318e-05;-9.3626e-05;0.000392;0;0;0;0;0;0;0;0;0;0;0;0;0
4.499;0.00018127;-4.8691e-05;2.421e-05;0.0011956;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0.00039494;-5.2895e-06;2.7339e-05;0.0024206;0;0;0;0;0;0;0;0;0;0;0;0;0
5.499;0.00044519;-6.9167e-06;-1.6693e-07;0.0045766;0;0;0;0;0;0;0;0;0;0;0;0;0
5.999;0.00047553;-2.0108e-05;-6.1427e-05;0.0068012;0;0;0;0;0;0;0;0;0;0;0;0;0
6.5;0.00060238;9.7313e-05;-4.5645e-05;0.0095452;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0.00055546;6.5167e-05;1.9752e-05;0.012328;0;0;0;0;0;0;0;0;0;0;0;0;0
7.5;0.00075299;-2.4278e-06;3.2797e-05;0.015317;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.00076311;9.2187e-05;3.2688e-05;0.018561;0;0;0;0;0;0;0;0;0;0;0;0;0
8.5;0.00094446;0.00012061;5.0183e-05;0.021354;0;0;0;0;0;0;0;0;0;0;0;0;0
8.999;0.00096799;8.4325e-05;9.0204e-06;0.023961;0;0;0;0;0;0;0;0;0;0;0;0;0
9.499;0.0011338;6.4856e-05;4.1126e-05;0.026078;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0.0012967;7.0512e-05;-7.4736e-05;0.028224;0;0;0;0;0;0;0;0;0;0;0;0;0
10.499;0.0011653;8.4822e-05;-9.7422e-06;0.030096;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0.0011704;0.00010749;-0.00013773;0.032075;0;0;0;0;0;0;0;0;0;0;0;0;0
11.5;0.0013827;0.00013735;-0.0001085;0.033996;0;0;0;0;0;0;0;0;0;0;0;0;0
11.999;0.0014593;9.5809e-05;-0.00012889;0.03575;0;0;0;0;0;0;0;0;0;0;0;0;0
12.499;0.0015053;0.00015413;-0.00011872;0.037495;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0.0016109;0.00015673;-0.0001236;0.039367;0;0;0;0;0;0;0;0;0;0;0;0;0
13.499;0.0016964;0.00010818;-4.3192e-05;0.041238;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0.0016234;0.00017884;-0.00011794;0.042816;0;0;0;0;0;0;0;0;0;0;0;0;0
14.5;0.0017122;0.00013646;-0.00013983;0.044688;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0.001868;0.00017705;-0.00013498;0.04656;0;0;0;0;0;0;0;0;0;0;0;0;0
15.5;0.0019033;0.0001744;-0.00014421;0.048441;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0.0019434;0.00019082;-0.00019124;0.050196;0;0;0;0;0;0;0;0;0;0;0;0;0
16.499;0.0020926;0.00015873;-0.00012944;0.05193;0;0;0;0;0;0;0;0;0;0;0;0;0
16.999;0.0019581;0.00015252;-0.00013675;0.053841;0;0;0;0;0;0;0;0;0;0;0;0;0
17.5;0.0020933;0.00013715;-3.357e-05;0.055595;0;0;0;0;0;0;0;0;0;0;0;0;0
17.999;0.00232;0.00020908;-0.00017637;0.057497;0;0;0;0;0;0;0;0;0;0;0;0;0
18.5;0.0022772;0.00020117;-6.2321e-05;0.059241;0;0;0;0;0;0;0;0;0;0;0;0;0
19.002;0.0023574;0.00027122;-6.2868e-05;0.061142;0;0;0;0;0;0;0;0;0;0;0;0;0
19.5;0.0024162;0.00020688;-7.7681e-05;0.062896;0;0;0;0;0;0;0;0;0;0;0;0;0
19.999;0.0024496;0.00022001;-8.3084e-05;0.06467;0;0;0;0;0;0;0;0;0;0;0;0;0
