Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/08/21;DP600Large;NT20;00;3;0.0798;0.29036;2;4;0;6;0.20001;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;9.8e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
0.501;0.00015722;-4.9969e-05;-1.162e-05;9.8e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
1;-2.8602e-05;-6.0426e-05;-4.9942e-05;9.8e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;-2.2036e-05;-5.0645e-05;-1.7226e-05;9.8e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
2;7.6281e-05;-5.0475e-05;-1.5495e-05;9.8e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
2.5;2.1643e-05;-7.3415e-05;-3.9244e-05;9.8e-06;0;0;0;0;0;0;0;0;0;0;0;0;0
3;-2.4944e-05;-2.5435e-05;-2.1472e-05;1.96e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
3.5;0.00010843;-7.2915e-05;-2.1948e-06;2.94e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0.00019624;-0.00015154;5.0552e-06;3.92e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
4.5;0.00016048;-1.3267e-05;5.1161e-06;9.8e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5.3178e-05;-8.343e-05;-3.6164e-05;0.0002352;0;0;0;0;0;0;0;0;0;0;0;0;0
5.5;0.00024182;-0.0001214;-8.6433e-06;0.000441;0;0;0;0;0;0;0;0;0;0;0;0;0
6.001;0.00024332;-9.3451e-05;3.7409e-05;0.0007742;0;0;0;0;0;0;0;0;0;0;0;0;0
6.501;0.0001928;-5.2374e-05;-5.1947e-05;0.0011466;0;0;0;0;0;0;0;0;0;0;0;0;0
7.001;0.00035282;-8.1846e-05;9.7029e-06;0.0015288;0;0;0;0;0;0;0;0;0;0;0;0;0
7.501;0.00031873;-0.00015517;-4.4301e-05;0.0019306;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.00035318;-0.00018182;-2.6019e-06;0.002401;0;0;0;0;0;0;0;0;0;0;0;0;0
8.5;0.00038268;-0.0002847;1.2186e-05;0.0028518;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0.00027722;-0.00019064;-1.7995e-06;0.0032536;0;0;0;0;0;0;0;0;0;0;0;0;0
9.5;0.00038054;-0.00011348;-1.1734e-05;0.0035672;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0.000374;-0.00016967;-1.8825e-05;0.0038318;0;0;0;0;0;0;0;0;0;0;0;0;0
10.5;0.0004749;-0.00016209;-3.3362e-05;0.004116;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0.00040295;-0.0002919;-2.083e-05;0.0043904;0;0;0;0;0;0;0;0;0;0;0;0;0
11.501;0.00044986;-0.00028574;-2.1014e-05;0.0046844;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0.00044754;-0.00028286;-1.1001e-06;0.0050176;0;0;0;0;0;0;0;0;0;0;0;0;0
12.499;0.00053228;-0.00018646;-3.4741e-05;0.0053508;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0.00050544;-0.00024604;-4.2106e-05;0.005684;0;0;0;0;0;0;0;0;0;0;0;0;0
13.5;0.00049645;-0.00026134;-9.6071e-05;0.0060564;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0.00057168;-0.00033072;-6.7976e-05;0.0064288;0;0;0;0;0;0;0;0;0;0;0;0;0
14.5;0.00061748;-0.00039616;-3.4412e-05;0.0067424;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0.0005489;-0.00038167;-4.9117e-05;0.0071344;0;0;0;0;0;0;0;0;0;0;0;0;0
15.501;0.0006427;-0.00035554;-1.886e-05;0.0075264;0;0;0;0;0;0;0;0;0;0;0;0;0
15.999;0.0006757;-0.0003117;9.6923e-06;0.0078792;0;0;0;0;0;0;0;0;0;0;0;0;0
16.5;0.00068024;-0.00031251;-2.584e-06;0.0083006;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0.00072058;-0.00041144;-5.2386e-05;0.0087318;0;0;0;0;0;0;0;0;0;0;0;0;0
17.5;0.00078283;-0.00049642;-4.9087e-05;0.0091042;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0.00070524;-0.00048298;-4.6226e-05;0.0095844;0;0;0;0;0;0;0;0;0;0;0;0;0
18.5;0.00087184;-0.00041775;-2.5278e-05;0.010104;0;0;0;0;0;0;0;0;0;0;0;0;0
19.001;0.00092595;-0.00040383;-2.2053e-05;0.010555;0;0;0;0;0;0;0;0;0;0;0;0;0
19.5;0.00099584;-0.00047611;-6.2013e-05;0.011172;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0.00060376;-0.00054481;-6.7643e-05;0.01174;0;0;0;0;0;0;0;0;0;0;0;0;0
20.5;0.00098618;-0.00056604;3.6125e-07;0.012377;0;0;0;0;0;0;0;0;0;0;0;0;0
21.001;0.0010358;-0.000437;-4.8129e-05;0.013005;0;0;0;0;0;0;0;0;0;0;0;0;0
21.5;0.0010482;-0.00049384;-7.1093e-05;0.01372;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0.0011069;-0.00060404;-5.1631e-05;0.014416;0;0;0;0;0;0;0;0;0;0;0;0;0
22.5;0.001083;-0.00062347;-1.0386e-05;0.015131;0;0;0;0;0;0;0;0;0;0;0;0;0
23.001;0.0011887;-0.00055397;-6.3494e-05;0.015954;0;0;0;0;0;0;0;0;0;0;0;0;0
23.5;0.0011619;-0.00064951;-4.8043e-05;0.016807;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0.0011859;-0.00066478;-6.4033e-05;0.01763;0;0;0;0;0;0;0;0;0;0;0;0;0
24.5;0.0012767;-0.00062648;-1.5056e-05;0.018571;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0.0012431;-0.00071387;-2.2656e-05;0.019561;0;0;0;0;0;0;0;0;0;0;0;0;0
25.5;0.0012679;-0.00073406;-5.1922e-06;0.020423;0;0;0;0;0;0;0;0;0;0;0;0;0
26.001;0.0012488;-0.00064041;-3.0308e-05;0.02157;0;0;0;0;0;0;0;0;0;0;0;0;0
26.5;0.0012633;-0.00075059;-1.4514e-05;0.022579;0;0;0;0;0;0;0;0;0;0;0;0;0
27.001;0.0012273;-0.00075954;-1.5473e-06;0.023647;0;0;0;0;0;0;0;0;0;0;0;0;0
27.501;0.0014528;-0.00067426;-3.9605e-05;0.024833;0;0;0;0;0;0;0;0;0;0;0;0;0
27.999;0.0015079;-0.00077351;-1.6381e-05;0.02595;0;0;0;0;0;0;0;0;0;0;0;0;0
28.499;0.0014919;-0.00087469;-1.6372e-05;0.027087;0;0;0;0;0;0;0;0;0;0;0;0;0
28.999;0.001591;-0.00084967;1.0164e-05;0.028342;0;0;0;0;0;0;0;0;0;0;0;0;0
29.5;0.0016669;-0.0008694;9.4428e-06;0.029616;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0.0016557;-0.00093666;-3.6557e-05;0.030919;0;0;0;0;0;0;0;0;0;0;0;0;0
30.5;0.0017924;-0.00083983;-4.0819e-05;0.032154;0;0;0;0;0;0;0;0;0;0;0;0;0
30.999;0.0018087;-0.00091372;1.0233e-05;0.033398;0;0;0;0;0;0;0;0;0;0;0;0;0
31.5;0.0018435;-0.00093827;4.0714e-05;0.034751;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0.001898;-0.00089128;1.8239e-05;0.036035;0;0;0;0;0;0;0;0;0;0;0;0;0
32.5;0.001882;-0.00095852;-2.0369e-05;0.037338;0;0;0;0;0;0;0;0;0;0;0;0;0
32.999;0.0019805;-0.0009127;3.0798e-06;0.038877;0;0;0;0;0;0;0;0;0;0;0;0;0
33.501;0.0019934;-0.00090016;1.9871e-05;0.040082;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0.0019674;-0.0010801;3.2896e-06;0.041542;0;0;0;0;0;0;0;0;0;0;0;0;0
34.5;0.0020122;-0.00096686;5.4665e-06;0.042885;0;0;0;0;0;0;0;0;0;0;0;0;0
