"E0",,,,,"E1",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
16,0.000458748,0.00301422,6.57353,6.57052,0.00046355,0.000913729,1.97207,1.97116,0.000484239,0.00190902,3.94422,3.94231,-6.63323e-05,-0.000130751,1.97103,1.97116,-0.000187923,-0.000123475,0.656928,0.657052,-7.77906e-05,-8.51874e-05,1.095,1.09509,-0.000152462,-0.000233743,1.53289,1.53312
17,0.000487875,0.00320559,6.57373,6.57052,0.000444718,0.000876609,1.97203,1.97116,0.000529559,0.00208769,3.9444,3.94231,-2.72501e-05,-5.37143e-05,1.9711,1.97116,-4.81097e-05,-3.16106e-05,0.65702,0.657052,-9.49768e-05,-0.000104008,1.09498,1.09509,-0.000144207,-0.000221086,1.5329,1.53312
18,0.000568451,0.00373502,6.57425,6.57052,0.000511655,0.00100855,1.97216,1.97116,0.000580129,0.00228705,3.9446,3.94231,-0.000130041,-0.000256332,1.9709,1.97116,-0.000131085,-8.61295e-05,0.656966,0.657052,-4.072e-05,-4.45919e-05,1.09504,1.09509,-0.000165199,-0.000253271,1.53287,1.53312
19,0.000654552,0.00430075,6.57482,6.57052,0.000615777,0.00121379,1.97237,1.97116,0.000653428,0.00257602,3.94489,3.94231,-0.000152349,-0.000300305,1.97086,1.97116,-0.000166511,-0.000109406,0.656943,0.657052,-4.24426e-05,-4.64783e-05,1.09504,1.09509,-0.000215205,-0.000329935,1.53279,1.53312
20,0.000727889,0.00478261,6.5753,6.57052,0.000701662,0.00138309,1.97254,1.97116,0.000766517,0.00302185,3.94533,3.94231,-0.000172491,-0.000340006,1.97082,1.97116,-0.000211483,-0.000138955,0.656913,0.657052,-0.00011836,-0.000129615,1.09496,1.09509,-0.000276501,-0.000423909,1.5327,1.53312
21,0.000833567,0.00547697,6.576,6.57052,0.000837575,0.00165099,1.97281,1.97116,0.000862844,0.0034016,3.94571,3.94231,-0.000173613,-0.000342218,1.97081,1.97116,-0.000276404,-0.000181611,0.65687,0.657052,-0.000185689,-0.000203345,1.09488,1.09509,-0.000285024,-0.000436976,1.53268,1.53312
22,0.000931858,0.00612279,6.57664,6.57052,0.000878908,0.00173246,1.97289,1.97116,0.000972741,0.00383485,3.94615,3.94231,-0.000171146,-0.000337356,1.97082,1.97116,-0.000315607,-0.00020737,0.656845,0.657052,-0.000159696,-0.000174881,1.09491,1.09509,-0.000324053,-0.000496812,1.53262,1.53312
23,0.0010463,0.00687475,6.57739,6.57052,0.000988117,0.00194773,1.9731,1.97116,0.001056,0.00416306,3.94648,3.94231,-0.000251495,-0.000495737,1.97066,1.97116,-0.000333019,-0.000218811,0.656833,0.657052,-0.000273632,-0.000299651,1.09479,1.09509,-0.000384124,-0.000588909,1.53253,1.53312
24,0.00115167,0.00756708,6.57809,6.57052,0.00114948,0.00226579,1.97342,1.97116,0.00116135,0.00457839,3.94689,3.94231,-0.000270077,-0.000532364,1.97062,1.97116,-0.00059915,-0.000393673,0.656658,0.657052,-0.000248054,-0.000271641,1.09482,1.09509,-0.000406088,-0.000622582,1.5325,1.53312
25,0.00129386,0.00850131,6.57902,6.57052,0.00127479,0.00251281,1.97367,1.97116,0.00130223,0.00513378,3.94745,3.94231,-0.000299355,-0.000590076,1.97057,1.97116,-0.000447116,-0.000293779,0.656758,0.657052,-0.00029532,-0.000323401,1.09476,1.09509,-0.000469213,-0.00071936,1.5324,1.53312
