"E0",,,,,"E1",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,5.91454,5.91454,0,0,1.77436,1.77436,0,0,3.54872,3.54872,0,0,1.77436,1.77436,0,0,0.591454,0.591454,0,0,0.985756,0.985756,0,0,1.38006,1.38006
1,-3.83332e-05,-0.000226723,5.91431,5.91454,-5.10281e-05,-9.05422e-05,1.77427,1.77436,-4.33847e-06,-1.5396e-05,3.54871,3.54872,-3.42231e-06,-6.07242e-06,1.77436,1.77436,-0.00011128,-6.5817e-05,0.591388,0.591454,-1.75712e-06,-1.73209e-06,0.985755,0.985756,-5.45061e-06,-7.52216e-06,1.38005,1.38006
2,-1.97009e-05,-0.000116522,5.91442,5.91454,-8.75087e-06,-1.55272e-05,1.77435,1.77436,-7.89783e-06,-2.80272e-05,3.54869,3.54872,2.33876e-05,4.14981e-05,1.7744,1.77436,-0.000116409,-6.88506e-05,0.591385,0.591454,4.43305e-05,4.3699e-05,0.9858,0.985756,-6.33887e-05,-8.74802e-05,1.37997,1.38006
3,-6.40523e-06,-3.7884e-05,5.9145,5.91454,-1.48975e-05,-2.64336e-05,1.77434,1.77436,-4.3581e-06,-1.54657e-05,3.54871,3.54872,-2.45855e-05,-4.36236e-05,1.77432,1.77436,-0.000137958,-8.15958e-05,0.591372,0.591454,-7.81168e-06,-7.70041e-06,0.985749,0.985756,-4.54054e-05,-6.26622e-05,1.38,1.38006
4,-2.02477e-05,-0.000119756,5.91442,5.91454,-7.55759e-06,-1.34099e-05,1.77435,1.77436,3.6635e-05,0.000130008,3.54885,3.54872,7.37372e-06,1.30836e-05,1.77437,1.77436,-0.00013682,-8.09225e-05,0.591373,0.591454,2.16842e-05,2.13754e-05,0.985778,0.985756,-3.43551e-05,-4.74121e-05,1.38001,1.38006
5,-1.99411e-05,-0.000117943,5.91442,5.91454,-1.59762e-05,-2.83476e-05,1.77433,1.77436,2.23583e-05,7.93432e-05,3.5488,3.54872,1.80757e-05,3.20728e-05,1.77439,1.77436,-0.000154188,-9.11952e-05,0.591363,0.591454,1.65926e-05,1.63562e-05,0.985773,0.985756,2.04003e-05,2.81536e-05,1.38009,1.38006
6,-1.74478e-05,-0.000103196,5.91444,5.91454,2.31442e-06,4.10663e-06,1.77437,1.77436,1.7881e-05,6.34546e-05,3.54879,3.54872,2.00154e-05,3.55145e-05,1.7744,1.77436,-0.000230205,-0.000136156,0.591318,0.591454,1.60576e-05,1.58289e-05,0.985772,0.985756,-5.83906e-05,-8.05824e-05,1.37998,1.38006
7,-3.52546e-06,-2.08514e-05,5.91452,5.91454,3.02121e-06,5.36073e-06,1.77437,1.77436,6.51147e-06,2.31074e-05,3.54875,3.54872,1.09341e-05,1.94011e-05,1.77438,1.77436,-0.000109634,-6.48436e-05,0.591389,0.591454,4.67925e-05,4.6126e-05,0.985803,0.985756,-6.06838e-05,-8.37472e-05,1.37998,1.38006
8,1.32309e-05,7.82547e-05,5.91462,5.91454,1.77733e-06,3.15362e-06,1.77436,1.77436,4.70838e-05,0.000167087,3.54889,3.54872,-2.84888e-05,-5.05494e-05,1.77431,1.77436,-0.00020021,-0.000118415,0.591335,0.591454,0.000114809,0.000113174,0.98587,0.985756,-3.20479e-05,-4.4228e-05,1.38002,1.38006
9,1.77865e-05,0.000105199,5.91464,5.91454,4.93652e-05,8.75918e-05,1.77445,1.77436,5.81385e-05,0.000206317,3.54893,3.54872,1.20881e-05,2.14486e-05,1.77438,1.77436,-0.000182513,-0.000107948,0.591346,0.591454,8.045e-05,7.93041e-05,0.985836,0.985756,-0.000116887,-0.000161312,1.3799,1.38006
