"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,6.10815,6.10815,0,0,0.203618,0.203618,0,0,0.407206,0.407206,0,0,0.610816,0.610816,0,0,0.814419,0.814419,0,0,1.01802,1.01802,0,0,1.22162,1.22162,0,0,1.42523,1.42523,0,0,1.62884,1.62884,0,0,0.407236,0.407236,0,0,0.610816,0.610816,0,0,0.814396,0.814396,0,0,1.01801,1.01801,0,0,1.22163,1.22163,0,0,1.42525,1.42525,0,0,1.62883,1.62883,0,0,0.203603,0.203603
1,2.62027e-05,0.00016005,6.10831,6.10815,-0.000249829,-5.08696e-05,0.203567,0.203618,-2.90506e-05,-1.18296e-05,0.407194,0.407206,3.27627e-06,2.0012e-06,0.610818,0.610816,-4.88249e-05,-3.97639e-05,0.814379,0.814419,-4.2827e-05,-4.35988e-05,1.01798,1.01802,1.3132e-05,1.60424e-05,1.22164,1.22162,-5.11817e-06,-7.29455e-06,1.42522,1.42523,-2.13588e-06,-3.479e-06,1.62883,1.62884,-8.42076e-05,-3.42924e-05,0.407202,0.407236,0.00011417,6.9737e-05,0.610886,0.610816,-3.25045e-05,-2.64715e-05,0.81437,0.814396,-1.06256e-05,-1.0817e-05,1.018,1.01801,3.82292e-05,4.6702e-05,1.22168,1.22163,4.30322e-05,6.13316e-05,1.42531,1.42525,2.10805e-05,3.43365e-05,1.62886,1.62883,-0.000196257,-3.99585e-05,0.203563,0.203603
2,-4.76701e-06,-2.91176e-05,6.10812,6.10815,-0.000302111,-6.15153e-05,0.203556,0.203618,-0.000124855,-5.08417e-05,0.407155,0.407206,-1.76573e-05,-1.07854e-05,0.610805,0.610816,-0.000123584,-0.000100649,0.814318,0.814419,-3.02926e-05,-3.08385e-05,1.01799,1.01802,-2.08678e-06,-2.54926e-06,1.22162,1.22162,-7.38176e-06,-1.05207e-05,1.42522,1.42523,4.46341e-05,7.27017e-05,1.62891,1.62884,-0.000253021,-0.000103039,0.407133,0.407236,3.32611e-05,2.03164e-05,0.610836,0.610816,4.46339e-05,3.63497e-05,0.814432,0.814396,-8.2156e-06,-8.3636e-06,1.01801,1.01801,-1.29796e-05,-1.58563e-05,1.22162,1.22163,4.13051e-05,5.88702e-05,1.42531,1.42525,1.71218e-05,2.78884e-05,1.62886,1.62883,-0.000169993,-3.46112e-05,0.203568,0.203603
3,-3.67275e-06,-2.24337e-05,6.10812,6.10815,-0.000253208,-5.15576e-05,0.203566,0.203618,-4.30665e-05,-1.75369e-05,0.407188,0.407206,1.8237e-05,1.11394e-05,0.610827,0.610816,-5.23701e-05,-4.26512e-05,0.814376,0.814419,-4.21782e-05,-4.29383e-05,1.01798,1.01802,-5.39708e-05,-6.59321e-05,1.22156,1.22162,1.04659e-05,1.49162e-05,1.42524,1.42523,1.50305e-05,2.44822e-05,1.62886,1.62884,-0.000193667,-7.88681e-05,0.407157,0.407236,0.0001113,6.79839e-05,0.610884,0.610816,-1.30644e-05,-1.06396e-05,0.814385,0.814396,1.63543e-05,1.66489e-05,1.01803,1.01801,-1.57979e-05,-1.92992e-05,1.22161,1.22163,3.34646e-05,4.76955e-05,1.4253,1.42525,2.97002e-05,4.83766e-05,1.62888,1.62883,-0.00034708,-7.06666e-05,0.203532,0.203603
4,1.27135e-05,7.76559e-05,6.10822,6.10815,-0.000252357,-5.13845e-05,0.203567,0.203618,-3.8739e-05,-1.57747e-05,0.40719,0.407206,5.85899e-07,3.57877e-07,0.610816,0.610816,9.07248e-06,7.3888e-06,0.814426,0.814419,-6.23238e-05,-6.3447e-05,1.01796,1.01802,-3.49619e-06,-4.27103e-06,1.22162,1.22162,-2.75873e-05,-3.93181e-05,1.42519,1.42523,1.32122e-05,2.15205e-05,1.62886,1.62884,-0.000172259,-7.01499e-05,0.407166,0.407236,5.31323e-05,3.2454e-05,0.610848,0.610816,-5.78809e-05,-4.7138e-05,0.814349,0.814396,7.73133e-06,7.8706e-06,1.01802,1.01801,6.78257e-06,8.2858e-06,1.22164,1.22163,5.12131e-05,7.29914e-05,1.42532,1.42525,1.88908e-05,3.07699e-05,1.62886,1.62883,-0.0001503,-3.06014e-05,0.203572,0.203603
5,3.60719e-06,2.20333e-05,6.10817,6.10815,-0.000367051,-7.47381e-05,0.203543,0.203618,-9.81112e-05,-3.99515e-05,0.407166,0.407206,6.59675e-06,4.0294e-06,0.61082,0.610816,-7.05568e-05,-5.74628e-05,0.814361,0.814419,-5.77012e-05,-5.87411e-05,1.01796,1.01802,-4.62142e-05,-5.64564e-05,1.22157,1.22162,-2.17772e-05,-3.10374e-05,1.4252,1.42523,1.03783e-05,1.69045e-05,1.62885,1.62884,-5.41358e-05,-2.2046e-05,0.407214,0.407236,8.65637e-06,5.28745e-06,0.610821,0.610816,0.000101999,8.30676e-05,0.814479,0.814396,-5.03272e-06,-5.12338e-06,1.01801,1.01801,5.64393e-05,6.8948e-05,1.2217,1.22163,2.32875e-05,3.31905e-05,1.42528,1.42525,2.68867e-05,4.37939e-05,1.62887,1.62883,-0.000104884,-2.13547e-05,0.203582,0.203603
6,-4.1574e-06,-2.5394e-05,6.10812,6.10815,-0.000127167,-2.58934e-05,0.203592,0.203618,-5.36801e-05,-2.18589e-05,0.407184,0.407206,-1.02319e-05,-6.24981e-06,0.61081,0.610816,-2.43611e-05,-1.98401e-05,0.814399,0.814419,-6.8752e-05,-6.9991e-05,1.01795,1.01802,-2.71509e-05,-3.31682e-05,1.22159,1.22162,-2.51456e-05,-3.58381e-05,1.42519,1.42523,9.8548e-06,1.60519e-05,1.62885,1.62884,-0.000195118,-7.9459e-05,0.407156,0.407236,0.000100014,6.109e-05,0.610877,0.610816,5.18584e-07,4.22333e-07,0.814397,0.814396,-2.44343e-05,-2.48744e-05,1.01799,1.01801,3.52855e-05,4.31059e-05,1.22168,1.22163,6.48326e-05,9.24027e-05,1.42534,1.42525,5.36996e-06,8.74675e-06,1.62884,1.62883,-0.000171587,-3.49356e-05,0.203568,0.203603
7,1.80712e-05,0.000110382,6.10826,6.10815,-0.00036455,-7.42289e-05,0.203544,0.203618,-5.48703e-06,-2.23435e-06,0.407203,0.407206,3.7051e-05,2.26313e-05,0.610839,0.610816,-0.000104817,-8.5365e-05,0.814334,0.814419,1.06326e-05,1.08242e-05,1.01803,1.01802,-5.03594e-05,-6.15203e-05,1.22156,1.22162,1.25457e-05,1.78805e-05,1.42525,1.42523,3.19148e-05,5.19841e-05,1.62889,1.62884,-0.000302351,-0.000123128,0.407113,0.407236,5.29938e-06,3.23694e-06,0.610819,0.610816,5.44452e-05,4.434e-05,0.81444,0.814396,-2.27709e-05,-2.31811e-05,1.01799,1.01801,5.56888e-05,6.80312e-05,1.2217,1.22163,2.29476e-05,3.2706e-05,1.42528,1.42525,3.72068e-05,6.06036e-05,1.62889,1.62883,-0.000291945,-5.94408e-05,0.203543,0.203603
8,3.27075e-05,0.000199782,6.10835,6.10815,-0.000757663,-0.000154274,0.203464,0.203618,1.2638e-05,5.14628e-06,0.407211,0.407206,2.41409e-05,1.47456e-05,0.610831,0.610816,1.24092e-05,1.01063e-05,0.814429,0.814419,-4.10943e-05,-4.18349e-05,1.01798,1.01802,1.84031e-05,2.24817e-05,1.22165,1.22162,9.74186e-05,0.000138844,1.42537,1.42523,3.12797e-05,5.09495e-05,1.62889,1.62884,-0.000176803,-7.20005e-05,0.407164,0.407236,0.000107248,6.55088e-05,0.610881,0.610816,5.09099e-05,4.14609e-05,0.814438,0.814396,3.21859e-05,3.27657e-05,1.01805,1.01801,7.61817e-05,9.3066e-05,1.22172,1.22163,4.33594e-06,6.1798e-06,1.42526,1.42525,5.97919e-05,9.73909e-05,1.62893,1.62883,-0.000296806,-6.04306e-05,0.203543,0.203603
9,2.67471e-05,0.000163375,6.10831,6.10815,-6.63289e-05,-1.35058e-05,0.203604,0.203618,1.27905e-05,5.20835e-06,0.407211,0.407206,-6.45328e-05,-3.94177e-05,0.610776,0.610816,-0.000116519,-9.48954e-05,0.814324,0.814419,-0.000101442,-0.00010327,1.01792,1.01802,2.95291e-05,3.60735e-05,1.22166,1.22162,-1.86585e-05,-2.65926e-05,1.4252,1.42523,3.25745e-06,5.30585e-06,1.62884,1.62884,-0.000148162,-6.03367e-05,0.407176,0.407236,0.000123658,7.55324e-05,0.610891,0.610816,3.28096e-05,2.672e-05,0.814423,0.814396,-5.38044e-05,-5.47737e-05,1.01796,1.01801,7.53096e-05,9.20007e-05,1.22172,1.22163,1.79057e-05,2.55201e-05,1.42528,1.42525,5.27933e-05,8.59913e-05,1.62892,1.62883,-0.000107908,-2.19703e-05,0.203581,0.203603
