Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600Large;NT6;00;2;0.0798;0.28843;2;4;0;6;0.2;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
24;0.0024785;-5.9317e-06;2.1795e-05;0.064807;0;0;0;0;0;0;0;0;0;0;0;0;0
24.5;0.002491;5.9752e-05;2.5486e-05;0.066973;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0.0025488;6.6019e-05;-1.9548e-05;0.069149;0;0;0;0;0;0;0;0;0;0;0;0;0
25.5;0.0026893;0.00012434;2.0808e-05;0.071187;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0.0026821;9.9394e-05;-2.825e-05;0.073255;0;0;0;0;0;0;0;0;0;0;0;0;0
26.5;0.0027779;7.3216e-05;-3.1478e-05;0.075695;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0.0029444;8.0843e-05;-2.4073e-05;0.077626;0;0;0;0;0;0;0;0;0;0;0;0;0
27.5;0.0030246;9.2385e-05;-1.2834e-05;0.079909;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0.0030552;0.00011535;6.2592e-06;0.082212;0;0;0;0;0;0;0;0;0;0;0;0;0
28.5;0.002989;7.8874e-05;-4.3661e-05;0.084339;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0.0031847;8.0847e-05;-3.1467e-06;0.086671;0;0;0;0;0;0;0;0;0;0;0;0;0
29.499;0.0032151;0.00012258;-6.3222e-06;0.088817;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0.0033453;0.00012964;-6.3429e-05;0.090964;0;0;0;0;0;0;0;0;0;0;0;0;0
30.5;0.0034366;0.00019937;-4.4431e-05;0.093306;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0.0035394;0.00018911;-1.4424e-05;0.095472;0;0;0;0;0;0;0;0;0;0;0;0;0
31.5;0.0035507;9.6868e-05;4.4788e-07;0.098;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0.0035847;0.00016978;-1.981e-05;0.099999;0;0;0;0;0;0;0;0;0;0;0;0;0
32.5;0.003776;0.00021053;1.5684e-05;0.10237;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0.0038048;0.00012234;-5.0808e-05;0.10475;0;0;0;0;0;0;0;0;0;0;0;0;0
33.5;0.0039177;0.00014207;-5.2225e-05;0.10698;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0.0039797;0.00022754;2.2857e-05;0.10919;0;0;0;0;0;0;0;0;0;0;0;0;0
