Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
07/27/21;DP600Large;CH;00;1;0.0798;0.28735;4;1;0;6;0.20001;0.20001;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;0.0018228;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;-0.00015106;-1.0485e-05;2.4561e-05;0.0018326;0;0;0;0;0;0;0;0;0;0;0;0;0
0.999;-8.5522e-05;-2.2258e-06;4.856e-05;0.0018326;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;-0.00010657;-1.2755e-05;2.4878e-05;0.0018424;0;0;0;0;0;0;0;0;0;0;0;0;0
1.999;-4.0817e-05;-1.3573e-05;0.00010305;0.0018424;0;0;0;0;0;0;0;0;0;0;0;0;0
2.499;-7.8839e-05;-3.556e-06;6.733e-05;0.0018522;0;0;0;0;0;0;0;0;0;0;0;0;0
3;-4.7251e-06;1.6142e-05;6.7762e-05;0.0018718;0;0;0;0;0;0;0;0;0;0;0;0;0
3.5;6.5424e-05;7.5594e-06;-3.6194e-05;0.0018914;0;0;0;0;0;0;0;0;0;0;0;0;0
4;-1.288e-05;6.2971e-05;6.9415e-05;0.0019306;0;0;0;0;0;0;0;0;0;0;0;0;0
4.5;0.00010524;1.9971e-07;5.0088e-05;0.0019796;0;0;0;0;0;0;0;0;0;0;0;0;0
4.999;4.0192e-05;2.3422e-05;4.476e-05;0.0021168;0;0;0;0;0;0;0;0;0;0;0;0;0
5.5;0.00015249;-1.1352e-06;0.0001187;0.0024696;0;0;0;0;0;0;0;0;0;0;0;0;0
5.999;0.00018332;-1.1632e-05;0.0001108;0.0030576;0;0;0;0;0;0;0;0;0;0;0;0;0
6.5;0.00018934;-3.5166e-05;7.5029e-05;0.0038122;0;0;0;0;0;0;0;0;0;0;0;0;0
6.999;0.00024737;1.4674e-05;1.7513e-05;0.0046158;0;0;0;0;0;0;0;0;0;0;0;0;0
7.499;0.00026272;-3.4362e-05;0.00017655;0.0055762;0;0;0;0;0;0;0;0;0;0;0;0;0
7.999;0.00023582;1.6128e-05;9.0932e-05;0.0066248;0;0;0;0;0;0;0;0;0;0;0;0;0
8.5;0.00021704;0.00010857;4.1107e-05;0.0076538;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0.00032394;9.4159e-05;0.00010966;0.0086828;0;0;0;0;0;0;0;0;0;0;0;0;0
9.5;0.00042861;0.00015409;8.9635e-05;0.009653;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0.00035324;0.00011067;0.00015375;0.010584;0;0;0;0;0;0;0;0;0;0;0;0;0
10.5;0.00037105;8.7456e-05;6.1823e-05;0.011407;0;0;0;0;0;0;0;0;0;0;0;0;0
10.999;0.00044155;0.00014143;0.0001394;0.012309;0;0;0;0;0;0;0;0;0;0;0;0;0
11.499;0.0004405;0.00011721;5.7232e-05;0.013259;0;0;0;0;0;0;0;0;0;0;0;0;0
11.999;0.00045103;0.00015968;0.00016989;0.014181;0;0;0;0;0;0;0;0;0;0;0;0;0
12.499;0.00053252;0.00018249;0.00011317;0.015151;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0.00050894;0.0001858;7.3064e-05;0.016268;0;0;0;0;0;0;0;0;0;0;0;0;0
13.5;0.00061094;0.00020984;0.0002021;0.017434;0;0;0;0;0;0;0;0;0;0;0;0;0
13.999;0.00056372;0.00027561;0.00021002;0.018581;0;0;0;0;0;0;0;0;0;0;0;0;0
14.499;0.00066437;0.00031021;9.1642e-05;0.019757;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0.00059529;0.00031045;-3.2337e-06;0.021109;0;0;0;0;0;0;0;0;0;0;0;0;0
15.5;0.00073321;0.00032419;9.056e-05;0.022511;0;0;0;0;0;0;0;0;0;0;0;0;0
15.999;0.00072505;0.0003967;7.1613e-05;0.023834;0;0;0;0;0;0;0;0;0;0;0;0;0
16.5;0.00071715;0.00037324;-2.6012e-05;0.025304;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0.00082881;0.00040144;2.1717e-05;0.026676;0;0;0;0;0;0;0;0;0;0;0;0;0
17.5;0.00092856;0.00040318;8.7742e-05;0.028067;0;0;0;0;0;0;0;0;0;0;0;0;0
